Time,Channel A,Channel B
(us),(V),(V)

-100.15999578,3.06619500,3.38358700
-100.07999578,3.15591900,3.38358700
-99.99999578,3.15591900,3.29416800
-99.91999578,3.15591900,3.38358700
-99.83999578,3.15591900,3.38358700
-99.75999578,3.15591900,3.38358700
-99.67999578,3.15591900,3.38358700
-99.59999579,3.24533800,3.38358700
-99.51999579,3.24533800,3.38358700
-99.43999579,3.24533800,3.38358700
-99.35999579,3.24533800,3.38358700
-99.27999579,3.24533800,3.38358700
-99.19999579,3.24533800,3.29416800
-99.11999579,3.33506300,3.29416800
-99.03999579,3.24533800,3.29416800
-98.95999579,3.33506300,3.38358700
-98.87999579,3.42478700,3.29416800
-98.79999579,3.33506300,3.38358700
-98.71999579,3.42478700,3.38358700
-98.63999579,3.42478700,3.29416800
-98.55999579,3.42478700,3.38358700
-98.47999579,3.42478700,3.38358700
-98.39999579,3.42478700,3.29416800
-98.31999579,3.51420600,3.29416800
-98.23999579,3.42478700,3.29416800
-98.15999579,3.51420600,3.29416800
-98.07999579,3.51420600,3.29416800
-97.99999579,3.51420600,3.29416800
-97.91999580,3.51420600,3.29416800
-97.83999580,3.51420600,3.29416800
-97.75999580,3.60393100,3.29416800
-97.67999580,3.60393100,3.29416800
-97.59999580,3.60393100,3.29416800
-97.51999580,3.60393100,3.29416800
-97.43999580,3.60393100,3.29416800
-97.35999580,3.69365500,3.29416800
-97.27999580,3.69365500,3.29416800
-97.19999580,3.69365500,3.38358700
-97.11999580,3.69365500,3.29416800
-97.03999580,3.69365500,3.38358700
-96.95999580,3.78307400,3.29416800
-96.87999580,3.78307400,3.29416800
-96.79999580,3.78307400,3.29416800
-96.71999580,3.78307400,3.29416800
-96.63999580,3.78307400,3.29416800
-96.55999580,3.78307400,3.29416800
-96.47999580,3.87279900,3.29416800
-96.39999580,3.87279900,3.29416800
-96.31999581,3.87279900,3.29416800
-96.23999581,3.87279900,3.29416800
-96.15999581,3.87279900,3.29416800
-96.07999581,3.87279900,3.29416800
-95.99999581,3.87279900,3.29416800
-95.91999581,3.87279900,3.29416800
-95.83999581,3.87279900,3.29416800
-95.75999581,3.87279900,3.29416800
-95.67999581,3.96221800,3.29416800
-95.59999581,3.96221800,3.29416800
-95.51999581,3.96221800,3.20444300
-95.43999581,3.96221800,3.29416800
-95.35999581,4.05194200,3.29416800
-95.27999581,4.05194200,3.29416800
-95.19999581,4.05194200,3.29416800
-95.11999581,4.05194200,3.29416800
-95.03999581,4.05194200,3.29416800
-94.95999581,4.14166700,3.20444300
-94.87999581,4.14166700,3.29416800
-94.79999581,4.14166700,3.20444300
-94.71999581,4.14166700,3.20444300
-94.63999582,4.14166700,3.20444300
-94.55999582,4.14166700,3.20444300
-94.47999582,4.14166700,3.20444300
-94.39999582,4.14166700,3.20444300
-94.31999582,4.23108600,3.20444300
-94.23999582,4.23108600,3.29416800
-94.15999582,4.23108600,3.20444300
-94.07999582,4.23108600,3.20444300
-93.99999582,4.23108600,3.20444300
-93.91999582,4.23108600,3.20444300
-93.83999582,4.23108600,3.20444300
-93.75999582,4.23108600,3.20444300
-93.67999582,4.23108600,3.20444300
-93.59999582,4.23108600,3.20444300
-93.51999582,4.23108600,3.20444300
-93.43999582,4.32081100,3.20444300
-93.35999582,4.23108600,3.20444300
-93.27999582,4.32081100,3.20444300
-93.19999582,4.23108600,3.20444300
-93.11999582,4.32081100,3.20444300
-93.03999582,4.32081100,3.20444300
-92.95999583,4.32081100,3.20444300
-92.87999583,4.41053500,3.20444300
-92.79999583,4.41053500,3.20444300
-92.71999583,4.41053500,3.20444300
-92.63999583,4.41053500,3.20444300
-92.55999583,4.41053500,3.20444300
-92.47999583,4.41053500,3.20444300
-92.39999583,4.41053500,3.20444300
-92.31999583,4.49995400,3.20444300
-92.23999583,4.49995400,3.20444300
-92.15999583,4.41053500,3.20444300
-92.07999583,4.49995400,3.20444300
-91.99999583,4.49995400,3.11502400
-91.91999583,4.49995400,3.20444300
-91.83999583,4.49995400,3.11502400
-91.75999583,4.49995400,3.20444300
-91.67999583,4.58967900,3.20444300
-91.59999583,4.58967900,3.11502400
-91.51999583,4.58967900,3.11502400
-91.43999583,4.58967900,3.20444300
-91.35999584,4.58967900,3.20444300
-91.27999584,4.58967900,3.20444300
-91.19999584,4.58967900,3.20444300
-91.11999584,4.58967900,3.20444300
-91.03999584,4.58967900,3.20444300
-90.95999584,4.58967900,3.20444300
-90.87999584,4.58967900,3.20444300
-90.79999584,4.58967900,3.20444300
-90.71999584,4.58967900,3.20444300
-90.63999584,4.58967900,3.20444300
-90.55999584,4.58967900,3.20444300
-90.47999584,4.67940300,3.20444300
-90.39999584,4.67940300,3.20444300
-90.31999584,4.67940300,3.20444300
-90.23999584,4.67940300,3.11502400
-90.15999584,4.67940300,3.20444300
-90.07999584,4.67940300,3.20444300
-89.99999584,4.67940300,3.11502400
-89.91999584,4.67940300,3.20444300
-89.83999584,4.67940300,3.20444300
-89.75999584,4.67940300,3.20444300
-89.67999585,4.67940300,3.20444300
-89.59999585,4.76882200,3.20444300
-89.51999585,4.76882200,3.20444300
-89.43999585,4.76882200,3.20444300
-89.35999585,4.76882200,3.20444300
-89.27999585,4.76882200,3.20444300
-89.19999585,4.76882200,3.20444300
-89.11999585,4.76882200,3.20444300
-89.03999585,4.76882200,3.20444300
-88.95999585,4.76882200,3.20444300
-88.87999585,4.85854700,3.20444300
-88.79999585,4.76882200,3.20444300
-88.71999585,4.85854700,3.20444300
-88.63999585,4.85854700,3.20444300
-88.55999585,4.85854700,3.20444300
-88.47999585,4.85854700,3.20444300
-88.39999585,4.85854700,3.20444300
-88.31999585,4.85854700,3.20444300
-88.23999585,4.85854700,3.20444300
-88.15999585,4.85854700,3.20444300
-88.07999586,4.85854700,3.20444300
-87.99999586,4.94827100,3.20444300
-87.91999586,4.94827100,3.20444300
-87.83999586,4.94827100,3.20444300
-87.75999586,4.85854700,3.29416800
-87.67999586,4.94827100,3.29416800
-87.59999586,4.94827100,3.29416800
-87.51999586,4.94827100,3.20444300
-87.43999586,4.94827100,3.20444300
-87.35999586,4.94827100,3.29416800
-87.27999586,4.94827100,3.20444300
-87.19999586,4.94827100,3.20444300
-87.11999586,4.94827100,3.29416800
-87.03999586,4.94827100,3.29416800
-86.95999586,4.94827100,3.20444300
-86.87999586,4.94827100,3.29416800
-86.79999586,4.94827100,3.29416800
-86.71999586,4.94827100,3.29416800
-86.63999586,4.94827100,3.29416800
-86.55999586,4.94827100,3.29416800
-86.47999586,4.94827100,3.29416800
-86.39999587,4.94827100,3.29416800
-86.31999587,5.03769000,3.29416800
-86.23999587,4.94827100,3.29416800
-86.15999587,5.03769000,3.29416800
-86.07999587,5.03769000,3.38358700
-85.99999587,5.03769000,3.29416800
-85.91999587,5.03769000,3.29416800
-85.83999587,5.03769000,3.29416800
-85.75999587,5.03769000,3.38358700
-85.67999587,5.03769000,3.38358700
-85.59999587,5.03769000,3.38358700
-85.51999587,5.03769000,3.38358700
-85.43999587,5.03769000,3.38358700
-85.35999587,5.03769000,3.38358700
-85.27999587,5.12741500,3.38358700
-85.19999587,5.03769000,3.38358700
-85.11999587,5.12741500,3.38358700
-85.03999587,5.12741500,3.38358700
-84.95999587,5.12741500,3.38358700
-84.87999587,5.12741500,3.38358700
-84.79999588,5.12741500,3.38358700
-84.71999588,5.12741500,3.38358700
-84.63999588,5.12741500,3.38358700
-84.55999588,5.12741500,3.38358700
-84.47999588,5.12741500,3.38358700
-84.39999588,5.12741500,3.38358700
-84.31999588,5.12741500,3.38358700
-84.23999588,5.21683400,3.38358700
-84.15999588,5.12741500,3.38358700
-84.07999588,5.12741500,3.47331200
-83.99999588,5.12741500,3.47331200
-83.91999588,5.12741500,3.47331200
-83.83999588,5.21683400,3.47331200
-83.75999588,5.12741500,3.47331200
-83.67999588,5.21683400,3.47331200
-83.59999588,5.21683400,3.47331200
-83.51999588,5.21683400,3.47331200
-83.43999588,5.21683400,3.47331200
-83.35999588,5.21683400,3.47331200
-83.27999588,5.21683400,3.56273100
-83.19999588,5.21683400,3.47331200
-83.11999589,5.21683400,3.56273100
-83.03999589,5.21683400,3.56273100
-82.95999589,5.21683400,3.47331200
-82.87999589,5.21683400,3.56273100
-82.79999589,5.21683400,3.56273100
-82.71999589,5.21683400,3.56273100
-82.63999589,5.21683400,3.56273100
-82.55999589,5.21683400,3.56273100
-82.47999589,5.21683400,3.56273100
-82.39999589,5.21683400,3.56273100
-82.31999589,5.30655900,3.65245500
-82.23999589,5.21683400,3.56273100
-82.15999589,5.21683400,3.56273100
-82.07999589,5.30655900,3.56273100
-81.99999589,5.30655900,3.56273100
-81.91999589,5.30655900,3.65245500
-81.83999589,5.30655900,3.56273100
-81.75999589,5.30655900,3.65245500
-81.67999589,5.30655900,3.65245500
-81.59999589,5.30655900,3.65245500
-81.51999590,5.30655900,3.65245500
-81.43999590,5.30655900,3.65245500
-81.35999590,5.30655900,3.65245500
-81.27999590,5.30655900,3.74218000
-81.19999590,5.30655900,3.74218000
-81.11999590,5.30655900,3.74218000
-81.03999590,5.30655900,3.74218000
-80.95999590,5.30655900,3.74218000
-80.87999590,5.30655900,3.74218000
-80.79999590,5.30655900,3.74218000
-80.71999590,5.30655900,3.74218000
-80.63999590,5.30655900,3.74218000
-80.55999590,5.30655900,3.74218000
-80.47999590,5.30655900,3.74218000
-80.39999590,5.30655900,3.83159900
-80.31999590,5.30655900,3.83159900
-80.23999590,5.30655900,3.83159900
-80.15999590,5.30655900,3.74218000
-80.07999590,5.30655900,3.83159900
-79.99999590,5.30655900,3.83159900
-79.91999590,5.30655900,3.83159900
-79.83999591,5.30655900,3.74218000
-79.75999591,5.21683400,3.74218000
-79.67999591,5.21683400,3.74218000
-79.59999591,5.21683400,3.74218000
-79.51999591,5.12741500,3.65245500
-79.43999591,5.03769000,3.56273100
-79.35999591,5.03769000,3.56273100
-79.27999591,4.94827100,3.47331200
-79.19999591,4.85854700,3.38358700
-79.11999591,4.85854700,3.38358700
-79.03999591,4.85854700,3.38358700
-78.95999591,4.76882200,3.29416800
-78.87999591,4.76882200,3.29416800
-78.79999591,4.67940300,3.29416800
-78.71999591,4.67940300,3.29416800
-78.63999591,4.58967900,3.29416800
-78.55999591,4.58967900,3.20444300
-78.47999591,4.58967900,3.20444300
-78.39999591,4.58967900,3.20444300
-78.31999591,4.58967900,3.20444300
-78.23999591,4.49995400,3.20444300
-78.15999592,4.41053500,3.11502400
-78.07999592,4.49995400,3.11502400
-77.99999592,4.41053500,3.11502400
-77.91999592,4.32081100,3.02530000
-77.83999592,4.32081100,3.02530000
-77.75999592,4.32081100,3.02530000
-77.67999592,4.23108600,3.02530000
-77.59999592,4.23108600,3.02530000
-77.51999592,4.23108600,3.02530000
-77.43999592,4.14166700,3.02530000
-77.35999592,4.14166700,2.93557500
-77.27999592,4.14166700,2.93557500
-77.19999592,4.05194200,2.84615600
-77.11999592,4.05194200,2.84615600
-77.03999592,3.96221800,2.93557500
-76.95999592,4.05194200,2.84615600
-76.87999592,3.96221800,2.84615600
