Time,Channel A,Channel B
(us),(V),(V)

-100.15999578,1.00497400,-1.63304500
-100.07999578,1.00497400,-1.63304500
-99.99999578,1.00497400,-1.63304500
-99.91999578,1.00497400,-1.63304500
-99.83999578,1.00497400,-1.63304500
-99.75999578,1.00497400,-1.72277000
-99.67999578,1.00497400,-1.72277000
-99.59999579,1.00497400,-1.63304500
-99.51999579,1.00497400,-1.72277000
-99.43999579,1.00497400,-1.72277000
-99.35999579,1.00497400,-1.72277000
-99.27999579,0.91555530,-1.72277000
-99.19999579,0.91555530,-1.72277000
-99.11999579,0.91555530,-1.63304500
-99.03999579,0.91555530,-1.72277000
-98.95999579,0.91555530,-1.72277000
-98.87999579,0.91555530,-1.81218900
-98.79999579,0.91555530,-1.72277000
-98.71999579,0.91555530,-1.72277000
-98.63999579,0.91555530,-1.72277000
-98.55999579,0.91555530,-1.72277000
-98.47999579,0.82583090,-1.72277000
-98.39999579,0.91555530,-1.72277000
-98.31999579,0.82583090,-1.72277000
-98.23999579,0.91555530,-1.72277000
-98.15999579,0.82583090,-1.72277000
-98.07999579,0.91555530,-1.72277000
-97.99999579,0.82583090,-1.72277000
-97.91999580,0.91555530,-1.81218900
-97.83999580,0.82583090,-1.72277000
-97.75999580,0.82583090,-1.72277000
-97.67999580,0.82583090,-1.81218900
-97.59999580,0.82583090,-1.81218900
-97.51999580,0.82583090,-1.72277000
-97.43999580,0.82583090,-1.72277000
-97.35999580,0.82583090,-1.81218900
-97.27999580,0.82583090,-1.81218900
-97.19999580,0.82583090,-1.72277000
-97.11999580,0.82583090,-1.72277000
-97.03999580,0.73610650,-1.72277000
-96.95999580,0.73610650,-1.72277000
-96.87999580,0.82583090,-1.81218900
-96.79999580,0.73610650,-1.81218900
-96.71999580,0.73610650,-1.72277000
-96.63999580,0.73610650,-1.72277000
-96.55999580,0.73610650,-1.81218900
-96.47999580,0.73610650,-1.81218900
-96.39999580,0.73610650,-1.81218900
-96.31999581,0.73610650,-1.72277000
-96.23999581,0.73610650,-1.72277000
-96.15999581,0.64668720,-1.81218900
-96.07999581,0.73610650,-1.81218900
-95.99999581,0.73610650,-1.72277000
-95.91999581,0.73610650,-1.81218900
-95.83999581,0.73610650,-1.72277000
-95.75999581,0.73610650,-1.72277000
-95.67999581,0.64668720,-1.81218900
-95.59999581,0.64668720,-1.81218900
-95.51999581,0.64668720,-1.81218900
-95.43999581,0.64668720,-1.72277000
-95.35999581,0.64668720,-1.72277000
-95.27999581,0.64668720,-1.72277000
-95.19999581,0.64668720,-1.81218900
-95.11999581,0.64668720,-1.72277000
-95.03999581,0.64668720,-1.72277000
-94.95999581,0.64668720,-1.72277000
-94.87999581,0.64668720,-1.72277000
-94.79999581,0.64668720,-1.81218900
-94.71999581,0.64668720,-1.72277000
-94.63999582,0.64668720,-1.72277000
-94.55999582,0.64668720,-1.72277000
-94.47999582,0.64668720,-1.72277000
-94.39999582,0.64668720,-1.72277000
-94.31999582,0.64668720,-1.72277000
-94.23999582,0.64668720,-1.72277000
-94.15999582,0.64668720,-1.72277000
-94.07999582,0.64668720,-1.72277000
-93.99999582,0.64668720,-1.72277000
-93.91999582,0.64668720,-1.72277000
-93.83999582,0.64668720,-1.72277000
-93.75999582,0.64668720,-1.72277000
-93.67999582,0.55696280,-1.72277000
-93.59999582,0.55696280,-1.72277000
-93.51999582,0.64668720,-1.72277000
-93.43999582,0.55696280,-1.72277000
-93.35999582,0.55696280,-1.72277000
-93.27999582,0.55696280,-1.72277000
-93.19999582,0.55696280,-1.72277000
-93.11999582,0.55696280,-1.72277000
-93.03999582,0.55696280,-1.63304500
-92.95999583,0.55696280,-1.72277000
-92.87999583,0.55696280,-1.63304500
-92.79999583,0.55696280,-1.63304500
-92.71999583,0.55696280,-1.63304500
-92.63999583,0.55696280,-1.63304500
-92.55999583,0.55696280,-1.63304500
-92.47999583,0.55696280,-1.63304500
-92.39999583,0.55696280,-1.63304500
-92.31999583,0.55696280,-1.63304500
-92.23999583,0.55696280,-1.63304500
-92.15999583,0.55696280,-1.63304500
-92.07999583,0.55696280,-1.63304500
-91.99999583,0.55696280,-1.63304500
-91.91999583,0.55696280,-1.63304500
-91.83999583,0.46754360,-1.63304500
-91.75999583,0.46754360,-1.63304500
-91.67999583,0.55696280,-1.63304500
-91.59999583,0.46754360,-1.54362600
-91.51999583,0.55696280,-1.63304500
-91.43999583,0.46754360,-1.54362600
-91.35999584,0.46754360,-1.63304500
-91.27999584,0.55696280,-1.54362600
-91.19999584,0.55696280,-1.63304500
-91.11999584,0.55696280,-1.63304500
-91.03999584,0.55696280,-1.54362600
-90.95999584,0.64668720,-1.54362600
-90.87999584,0.64668720,-1.54362600
-90.79999584,0.73610650,-1.54362600
-90.71999584,0.73610650,-1.54362600
-90.63999584,0.82583090,-1.54362600
-90.55999584,0.91555530,-1.54362600
-90.47999584,0.91555530,-1.45390200
-90.39999584,1.00497400,-1.54362600
-90.31999584,1.00497400,-1.45390200
-90.23999584,1.00497400,-1.45390200
-90.15999584,1.09469900,-1.45390200
-90.07999584,1.09469900,-1.45390200
-89.99999584,1.18442300,-1.45390200
-89.91999584,1.18442300,-1.45390200
-89.83999584,1.18442300,-1.45390200
-89.75999584,1.27384300,-1.45390200
-89.67999585,1.36356700,-1.45390200
-89.59999585,1.36356700,-1.45390200
-89.51999585,1.36356700,-1.36448300
-89.43999585,1.36356700,-1.45390200
-89.35999585,1.45329100,-1.36448300
-89.27999585,1.45329100,-1.36448300
-89.19999585,1.45329100,-1.36448300
-89.11999585,1.54271100,-1.27475800
-89.03999585,1.54271100,-1.27475800
-88.95999585,1.54271100,-1.27475800
-88.87999585,1.63243500,-1.27475800
-88.79999585,1.63243500,-1.27475800
-88.71999585,1.63243500,-1.27475800
-88.63999585,1.72185400,-1.27475800
-88.55999585,1.72185400,-1.27475800
-88.47999585,1.72185400,-1.18503400
-88.39999585,1.72185400,-1.18503400
-88.31999585,1.81157900,-1.18503400
-88.23999585,1.81157900,-1.18503400
-88.15999585,1.90130300,-1.09561400
-88.07999586,1.90130300,-1.09561400
-87.99999586,1.90130300,-1.09561400
-87.91999586,1.99072200,-1.09561400
-87.83999586,1.99072200,-1.00589000
-87.75999586,1.99072200,-1.00589000
-87.67999586,2.08044700,-1.00589000
-87.59999586,2.08044700,-1.00589000
-87.51999586,2.08044700,-1.00589000
-87.43999586,2.08044700,-1.00589000
-87.35999586,2.08044700,-0.91647080
-87.27999586,2.08044700,-0.91647080
-87.19999586,2.17017100,-0.91647080
-87.11999586,2.17017100,-0.91647080
-87.03999586,2.25959000,-0.91647080
-86.95999586,2.25959000,-0.91647080
-86.87999586,2.25959000,-0.82674640
-86.79999586,2.34931500,-0.82674640
-86.71999586,2.34931500,-0.82674640
-86.63999586,2.34931500,-0.82674640
-86.55999586,2.34931500,-0.73732720
-86.47999586,2.43903900,-0.82674640
-86.39999587,2.43903900,-0.73732720
-86.31999587,2.43903900,-0.73732720
-86.23999587,2.43903900,-0.73732720
-86.15999587,2.43903900,-0.73732720
-86.07999587,2.52845900,-0.64760280
-85.99999587,2.61818300,-0.73732720
-85.91999587,2.61818300,-0.73732720
-85.83999587,2.61818300,-0.64760280
-85.75999587,2.61818300,-0.55818360
-85.67999587,2.70790700,-0.55818360
-85.59999587,2.70790700,-0.55818360
-85.51999587,2.70790700,-0.55818360
-85.43999587,2.70790700,-0.55818360
-85.35999587,2.70790700,-0.55818360
-85.27999587,2.79732700,-0.46876430
-85.19999587,2.79732700,-0.46876430
-85.11999587,2.79732700,-0.46876430
-85.03999587,2.88705100,-0.46876430
-84.95999587,2.79732700,-0.46876430
-84.87999587,2.88705100,-0.37903990
-84.79999588,2.88705100,-0.37903990
-84.71999588,2.88705100,-0.37903990
-84.63999588,2.97647000,-0.37903990
-84.55999588,2.97647000,-0.28962070
-84.47999588,2.97647000,-0.28962070
-84.39999588,2.97647000,-0.28962070
-84.31999588,3.06619500,-0.28962070
-84.23999588,3.06619500,-0.19989620
-84.15999588,3.06619500,-0.19989620
-84.07999588,3.06619500,-0.19989620
-83.99999588,3.06619500,-0.19989620
-83.91999588,3.06619500,-0.19989620
-83.83999588,3.15591900,-0.19989620
-83.75999588,3.15591900,-0.11047700
-83.67999588,3.15591900,-0.11047700
-83.59999588,3.15591900,-0.11047700
-83.51999588,3.15591900,-0.11047700
-83.43999588,3.15591900,-0.11047700
-83.35999588,3.15591900,-0.02075259
-83.27999588,3.24533800,-0.02075259
-83.19999588,3.24533800,-0.02075259
-83.11999589,3.24533800,-0.02075259
-83.03999589,3.33506300,-0.02075259
-82.95999589,3.33506300,-0.02075259
-82.87999589,3.33506300,0.06866664
-82.79999589,3.33506300,0.06866664
-82.71999589,3.33506300,0.06866664
-82.63999589,3.42478700,0.15839110
-82.55999589,3.42478700,0.15839110
-82.47999589,3.42478700,0.15839110
-82.39999589,3.42478700,0.15839110
-82.31999589,3.42478700,0.15839110
-82.23999589,3.51420600,0.15839110
-82.15999589,3.51420600,0.24811550
-82.07999589,3.51420600,0.24811550
-81.99999589,3.51420600,0.24811550
-81.91999589,3.51420600,0.33753470
-81.83999589,3.51420600,0.33753470
-81.75999589,3.60393100,0.33753470
-81.67999589,3.51420600,0.33753470
-81.59999589,3.60393100,0.33753470
-81.51999590,3.60393100,0.42725910
-81.43999590,3.60393100,0.42725910
-81.35999590,3.60393100,0.42725910
-81.27999590,3.69365500,0.42725910
-81.19999590,3.69365500,0.42725910
-81.11999590,3.69365500,0.42725910
-81.03999590,3.69365500,0.51667840
-80.95999590,3.69365500,0.51667840
-80.87999590,3.78307400,0.51667840
-80.79999590,3.69365500,0.51667840
-80.71999590,3.78307400,0.51667840
-80.63999590,3.78307400,0.60640280
-80.55999590,3.78307400,0.51667840
-80.47999590,3.78307400,0.60640280
-80.39999590,3.87279900,0.60640280
-80.31999590,3.87279900,0.69582200
-80.23999590,3.87279900,0.69582200
-80.15999590,3.87279900,0.69582200
-80.07999590,3.87279900,0.69582200
-79.99999590,3.87279900,0.69582200
-79.91999590,3.87279900,0.69582200
-79.83999591,3.87279900,0.78554640
-79.75999591,3.87279900,0.78554640
-79.67999591,3.87279900,0.78554640
-79.59999591,3.96221800,0.78554640
-79.51999591,3.96221800,0.87527080
-79.43999591,3.96221800,0.87527080
-79.35999591,3.96221800,0.87527080
-79.27999591,3.96221800,0.87527080
-79.19999591,3.96221800,0.87527080
-79.11999591,4.05194200,0.87527080
-79.03999591,4.05194200,0.87527080
-78.95999591,4.05194200,0.96469010
-78.87999591,4.05194200,0.96469010
-78.79999591,4.14166700,0.96469010
-78.71999591,4.14166700,0.96469010
-78.63999591,4.14166700,0.96469010
-78.55999591,4.14166700,0.96469010
-78.47999591,4.14166700,0.96469010
-78.39999591,4.14166700,1.05441500
-78.31999591,4.14166700,1.05441500
-78.23999591,4.14166700,1.05441500
-78.15999592,4.23108600,1.05441500
-78.07999592,4.23108600,1.05441500
-77.99999592,4.23108600,1.05441500
-77.91999592,4.23108600,1.14383400
-77.83999592,4.23108600,1.05441500
-77.75999592,4.23108600,1.14383400
