Time;Channel A;Channel B
(ms);(V);(V)

-1,00068329;0,00412000;0,00167852
-1,00004329;0,00412000;0,00167852
-0,99940329;0,72725610;0,96377450
-0,99876329;1,45039200;0,91799680
-0,99812329;1,72170200;0,91799680
-0,99748329;1,85720400;0,91799680
-0,99684329;1,94769100;0,91799680
-0,99620329;1,94769100;0,91799680
-0,99556329;1,94769100;0,91799680
-0,99492329;1,94769100;0,91799680
-0,99428329;1,99285900;0,91799680
-0,99364329;1,99285900;0,91799680
-0,99300329;1,99285900;0,91799680
-0,99236329;1,99285900;0,91799680
-0,99172329;1,94769100;0,91799680
-0,99108329;1,99285900;0,91799680
-0,99044329;1,94769100;0,91799680
-0,98980329;1,99285900;0,91799680
-0,98916329;1,99285900;0,91799680
-0,98852329;1,99285900;0,91799680
-0,98788329;1,99285900;0,91799680
-0,98724329;1,99285900;0,91799680
-0,98660329;1,99285900;0,91799680
-0,98596329;1,99285900;0,91799680
-0,98532329;1,99285900;0,91799680
-0,98468329;1,99285900;0,91799680
-0,98404329;1,99285900;0,91799680
-0,98340329;1,99285900;0,91799680
-0,98276329;1,99285900;0,91799680
-0,98212329;1,99285900;0,91799680
-0,98148329;1,99285900;0,91799680
-0,98084329;1,99285900;0,91799680
-0,98020329;1,99285900;0,91799680
-0,97956329;1,99285900;0,91799680
-0,97892329;1,99285900;0,91799680
-0,97828329;1,99285900;0,91799680
-0,97764329;1,99285900;0,91799680
-0,97700329;1,99285900;0,91799680
-0,97636329;1,94769100;0,91799680
-0,97572329;1,99285900;0,91799680
-0,97508329;1,99285900;0,91799680
-0,97444329;1,99285900;0,91799680
-0,97380329;1,99285900;0,91799680
-0,97316329;1,99285900;0,91799680
-0,97252329;1,99285900;0,91799680
-0,97188329;1,99285900;0,91799680
-0,97124329;1,99285900;0,91799680
-0,97060329;1,99285900;0,91799680
-0,96996329;1,99285900;0,91799680
-0,96932329;1,99285900;0,91799680
-0,96868329;1,99285900;0,91799680
-0,96804329;1,99285900;0,91799680
-0,96740329;1,99285900;0,91799680
-0,96676329;1,99285900;0,91799680
-0,96612329;1,94769100;0,91799680
-0,96548329;1,99285900;0,91799680
-0,96484329;1,99285900;0,91799680
-0,96420329;1,94769100;0,91799680
-0,96356329;1,99285900;0,91799680
-0,96292329;1,99285900;0,91799680
-0,96228329;1,99285900;0,91799680
-0,96164329;1,99285900;0,91799680
-0,96100329;1,99285900;0,91799680
-0,96036329;1,99285900;0,91799680
-0,95972329;1,94769100;0,91799680
-0,95908329;1,99285900;0,91799680
-0,95844329;1,99285900;0,91799680
-0,95780329;1,99285900;0,91799680
-0,95716329;1,99285900;0,91799680
-0,95652329;1,99285900;0,91799680
-0,95588329;1,99285900;0,91799680
-0,95524329;1,94769100;0,91799680
-0,95460329;1,99285900;0,91799680
-0,95396329;1,99285900;0,91799680
-0,95332329;1,99285900;0,91799680
-0,95268329;1,99285900;0,91799680
-0,95204329;1,99285900;0,91799680
-0,95140329;1,99285900;0,91799680
-0,95076329;1,99285900;0,91799680
-0,95012329;1,99285900;0,91799680
-0,94948329;1,99285900;0,91799680
-0,94884329;1,99285900;0,91799680
-0,94820329;1,99285900;0,91799680
-0,94756329;1,99285900;0,91799680
-0,94692329;1,99285900;0,91799680
-0,94628329;1,99285900;0,91799680
-0,94564329;1,94769100;0,91799680
-0,94500329;1,99285900;0,91799680
-0,94436329;1,94769100;0,91799680
-0,94372329;1,99285900;0,91799680
-0,94308329;1,99285900;0,91799680
-0,94244329;1,99285900;0,91799680
-0,94180329;1,99285900;0,91799680
-0,94116329;1,99285900;0,91799680
-0,94052329;1,99285900;0,91799680
-0,93988329;1,99285900;0,91799680
-0,93924329;1,99285900;0,91799680
-0,93860329;1,99285900;0,91799680
-0,93796329;1,99285900;0,91799680
-0,93732329;1,99285900;0,91799680
-0,93668329;1,99285900;0,91799680
-0,93604329;1,99285900;0,91799680
-0,93540329;1,99285900;0,91799680
-0,93476329;1,99285900;0,91799680
-0,93412329;1,94769100;0,91799680
-0,93348329;1,99285900;0,91799680
-0,93284329;1,94769100;0,91799680
-0,93220329;1,99285900;0,91799680
-0,93156329;1,99285900;0,91799680
-0,93092329;1,99285900;0,91799680
-0,93028329;1,99285900;0,91799680
-0,92964329;1,99285900;0,91799680
-0,92900329;1,99285900;0,91799680
-0,92836329;1,99285900;0,91799680
-0,92772329;1,99285900;0,91799680
-0,92708329;1,99285900;0,91799680
-0,92644329;1,99285900;0,91799680
-0,92580329;1,99285900;0,91799680
-0,92516329;1,99285900;0,91799680
-0,92452329;1,99285900;0,91799680
