Temps;Canal A;Canal B
(us);(V);(V)

-250,17600274;-0,51820430;5,17563400
-250,01600274;-0,51820430;5,17563400
-249,85600274;-0,60762350;5,17563400
-249,69600274;-0,60762350;5,17563400
-249,53600274;-0,69734790;5,17563400
-249,37600274;-0,69734790;5,17563400
-249,21600274;-0,69734790;5,17563400
-249,05600274;-0,78676720;5,17563400
-248,89600274;-0,78676720;4,99618500
-248,73600275;-0,87649160;4,99618500
-248,57600275;-0,87649160;4,90676600
-248,41600275;-0,87649160;4,81704100
-248,25600275;-0,96621600;4,72762300
-248,09600275;-0,96621600;4,72762300
-247,93600275;-0,96621600;4,63789800
-247,77600275;-1,05563500;4,63789800
-247,61600275;-1,14536000;4,45875400
-247,45600275;-1,14536000;4,36903000
-247,29600275;-1,14536000;4,27961100
-247,13600276;-1,14536000;4,27961100
-246,97600276;-1,14536000;4,18988600
-246,81600276;-1,23508400;4,10046700
-246,65600276;-1,23508400;4,10046700
-246,49600276;-1,23508400;4,10046700
-246,33600276;-1,32450300;4,01074300
-246,17600276;-1,32450300;3,92132300
-246,01600276;-1,41422800;3,92132300
-245,85600276;-1,41422800;3,83159900
-245,69600276;-1,50395200;3,74218000
-245,53600277;-1,50395200;3,74218000
-245,37600277;-1,50395200;3,65245500
-245,21600277;-1,50395200;3,56273100
-245,05600277;-1,50395200;3,56273100
-244,89600277;-1,59337100;3,56273100
-244,73600277;-1,59337100;3,47331200
-244,57600277;-1,59337100;3,47331200
-244,41600277;-1,68309600;3,38358700
-244,25600277;-1,68309600;3,38358700
-244,09600277;-1,77282000;3,29416800
-243,93600278;-1,77282000;3,29416800
-243,77600278;-1,86223900;3,20444300
-243,61600278;-1,86223900;3,20444300
-243,45600278;-1,86223900;3,11502400
-243,29600278;-1,86223900;3,02530000
-243,13600278;-1,86223900;3,02530000
-242,97600278;-1,86223900;3,02530000
-242,81600278;-1,86223900;2,93557500
-242,65600278;-1,86223900;2,84615600
-242,49600278;-1,95196400;2,84615600
-242,33600278;-1,95196400;2,84615600
-242,17600279;-1,95196400;2,75643200
-242,01600279;-1,95196400;2,75643200
-241,85600279;-2,04138300;2,66701200
-241,69600279;-1,95196400;2,66701200
-241,53600279;-2,04138300;2,66701200
-241,37600279;-2,04138300;2,57728800
-241,21600279;-2,04138300;2,57728800
-241,05600279;-2,13110800;2,57728800
-240,89600279;-2,04138300;2,48786900
-240,73600279;-2,13110800;2,48786900
-240,57600280;-2,13110800;2,48786900
-240,41600280;-2,13110800;2,39814400
-240,25600280;-2,13110800;2,39814400
-240,09600280;-2,13110800;2,39814400
-239,93600280;-2,13110800;2,30872500
-239,77600280;-2,22083200;2,30872500
-239,61600280;-2,22083200;2,30872500
-239,45600280;-2,22083200;2,21900100
-239,29600280;-2,22083200;2,21900100
-239,13600280;-2,22083200;2,21900100
-238,97600281;-2,22083200;2,12927700
-238,81600281;-2,22083200;2,12927700
-238,65600281;-2,22083200;2,12927700
-238,49600281;-2,22083200;2,03985700
-238,33600281;-2,22083200;2,03985700
-238,17600281;-2,22083200;1,95013300
-238,01600281;-2,22083200;1,95013300
-237,85600281;-2,22083200;1,95013300
-237,69600281;-2,22083200;1,95013300
-237,53600281;-2,22083200;1,95013300
-237,37600281;-2,13110800;1,86071300
-237,21600282;-2,22083200;1,86071300
-237,05600282;-2,22083200;1,77098900
-236,89600282;-2,22083200;1,86071300
-236,73600282;-2,22083200;1,86071300
-236,57600282;-2,13110800;1,77098900
-236,41600282;-2,22083200;1,77098900
-236,25600282;-2,13110800;1,68157000
-236,09600282;-2,13110800;1,68157000
-235,93600282;-2,13110800;1,59184600
-235,77600282;-2,13110800;1,59184600
-235,61600283;-2,13110800;1,59184600
-235,45600283;-2,04138300;1,59184600
-235,29600283;-2,04138300;1,59184600
-235,13600283;-2,04138300;1,50212100
-234,97600283;-2,04138300;1,50212100
-234,81600283;-2,04138300;1,41270200
-234,65600283;-2,04138300;1,41270200
-234,49600283;-1,95196400;1,41270200
-234,33600283;-1,95196400;1,41270200
-234,17600283;-1,95196400;1,41270200
-234,01600284;-1,95196400;1,41270200
-233,85600284;-1,95196400;1,41270200
-233,69600284;-1,86223900;1,32297700
-233,53600284;-1,86223900;1,41270200
-233,37600284;-1,86223900;1,32297700
-233,21600284;-1,86223900;1,32297700
-233,05600284;-1,86223900;1,32297700
-232,89600284;-1,77282000;1,23355800
-232,73600284;-1,86223900;1,23355800
-232,57600284;-1,77282000;1,23355800
-232,41600285;-1,77282000;1,23355800
-232,25600285;-1,68309600;1,23355800
-232,09600285;-1,68309600;1,23355800
-231,93600285;-1,59337100;1,23355800
-231,77600285;-1,59337100;1,14383400
-231,61600285;-1,59337100;1,14383400
-231,45600285;-1,59337100;1,14383400
-231,29600285;-1,59337100;1,14383400
-231,13600285;-1,50395200;1,14383400
-230,97600285;-1,50395200;1,05441500
-230,81600285;-1,50395200;1,05441500
-230,65600286;-1,41422800;1,05441500
-230,49600286;-1,41422800;1,05441500
-230,33600286;-1,32450300;1,05441500
-230,17600286;-1,32450300;1,05441500
-230,01600286;-1,32450300;0,96469010
-229,85600286;-1,23508400;0,96469010
-229,69600286;-1,23508400;0,96469010
-229,53600286;-1,23508400;0,96469010
-229,37600286;-1,14536000;0,96469010
-229,21600286;-1,14536000;0,96469010
-229,05600287;-1,14536000;0,96469010
-228,89600287;-1,05563500;0,96469010
-228,73600287;-1,05563500;0,87527080
-228,57600287;-0,96621600;0,87527080
-228,41600287;-0,96621600;0,87527080
-228,25600287;-0,87649160;0,87527080
-228,09600287;-0,87649160;0,87527080
-227,93600287;-0,87649160;0,87527080
-227,77600287;-0,87649160;0,87527080
-227,61600287;-0,78676720;0,87527080
-227,45600288;-0,78676720;0,87527080
-227,29600288;-0,69734790;0,78554640
-227,13600288;-0,69734790;0,78554640
-226,97600288;-0,60762350;0,78554640
-226,81600288;-0,60762350;0,78554640
-226,65600288;-0,51820430;0,78554640
-226,49600288;-0,51820430;0,78554640
-226,33600288;-0,51820430;0,78554640
-226,17600288;-0,42847990;0,78554640
-226,01600288;-0,42847990;0,69582200
-225,85600288;-0,42847990;0,69582200
-225,69600289;-0,33875550;0,69582200
-225,53600289;-0,24933620;0,69582200
-225,37600289;-0,24933620;0,69582200
-225,21600289;-0,15961180;0,60640280
-225,05600289;-0,15961180;0,69582200
-224,89600289;-0,06988738;0,60640280
-224,73600289;-0,06988738;0,69582200
-224,57600289;-0,06988738;0,60640280
-224,41600289;0,01953185;0,60640280
-224,25600289;0,01953185;0,60640280
-224,09600290;0,01953185;0,60640280
-223,93600290;0,10925630;0,60640280
-223,77600290;0,10925630;0,60640280
-223,61600290;0,19898070;0,60640280
-223,45600290;0,19898070;0,60640280
-223,29600290;0,28839990;0,60640280
-223,13600290;0,28839990;0,60640280
-222,97600290;0,28839990;0,51667840
-222,81600290;0,37812430;0,51667840
-222,65600290;0,37812430;0,51667840
-222,49600291;0,46754360;0,51667840
-222,33600291;0,46754360;0,51667840
-222,17600291;0,55696280;0,51667840
-222,01600291;0,55696280;0,51667840
-221,85600291;0,55696280;0,51667840
-221,69600291;0,64668720;0,51667840
-221,53600291;0,64668720;0,51667840
-221,37600291;0,64668720;0,51667840
-221,21600291;0,73610650;0,51667840
-221,05600291;0,73610650;0,60640280
-220,89600292;0,82583090;0,69582200
-220,73600292;0,82583090;0,69582200
-220,57600292;0,91555530;0,87527080
-220,41600292;0,91555530;0,96469010
-220,25600292;1,00497400;0,96469010
-220,09600292;1,00497400;1,05441500
-219,93600292;1,00497400;1,05441500
-219,77600292;1,00497400;1,14383400
-219,61600292;1,00497400;1,23355800
-219,45600292;1,09469900;1,32297700
-219,29600292;1,18442300;1,41270200
-219,13600293;1,18442300;1,41270200
-218,97600293;1,27384300;1,41270200
-218,81600293;1,27384300;1,50212100
-218,65600293;1,27384300;1,59184600
-218,49600293;1,27384300;1,68157000
-218,33600293;1,36356700;1,68157000
-218,17600293;1,36356700;1,77098900
-218,01600293;1,36356700;1,86071300
-217,85600293;1,36356700;1,86071300
-217,69600293;1,45329100;1,95013300
-217,53600294;1,54271100;2,03985700
-217,37600294;1,54271100;2,03985700
-217,21600294;1,54271100;2,12927700
-217,05600294;1,54271100;2,12927700
-216,89600294;1,63243500;2,21900100
-216,73600294;1,63243500;2,21900100
-216,57600294;1,63243500;2,30872500
-216,41600294;1,72185400;2,30872500
-216,25600294;1,72185400;2,39814400
-216,09600294;1,72185400;2,39814400
-215,93600295;1,72185400;2,48786900
-215,77600295;1,72185400;2,48786900
-215,61600295;1,81157900;2,57728800
-215,45600295;1,81157900;2,57728800
-215,29600295;1,81157900;2,66701200
-215,13600295;1,90130300;2,75643200
-214,97600295;1,90130300;2,75643200
-214,81600295;1,90130300;2,75643200
-214,65600295;1,90130300;2,84615600
-214,49600295;1,99072200;2,84615600
-214,33600295;1,99072200;2,93557500
-214,17600296;1,99072200;2,84615600
-214,01600296;1,99072200;3,02530000
-213,85600296;1,99072200;3,02530000
-213,69600296;1,99072200;3,02530000
-213,53600296;2,08044700;3,11502400
-213,37600296;2,08044700;3,11502400
-213,21600296;2,08044700;3,20444300
-213,05600296;2,08044700;3,20444300
-212,89600296;2,08044700;3,20444300
-212,73600296;2,08044700;3,29416800
-212,57600297;2,08044700;3,29416800
-212,41600297;2,08044700;3,38358700
-212,25600297;2,08044700;3,38358700
-212,09600297;2,08044700;3,38358700
-211,93600297;2,08044700;3,38358700
-211,77600297;2,17017100;3,47331200
-211,61600297;2,17017100;3,47331200
-211,45600297;2,17017100;3,47331200
-211,29600297;2,17017100;3,56273100
-211,13600297;2,17017100;3,56273100
-210,97600298;2,17017100;3,56273100
-210,81600298;2,17017100;3,65245500
-210,65600298;2,25959000;3,56273100
-210,49600298;2,17017100;3,65245500
-210,33600298;2,17017100;3,74218000
-210,17600298;2,17017100;3,74218000
-210,01600298;2,17017100;3,74218000
-209,85600298;2,17017100;3,74218000
-209,69600298;2,17017100;3,83159900
-209,53600298;2,17017100;3,83159900
-209,37600299;2,17017100;3,92132300
-209,21600299;2,17017100;3,92132300
-209,05600299;2,17017100;3,92132300
-208,89600299;2,17017100;3,92132300
-208,73600299;2,17017100;4,01074300
-208,57600299;2,17017100;4,01074300
-208,41600299;2,17017100;4,01074300
-208,25600299;2,17017100;4,01074300
-208,09600299;2,08044700;4,10046700
-207,93600299;2,08044700;4,10046700
-207,77600299;2,08044700;4,10046700
-207,61600300;2,08044700;4,10046700
-207,45600300;2,08044700;4,10046700
-207,29600300;2,08044700;4,18988600
-207,13600300;2,08044700;4,18988600
-206,97600300;2,08044700;4,18988600
-206,81600300;2,08044700;4,18988600
-206,65600300;2,08044700;4,18988600
-206,49600300;1,99072200;4,18988600
-206,33600300;1,99072200;4,27961100
-206,17600300;1,99072200;4,27961100
-206,01600301;1,99072200;4,27961100
-205,85600301;1,99072200;4,27961100
-205,69600301;1,90130300;4,27961100
-205,53600301;1,90130300;4,36903000
-205,37600301;1,90130300;4,36903000
-205,21600301;1,81157900;4,36903000
-205,05600301;1,81157900;4,36903000
-204,89600301;1,81157900;4,45875400
