Temps;Canal A;Canal B
(us);(V);(V)

-100,15999578;5,12741500;5,98193300
-100,07999578;5,03769000;5,98193300
-99,99999578;5,12741500;5,98193300
-99,91999578;5,12741500;5,98193300
-99,83999578;5,12741500;5,98193300
-99,75999578;5,12741500;5,98193300
-99,67999578;5,12741500;5,98193300
-99,59999579;5,12741500;5,98193300
-99,51999579;5,12741500;5,98193300
-99,43999579;5,12741500;5,98193300
-99,35999579;5,12741500;5,98193300
-99,27999579;5,12741500;5,98193300
-99,19999579;5,12741500;5,98193300
-99,11999579;5,12741500;5,89220900
-99,03999579;5,12741500;5,98193300
-98,95999579;5,21683400;5,98193300
-98,87999579;5,21683400;5,98193300
-98,79999579;5,21683400;5,98193300
-98,71999579;5,21683400;5,98193300
-98,63999579;5,21683400;5,98193300
-98,55999579;5,21683400;5,98193300
-98,47999579;5,21683400;5,98193300
-98,39999579;5,21683400;5,98193300
-98,31999579;5,21683400;5,98193300
-98,23999579;5,21683400;5,98193300
-98,15999579;5,21683400;5,98193300
-98,07999579;5,21683400;5,98193300
-97,99999579;5,21683400;5,98193300
-97,91999580;5,21683400;5,98193300
-97,83999580;5,21683400;5,98193300
-97,75999580;5,21683400;5,98193300
-97,67999580;5,21683400;5,98193300
-97,59999580;5,21683400;5,98193300
-97,51999580;5,30655900;5,98193300
-97,43999580;5,21683400;5,98193300
-97,35999580;5,21683400;5,98193300
-97,27999580;5,30655900;5,98193300
-97,19999580;5,30655900;5,98193300
-97,11999580;5,21683400;5,98193300
-97,03999580;5,30655900;5,98193300
-96,95999580;5,30655900;5,98193300
-96,87999580;5,30655900;5,98193300
-96,79999580;5,30655900;5,98193300
-96,71999580;5,30655900;5,98193300
-96,63999580;5,30655900;5,98193300
-96,55999580;5,30655900;5,98193300
-96,47999580;5,30655900;5,98193300
-96,39999580;5,30655900;5,98193300
-96,31999581;5,30655900;5,98193300
-96,23999581;5,30655900;5,98193300
-96,15999581;5,30655900;5,98193300
-96,07999581;5,30655900;5,98193300
-95,99999581;5,30655900;5,98193300
-95,91999581;5,30655900;5,98193300
-95,83999581;5,30655900;5,98193300
-95,75999581;5,30655900;5,98193300
-95,67999581;5,30655900;5,98193300
-95,59999581;5,30655900;5,98193300
-95,51999581;5,30655900;5,98193300
-95,43999581;5,30655900;5,98193300
-95,35999581;5,30655900;5,98193300
-95,27999581;5,30655900;5,98193300
-95,19999581;5,39628300;6,07135200
-95,11999581;5,30655900;5,98193300
-95,03999581;5,39628300;5,98193300
-94,95999581;5,39628300;5,98193300
-94,87999581;5,39628300;5,98193300
-94,79999581;5,39628300;5,98193300
-94,71999581;5,39628300;5,98193300
-94,63999582;5,39628300;5,98193300
-94,55999582;5,39628300;5,98193300
-94,47999582;5,30655900;5,98193300
-94,39999582;5,39628300;5,98193300
-94,31999582;5,30655900;6,07135200
-94,23999582;5,39628300;5,98193300
-94,15999582;5,39628300;5,98193300
-94,07999582;5,39628300;5,98193300
-93,99999582;5,48570200;5,98193300
-93,91999582;5,39628300;5,98193300
-93,83999582;5,48570200;5,98193300
-93,75999582;5,39628300;5,98193300
-93,67999582;5,39628300;5,98193300
-93,59999582;5,48570200;5,98193300
-93,51999582;5,48570200;5,89220900
-93,43999582;5,48570200;5,98193300
-93,35999582;5,48570200;5,98193300
-93,27999582;5,39628300;5,89220900
-93,19999582;5,48570200;5,98193300
-93,11999582;5,48570200;5,89220900
-93,03999582;5,48570200;5,98193300
-92,95999583;5,48570200;5,89220900
-92,87999583;5,48570200;5,89220900
-92,79999583;5,48570200;5,89220900
-92,71999583;5,48570200;5,89220900
-92,63999583;5,48570200;5,71306500
-92,55999583;5,39628300;5,35477800
-92,47999583;5,48570200;4,81704100
-92,39999583;5,48570200;4,18988600
-92,31999583;5,48570200;3,65245500
-92,23999583;5,48570200;2,93557500
-92,15999583;5,39628300;2,30872500
-92,07999583;5,39628300;1,59184600
-91,99999583;5,39628300;0,87527080
-91,91999583;5,30655900;0,33753470
-91,83999583;5,30655900;0,15839110
-91,75999583;5,21683400;0,06866664
-91,67999583;5,21683400;0,15839110
-91,59999583;5,21683400;0,06866664
-91,51999583;5,12741500;0,15839110
-91,43999583;5,12741500;0,15839110
-91,35999584;5,03769000;0,15839110
-91,27999584;5,03769000;0,15839110
-91,19999584;4,94827100;0,15839110
-91,11999584;4,94827100;0,15839110
-91,03999584;4,94827100;0,15839110
-90,95999584;4,94827100;0,15839110
-90,87999584;4,94827100;0,15839110
-90,79999584;4,85854700;0,15839110
-90,71999584;4,85854700;0,15839110
-90,63999584;4,76882200;0,06866664
-90,55999584;4,76882200;0,15839110
-90,47999584;4,67940300;0,06866664
-90,39999584;4,67940300;0,06866664
-90,31999584;4,67940300;0,15839110
-90,23999584;4,67940300;0,15839110
-90,15999584;4,58967900;0,06866664
-90,07999584;4,58967900;0,15839110
-89,99999584;4,58967900;0,15839110
-89,91999584;4,49995400;0,15839110
-89,83999584;4,49995400;0,06866664
-89,75999584;4,49995400;0,15839110
-89,67999585;4,49995400;0,06866664
-89,59999585;4,41053500;0,15839110
-89,51999585;4,32081100;0,06866664
-89,43999585;4,32081100;0,15839110
-89,35999585;4,32081100;0,06866664
-89,27999585;4,32081100;0,06866664
-89,19999585;4,23108600;0,06866664
-89,11999585;4,23108600;0,06866664
-89,03999585;4,23108600;0,15839110
-88,95999585;4,23108600;0,15839110
-88,87999585;4,23108600;0,06866664
-88,79999585;4,14166700;0,15839110
-88,71999585;4,14166700;0,06866664
-88,63999585;4,05194200;0,15839110
-88,55999585;4,05194200;0,06866664
-88,47999585;3,96221800;0,15839110
-88,39999585;4,05194200;0,15839110
-88,31999585;3,96221800;0,06866664
-88,23999585;3,96221800;0,15839110
-88,15999585;3,96221800;0,06866664
-88,07999586;3,87279900;0,15839110
-87,99999586;3,87279900;0,06866664
-87,91999586;3,87279900;0,15839110
-87,83999586;3,78307400;0,06866664
-87,75999586;3,78307400;0,06866664
-87,67999586;3,78307400;0,06866664
-87,59999586;3,78307400;0,06866664
-87,51999586;3,69365500;0,06866664
-87,43999586;3,69365500;0,06866664
-87,35999586;3,69365500;0,06866664
-87,27999586;3,60393100;0,06866664
-87,19999586;3,60393100;0,06866664
-87,11999586;3,60393100;0,06866664
-87,03999586;3,60393100;0,06866664
-86,95999586;3,51420600;0,06866664
-86,87999586;3,51420600;0,06866664
-86,79999586;3,51420600;0,06866664
-86,71999586;3,51420600;0,06866664
-86,63999586;3,51420600;0,06866664
-86,55999586;3,51420600;0,06866664
-86,47999586;3,42478700;0,06866664
-86,39999587;3,42478700;0,06866664
-86,31999587;3,33506300;0,15839110
-86,23999587;3,42478700;0,06866664
-86,15999587;3,33506300;0,15839110
-86,07999587;3,33506300;0,06866664
-85,99999587;3,33506300;0,06866664
-85,91999587;3,24533800;0,06866664
-85,83999587;3,24533800;0,06866664
-85,75999587;3,24533800;0,06866664
-85,67999587;3,15591900;0,06866664
-85,59999587;3,15591900;0,06866664
-85,51999587;3,15591900;0,06866664
-85,43999587;3,15591900;0,06866664
-85,35999587;3,15591900;0,06866664
-85,27999587;3,15591900;0,06866664
-85,19999587;3,06619500;0,06866664
-85,11999587;3,06619500;0,06866664
-85,03999587;3,06619500;0,06866664
-84,95999587;3,06619500;0,06866664
-84,87999587;2,97647000;0,06866664
-84,79999588;2,97647000;0,06866664
-84,71999588;2,97647000;0,06866664
-84,63999588;2,97647000;0,06866664
-84,55999588;2,97647000;0,06866664
-84,47999588;2,88705100;0,06866664
-84,39999588;2,88705100;0,06866664
-84,31999588;2,79732700;0,06866664
-84,23999588;2,88705100;0,06866664
-84,15999588;2,79732700;0,06866664
-84,07999588;2,79732700;0,06866664
-83,99999588;2,79732700;0,06866664
-83,91999588;2,79732700;0,06866664
-83,83999588;2,79732700;0,06866664
-83,75999588;2,70790700;0,06866664
-83,67999588;2,70790700;0,06866664
-83,59999588;2,70790700;0,06866664
-83,51999588;2,70790700;0,06866664
-83,43999588;2,70790700;0,06866664
-83,35999588;2,70790700;0,06866664
-83,27999588;2,61818300;0,06866664
-83,19999588;2,61818300;0,06866664
-83,11999589;2,61818300;0,06866664
-83,03999589;2,61818300;0,06866664
-82,95999589;2,61818300;0,06866664
-82,87999589;2,61818300;0,06866664
-82,79999589;2,52845900;0,06866664
-82,71999589;2,52845900;0,06866664
-82,63999589;2,43903900;0,06866664
-82,55999589;2,43903900;0,06866664
-82,47999589;2,43903900;0,06866664
-82,39999589;2,43903900;0,06866664
-82,31999589;2,43903900;0,06866664
-82,23999589;2,43903900;0,06866664
-82,15999589;2,43903900;0,06866664
-82,07999589;2,34931500;0,15839110
-81,99999589;2,43903900;0,06866664
-81,91999589;2,34931500;0,06866664
-81,83999589;2,34931500;0,06866664
-81,75999589;2,34931500;0,06866664
-81,67999589;2,34931500;0,06866664
-81,59999589;2,25959000;0,06866664
-81,51999590;2,25959000;0,06866664
-81,43999590;2,25959000;0,06866664
-81,35999590;2,25959000;0,06866664
-81,27999590;2,25959000;0,06866664
-81,19999590;2,25959000;0,06866664
-81,11999590;2,17017100;0,06866664
-81,03999590;2,17017100;0,06866664
-80,95999590;2,17017100;0,06866664
-80,87999590;2,17017100;0,06866664
-80,79999590;2,17017100;0,06866664
-80,71999590;2,17017100;0,06866664
-80,63999590;2,08044700;0,06866664
-80,55999590;2,08044700;0,06866664
-80,47999590;2,08044700;0,06866664
-80,39999590;2,08044700;0,06866664
-80,31999590;2,08044700;0,06866664
-80,23999590;2,08044700;0,06866664
-80,15999590;2,08044700;0,06866664
-80,07999590;2,08044700;0,06866664
-79,99999590;1,99072200;0,06866664
-79,91999590;1,99072200;0,06866664
-79,83999591;1,99072200;0,06866664
-79,75999591;1,99072200;0,06866664
-79,67999591;1,99072200;0,06866664
-79,59999591;1,99072200;0,06866664
-79,51999591;1,99072200;0,06866664
-79,43999591;1,90130300;0,06866664
-79,35999591;1,90130300;0,06866664
-79,27999591;1,90130300;0,06866664
-79,19999591;1,90130300;0,06866664
-79,11999591;1,90130300;0,06866664
-79,03999591;1,90130300;0,06866664
-78,95999591;1,81157900;0,06866664
-78,87999591;1,90130300;0,06866664
-78,79999591;1,81157900;0,06866664
-78,71999591;1,90130300;0,06866664
-78,63999591;1,81157900;0,06866664
-78,55999591;1,72185400;-0,02075259
-78,47999591;1,81157900;0,06866664
-78,39999591;1,81157900;0,06866664
-78,31999591;1,72185400;0,15839110
-78,23999591;1,72185400;0,06866664
-78,15999592;1,72185400;-0,02075259
-78,07999592;1,72185400;0,06866664
-77,99999592;1,72185400;0,06866664
-77,91999592;1,72185400;0,06866664
-77,83999592;1,72185400;-0,02075259
-77,75999592;1,72185400;0,06866664
-77,67999592;1,63243500;0,06866664
-77,59999592;1,63243500;-0,02075259
-77,51999592;1,63243500;0,15839110
-77,43999592;1,63243500;0,06866664
-77,35999592;1,63243500;0,06866664
-77,27999592;1,63243500;0,06866664
-77,19999592;1,63243500;0,06866664
-77,11999592;1,63243500;0,06866664
-77,03999592;1,63243500;0,06866664
-76,95999592;1,63243500;0,06866664
-76,87999592;1,54271100;0,06866664
