Temps;Canal A;Canal B
(us);(V);(V)

-100,13743304;1,18442300;0,87527080
-100,05743304;1,09469900;0,87527080
-99,97743304;1,09469900;0,78554640
-99,89743304;1,00497400;0,78554640
-99,81743304;1,00497400;0,78554640
-99,73743304;0,91555530;0,78554640
-99,65743304;0,91555530;0,78554640
-99,57743304;0,82583090;0,78554640
-99,49743304;0,82583090;0,69582200
-99,41743304;0,73610650;0,69582200
-99,33743304;0,73610650;0,69582200
-99,25743304;0,64668720;0,69582200
-99,17743304;0,64668720;0,60640280
-99,09743304;0,64668720;0,69582200
-99,01743304;0,55696280;0,60640280
-98,93743304;0,46754360;0,60640280
-98,85743304;0,46754360;0,69582200
-98,77743305;0,46754360;0,60640280
-98,69743305;0,37812430;0,60640280
-98,61743305;0,28839990;0,51667840
-98,53743305;0,28839990;0,51667840
-98,45743305;0,19898070;0,51667840
-98,37743305;0,19898070;0,51667840
-98,29743305;0,10925630;0,51667840
-98,21743305;0,10925630;0,51667840
-98,13743305;0,01953185;0,51667840
-98,05743305;-0,06988738;0,51667840
-97,97743305;-0,06988738;0,51667840
-97,89743305;-0,06988738;0,42725910
-97,81743305;-0,15961180;0,42725910
-97,73743305;-0,15961180;0,42725910
-97,65743305;-0,24933620;0,42725910
-97,57743305;-0,24933620;0,42725910
-97,49743305;-0,33875550;0,42725910
-97,41743305;-0,42847990;0,42725910
-97,33743305;-0,42847990;0,42725910
-97,25743305;-0,42847990;0,33753470
-97,17743306;-0,51820430;0,33753470
-97,09743306;-0,51820430;0,33753470
-97,01743306;-0,60762350;0,33753470
-96,93743306;-0,69734790;0,33753470
-96,85743306;-0,69734790;0,33753470
-96,77743306;-0,78676720;0,33753470
-96,69743306;-0,78676720;0,33753470
-96,61743306;-0,78676720;0,33753470
-96,53743306;-0,87649160;0,33753470
-96,45743306;-0,87649160;0,33753470
-96,37743306;-0,96621600;0,33753470
-96,29743306;-0,96621600;0,33753470
-96,21743306;-1,05563500;0,33753470
-96,13743306;-1,05563500;0,24811550
-96,05743306;-1,05563500;0,24811550
-95,97743306;-1,14536000;0,33753470
-95,89743306;-1,14536000;0,33753470
-95,81743306;-1,23508400;0,33753470
-95,73743306;-1,23508400;0,24811550
-95,65743306;-1,23508400;0,24811550
-95,57743306;-1,23508400;0,24811550
-95,49743307;-1,32450300;0,24811550
-95,41743307;-1,41422800;0,24811550
-95,33743307;-1,41422800;0,24811550
-95,25743307;-1,41422800;0,33753470
-95,17743307;-1,41422800;0,33753470
-95,09743307;-1,50395200;0,42725910
-95,01743307;-1,50395200;0,51667840
-94,93743307;-1,50395200;0,51667840
-94,85743307;-1,50395200;0,60640280
-94,77743307;-1,50395200;0,69582200
-94,69743307;-1,50395200;0,78554640
-94,61743307;-1,50395200;0,78554640
-94,53743307;-1,59337100;0,87527080
-94,45743307;-1,59337100;0,87527080
-94,37743307;-1,59337100;0,96469010
-94,29743307;-1,59337100;0,96469010
-94,21743307;-1,59337100;1,05441500
-94,13743307;-1,59337100;1,05441500
-94,05743307;-1,59337100;1,05441500
-93,97743307;-1,59337100;1,14383400
-93,89743308;-1,68309600;1,14383400
-93,81743308;-1,68309600;1,23355800
-93,73743308;-1,68309600;1,23355800
-93,65743308;-1,68309600;1,32297700
-93,57743308;-1,68309600;1,32297700
-93,49743308;-1,68309600;1,32297700
-93,41743308;-1,68309600;1,32297700
-93,33743308;-1,68309600;1,32297700
-93,25743308;-1,68309600;1,41270200
-93,17743308;-1,68309600;1,41270200
-93,09743308;-1,68309600;1,50212100
-93,01743308;-1,59337100;1,59184600
-92,93743308;-1,59337100;1,59184600
-92,85743308;-1,59337100;1,59184600
-92,77743308;-1,59337100;1,59184600
-92,69743308;-1,59337100;1,59184600
-92,61743308;-1,59337100;1,68157000
-92,53743308;-1,59337100;1,77098900
-92,45743308;-1,50395200;1,77098900
-92,37743308;-1,50395200;1,77098900
-92,29743308;-1,50395200;1,77098900
-92,21743309;-1,50395200;1,86071300
-92,13743309;-1,50395200;1,86071300
-92,05743309;-1,50395200;1,86071300
-91,97743309;-1,50395200;1,86071300
-91,89743309;-1,41422800;1,95013300
-91,81743309;-1,32450300;1,95013300
-91,73743309;-1,32450300;1,95013300
-91,65743309;-1,32450300;1,95013300
-91,57743309;-1,23508400;2,03985700
-91,49743309;-1,23508400;2,03985700
-91,41743309;-1,23508400;2,03985700
-91,33743309;-1,14536000;2,03985700
-91,25743309;-1,14536000;2,03985700
-91,17743309;-1,14536000;2,12927700
-91,09743309;-1,05563500;2,12927700
-91,01743309;-1,05563500;2,12927700
-90,93743309;-0,96621600;2,12927700
-90,85743309;-0,96621600;2,12927700
-90,77743309;-0,87649160;2,21900100
-90,69743309;-0,87649160;2,21900100
-90,61743310;-0,78676720;2,21900100
-90,53743310;-0,78676720;2,21900100
-90,45743310;-0,78676720;2,30872500
-90,37743310;-0,78676720;2,21900100
-90,29743310;-0,69734790;2,30872500
-90,21743310;-0,60762350;2,30872500
-90,13743310;-0,60762350;2,30872500
-90,05743310;-0,51820430;2,30872500
-89,97743310;-0,42847990;2,30872500
-89,89743310;-0,42847990;2,39814400
-89,81743310;-0,42847990;2,39814400
-89,73743310;-0,33875550;2,30872500
-89,65743310;-0,24933620;2,39814400
-89,57743310;-0,24933620;2,39814400
-89,49743310;-0,15961180;2,39814400
-89,41743310;-0,15961180;2,39814400
-89,33743310;-0,06988738;2,48786900
-89,25743310;-0,06988738;2,48786900
-89,17743310;0,01953185;2,48786900
-89,09743310;0,01953185;2,39814400
-89,01743310;0,10925630;2,48786900
-88,93743311;0,19898070;2,48786900
-88,85743311;0,19898070;2,48786900
-88,77743311;0,28839990;2,48786900
-88,69743311;0,28839990;2,48786900
-88,61743311;0,28839990;2,48786900
-88,53743311;0,37812430;2,48786900
-88,45743311;0,37812430;2,48786900
-88,37743311;0,46754360;2,57728800
-88,29743311;0,55696280;2,48786900
-88,21743311;0,55696280;2,57728800
-88,13743311;0,64668720;2,57728800
-88,05743311;0,64668720;2,57728800
-87,97743311;0,64668720;2,57728800
-87,89743311;0,64668720;2,57728800
-87,81743311;0,73610650;2,57728800
-87,73743311;0,82583090;2,57728800
-87,65743311;0,82583090;2,57728800
-87,57743311;0,91555530;2,57728800
-87,49743311;0,91555530;2,66701200
-87,41743311;1,00497400;2,66701200
-87,33743311;1,00497400;2,66701200
-87,25743312;1,00497400;2,66701200
-87,17743312;1,09469900;2,57728800
-87,09743312;1,09469900;2,66701200
-87,01743312;1,09469900;2,66701200
-86,93743312;1,18442300;2,66701200
-86,85743312;1,27384300;2,66701200
-86,77743312;1,27384300;2,66701200
-86,69743312;1,27384300;2,66701200
-86,61743312;1,27384300;2,66701200
-86,53743312;1,36356700;2,66701200
-86,45743312;1,36356700;2,66701200
-86,37743312;1,36356700;2,66701200
-86,29743312;1,36356700;2,66701200
-86,21743312;1,45329100;2,66701200
-86,13743312;1,45329100;2,66701200
-86,05743312;1,45329100;2,57728800
-85,97743312;1,54271100;2,48786900
-85,89743312;1,54271100;2,39814400
-85,81743312;1,54271100;2,30872500
-85,73743312;1,54271100;2,30872500
-85,65743313;1,54271100;2,21900100
-85,57743313;1,63243500;2,12927700
-85,49743313;1,63243500;2,12927700
-85,41743313;1,63243500;2,03985700
-85,33743313;1,63243500;2,03985700
-85,25743313;1,63243500;2,03985700
-85,17743313;1,63243500;1,95013300
-85,09743313;1,63243500;1,95013300
-85,01743313;1,63243500;1,86071300
-84,93743313;1,63243500;1,86071300
-84,85743313;1,72185400;1,77098900
-84,77743313;1,72185400;1,77098900
-84,69743313;1,72185400;1,68157000
-84,61743313;1,63243500;1,68157000
-84,53743313;1,72185400;1,68157000
-84,45743313;1,72185400;1,59184600
-84,37743313;1,72185400;1,59184600
-84,29743313;1,72185400;1,50212100
-84,21743313;1,72185400;1,50212100
-84,13743313;1,63243500;1,41270200
-84,05743313;1,63243500;1,41270200
-83,97743314;1,63243500;1,32297700
-83,89743314;1,63243500;1,32297700
-83,81743314;1,63243500;1,32297700
-83,73743314;1,63243500;1,23355800
-83,65743314;1,63243500;1,23355800
-83,57743314;1,54271100;1,23355800
-83,49743314;1,54271100;1,23355800
-83,41743314;1,54271100;1,14383400
-83,33743314;1,54271100;1,14383400
-83,25743314;1,45329100;1,14383400
-83,17743314;1,45329100;1,14383400
-83,09743314;1,45329100;1,05441500
-83,01743314;1,36356700;1,05441500
-82,93743314;1,36356700;1,05441500
-82,85743314;1,36356700;1,05441500
-82,77743314;1,36356700;0,96469010
-82,69743314;1,27384300;0,96469010
-82,61743314;1,27384300;0,96469010
-82,53743314;1,27384300;0,96469010
-82,45743314;1,18442300;0,87527080
-82,37743315;1,18442300;0,87527080
-82,29743315;1,18442300;0,87527080
-82,21743315;1,09469900;0,87527080
-82,13743315;1,00497400;0,78554640
-82,05743315;1,00497400;0,78554640
-81,97743315;1,00497400;0,87527080
-81,89743315;0,91555530;0,78554640
-81,81743315;0,91555530;0,78554640
-81,73743315;0,91555530;0,69582200
-81,65743315;0,82583090;0,69582200
-81,57743315;0,73610650;0,69582200
-81,49743315;0,73610650;0,69582200
-81,41743315;0,73610650;0,69582200
-81,33743315;0,64668720;0,60640280
-81,25743315;0,64668720;0,69582200
-81,17743315;0,55696280;0,69582200
-81,09743315;0,55696280;0,60640280
-81,01743315;0,46754360;0,60640280
-80,93743315;0,46754360;0,60640280
-80,85743315;0,37812430;0,60640280
-80,77743315;0,28839990;0,51667840
-80,69743316;0,28839990;0,51667840
-80,61743316;0,28839990;0,51667840
-80,53743316;0,19898070;0,51667840
-80,45743316;0,19898070;0,51667840
-80,37743316;0,10925630;0,51667840
-80,29743316;0,01953185;0,51667840
-80,21743316;0,01953185;0,51667840
-80,13743316;-0,06988738;0,51667840
-80,05743316;-0,06988738;0,42725910
-79,97743316;-0,06988738;0,51667840
-79,89743316;-0,15961180;0,42725910
-79,81743316;-0,24933620;0,42725910
-79,73743316;-0,24933620;0,42725910
-79,65743316;-0,33875550;0,42725910
-79,57743316;-0,42847990;0,42725910
-79,49743316;-0,42847990;0,42725910
-79,41743316;-0,42847990;0,42725910
-79,33743316;-0,51820430;0,42725910
-79,25743316;-0,51820430;0,42725910
-79,17743316;-0,60762350;0,42725910
-79,09743317;-0,60762350;0,33753470
-79,01743317;-0,69734790;0,33753470
-78,93743317;-0,78676720;0,33753470
-78,85743317;-0,78676720;0,33753470
-78,77743317;-0,78676720;0,33753470
-78,69743317;-0,87649160;0,33753470
-78,61743317;-0,87649160;0,33753470
-78,53743317;-0,87649160;0,24811550
-78,45743317;-0,96621600;0,33753470
-78,37743317;-0,96621600;0,33753470
-78,29743317;-1,05563500;0,24811550
-78,21743317;-1,05563500;0,24811550
-78,13743317;-1,14536000;0,24811550
-78,05743317;-1,14536000;0,24811550
-77,97743317;-1,14536000;0,24811550
-77,89743317;-1,14536000;0,24811550
-77,81743317;-1,23508400;0,24811550
-77,73743317;-1,23508400;0,24811550
-77,65743317;-1,32450300;0,24811550
-77,57743317;-1,32450300;0,24811550
-77,49743317;-1,41422800;0,24811550
