Temps;Canal A;Canal B
(us);(V);(V)

-100,11595441;2,61818300;4,45875400
-100,03595441;2,43903900;4,45875400
-99,95595441;2,43903900;4,54847900
-99,87595441;2,34931500;4,54847900
-99,79595441;2,25959000;4,63789800
-99,71595441;2,17017100;4,54847900
-99,63595441;2,08044700;4,63789800
-99,55595441;1,99072200;4,63789800
-99,47595441;1,99072200;4,63789800
-99,39595441;1,90130300;4,72762300
-99,31595442;1,72185400;4,72762300
-99,23595442;1,72185400;4,81704100
-99,15595442;1,63243500;4,81704100
-99,07595442;1,45329100;4,81704100
-98,99595442;1,45329100;4,81704100
-98,91595442;1,36356700;4,81704100
-98,83595442;1,18442300;4,81704100
-98,75595442;1,18442300;4,90676600
-98,67595442;1,00497400;4,90676600
-98,59595442;0,91555530;4,90676600
-98,51595442;0,82583090;4,90676600
-98,43595442;0,73610650;4,99618500
-98,35595442;0,64668720;4,99618500
-98,27595442;0,55696280;4,99618500
-98,19595442;0,46754360;4,99618500
-98,11595442;0,37812430;4,99618500
-98,03595442;0,28839990;5,08590900
-97,95595442;0,19898070;5,08590900
-97,87595442;0,10925630;5,08590900
-97,79595442;-0,06988738;5,17563400
-97,71595442;-0,06988738;5,17563400
-97,63595443;-0,24933620;5,17563400
-97,55595443;-0,33875550;5,17563400
-97,47595443;-0,42847990;5,17563400
-97,39595443;-0,51820430;5,17563400
-97,31595443;-0,60762350;5,17563400
-97,23595443;-0,69734790;5,17563400
-97,15595443;-0,78676720;5,26505300
-97,07595443;-0,87649160;5,26505300
-96,99595443;-0,96621600;5,26505300
-96,91595443;-1,05563500;5,26505300
-96,83595443;-1,14536000;5,26505300
-96,75595443;-1,23508400;5,26505300
-96,67595443;-1,32450300;5,26505300
-96,59595443;-1,41422800;5,26505300
-96,51595443;-1,50395200;5,35477800
-96,43595443;-1,59337100;5,35477800
-96,35595443;-1,68309600;5,35477800
-96,27595443;-1,77282000;5,35477800
-96,19595443;-1,86223900;5,35477800
-96,11595443;-1,95196400;5,35477800
-96,03595444;-2,04138300;5,35477800
-95,95595444;-2,04138300;5,35477800
-95,87595444;-2,13110800;5,26505300
-95,79595444;-2,22083200;5,17563400
-95,71595444;-2,31025100;5,17563400
-95,63595444;-2,39997600;5,08590900
-95,55595444;-2,39997600;4,99618500
-95,47595444;-2,48970000;4,81704100
-95,39595444;-2,57911900;4,81704100
-95,31595444;-2,57911900;4,63789800
-95,23595444;-2,66884400;4,45875400
-95,15595444;-2,75856800;4,45875400
-95,07595444;-2,84798700;4,27961100
-94,99595444;-2,84798700;4,18988600
-94,91595444;-2,93771200;4,10046700
-94,83595444;-2,93771200;3,92132300
-94,75595444;-3,02713100;3,92132300
-94,67595444;-3,11685500;3,74218000
-94,59595444;-3,11685500;3,74218000
-94,51595444;-3,11685500;3,65245500
-94,43595444;-3,20658000;3,56273100
-94,35595445;-3,29599900;3,47331200
-94,27595445;-3,29599900;3,38358700
-94,19595445;-3,29599900;3,29416800
-94,11595445;-3,38572300;3,29416800
-94,03595445;-3,38572300;3,20444300
-93,95595445;-3,38572300;3,11502400
-93,87595445;-3,38572300;3,02530000
-93,79595445;-3,38572300;2,93557500
-93,71595445;-3,47544800;2,84615600
-93,63595445;-3,38572300;2,84615600
-93,55595445;-3,47544800;2,75643200
-93,47595445;-3,47544800;2,75643200
-93,39595445;-3,47544800;2,66701200
-93,31595445;-3,47544800;2,66701200
-93,23595445;-3,47544800;2,66701200
-93,15595445;-3,56486700;2,48786900
-93,07595445;-3,47544800;2,39814400
-92,99595445;-3,47544800;2,30872500
-92,91595445;-3,47544800;2,30872500
-92,83595445;-3,38572300;2,30872500
-92,75595446;-3,47544800;2,21900100
-92,67595446;-3,38572300;2,12927700
-92,59595446;-3,38572300;2,12927700
-92,51595446;-3,38572300;2,03985700
-92,43595446;-3,29599900;2,03985700
-92,35595446;-3,29599900;1,95013300
-92,27595446;-3,29599900;1,95013300
-92,19595446;-3,29599900;1,86071300
-92,11595446;-3,11685500;1,86071300
-92,03595446;-3,11685500;1,86071300
-91,95595446;-3,11685500;1,77098900
-91,87595446;-3,02713100;1,68157000
-91,79595446;-2,93771200;1,68157000
-91,71595446;-2,93771200;1,59184600
-91,63595446;-2,93771200;1,59184600
-91,55595446;-2,84798700;1,59184600
-91,47595446;-2,75856800;1,50212100
-91,39595446;-2,75856800;1,50212100
-91,31595446;-2,57911900;1,41270200
-91,23595446;-2,57911900;1,41270200
-91,15595446;-2,48970000;1,41270200
-91,07595447;-2,39997600;1,32297700
-90,99595447;-2,31025100;1,32297700
-90,91595447;-2,31025100;1,32297700
-90,83595447;-2,22083200;1,23355800
-90,75595447;-2,13110800;1,23355800
-90,67595447;-2,04138300;1,23355800
-90,59595447;-1,95196400;1,23355800
-90,51595447;-1,86223900;1,14383400
-90,43595447;-1,77282000;1,14383400
-90,35595447;-1,68309600;1,14383400
-90,27595447;-1,59337100;1,05441500
-90,19595447;-1,50395200;1,05441500
-90,11595447;-1,50395200;1,05441500
-90,03595447;-1,32450300;1,05441500
-89,95595447;-1,23508400;1,05441500
-89,87595447;-1,14536000;0,96469010
-89,79595447;-1,05563500;0,96469010
-89,71595447;-0,96621600;0,96469010
-89,63595447;-0,87649160;0,87527080
-89,55595447;-0,78676720;0,87527080
-89,47595447;-0,69734790;0,87527080
-89,39595448;-0,60762350;0,87527080
-89,31595448;-0,51820430;0,78554640
-89,23595448;-0,42847990;0,78554640
-89,15595448;-0,33875550;0,78554640
-89,07595448;-0,15961180;0,69582200
-88,99595448;-0,06988738;0,78554640
-88,91595448;0,01953185;0,78554640
-88,83595448;0,10925630;0,69582200
-88,75595448;0,19898070;0,69582200
-88,67595448;0,28839990;0,69582200
-88,59595448;0,37812430;0,69582200
-88,51595448;0,55696280;0,69582200
-88,43595448;0,55696280;0,69582200
-88,35595448;0,64668720;0,60640280
-88,27595448;0,82583090;0,60640280
-88,19595448;0,91555530;0,60640280
-88,11595448;1,00497400;0,60640280
-88,03595448;1,00497400;0,51667840
-87,95595448;1,18442300;0,60640280
-87,87595448;1,27384300;0,60640280
-87,79595449;1,36356700;0,51667840
-87,71595449;1,36356700;0,51667840
-87,63595449;1,54271100;0,51667840
-87,55595449;1,63243500;0,51667840
-87,47595449;1,72185400;0,51667840
-87,39595449;1,72185400;0,51667840
-87,31595449;1,81157900;0,51667840
-87,23595449;1,90130300;0,51667840
-87,15595449;2,08044700;0,51667840
-87,07595449;2,08044700;0,51667840
-86,99595449;2,17017100;0,60640280
-86,91595449;2,17017100;0,60640280
-86,83595449;2,34931500;0,69582200
-86,75595449;2,34931500;0,87527080
-86,67595449;2,34931500;0,96469010
-86,59595449;2,43903900;1,05441500
-86,51595449;2,52845900;1,14383400
-86,43595449;2,61818300;1,32297700
-86,35595449;2,70790700;1,41270200
-86,27595449;2,70790700;1,50212100
-86,19595449;2,79732700;1,59184600
-86,11595450;2,88705100;1,68157000
-86,03595450;2,88705100;1,77098900
-85,95595450;2,97647000;1,86071300
-85,87595450;3,06619500;1,95013300
-85,79595450;3,06619500;2,03985700
-85,71595450;3,15591900;2,12927700
-85,63595450;3,15591900;2,21900100
-85,55595450;3,15591900;2,30872500
-85,47595450;3,15591900;2,39814400
-85,39595450;3,24533800;2,48786900
-85,31595450;3,33506300;2,57728800
-85,23595450;3,33506300;2,66701200
-85,15595450;3,33506300;2,66701200
-85,07595450;3,33506300;2,75643200
-84,99595450;3,42478700;2,84615600
-84,91595450;3,42478700;2,93557500
-84,83595450;3,42478700;2,93557500
-84,75595450;3,42478700;3,02530000
-84,67595450;3,51420600;3,11502400
-84,59595450;3,51420600;3,11502400
-84,51595451;3,51420600;3,20444300
-84,43595451;3,51420600;3,20444300
-84,35595451;3,51420600;3,29416800
-84,27595451;3,51420600;3,38358700
-84,19595451;3,51420600;3,47331200
-84,11595451;3,51420600;3,56273100
-84,03595451;3,42478700;3,56273100
-83,95595451;3,42478700;3,65245500
-83,87595451;3,42478700;3,65245500
-83,79595451;3,42478700;3,74218000
-83,71595451;3,42478700;3,74218000
-83,63595451;3,33506300;3,83159900
-83,55595451;3,33506300;3,83159900
-83,47595451;3,24533800;3,92132300
-83,39595451;3,24533800;4,01074300
-83,31595451;3,24533800;4,01074300
-83,23595451;3,15591900;4,01074300
-83,15595451;3,15591900;4,10046700
-83,07595451;3,06619500;4,10046700
-82,99595451;3,06619500;4,10046700
-82,91595451;2,97647000;4,18988600
-82,83595452;2,97647000;4,18988600
-82,75595452;2,88705100;4,27961100
-82,67595452;2,79732700;4,27961100
-82,59595452;2,79732700;4,27961100
-82,51595452;2,70790700;4,27961100
-82,43595452;2,61818300;4,36903000
-82,35595452;2,61818300;4,36903000
-82,27595452;2,52845900;4,45875400
-82,19595452;2,43903900;4,45875400
-82,11595452;2,34931500;4,45875400
-82,03595452;2,34931500;4,54847900
-81,95595452;2,17017100;4,54847900
-81,87595452;2,08044700;4,54847900
-81,79595452;2,08044700;4,63789800
-81,71595452;1,99072200;4,63789800
-81,63595452;1,90130300;4,63789800
-81,55595452;1,81157900;4,72762300
-81,47595452;1,72185400;4,72762300
-81,39595452;1,63243500;4,72762300
-81,31595452;1,54271100;4,81704100
-81,23595453;1,45329100;4,81704100
-81,15595453;1,36356700;4,81704100
-81,07595453;1,27384300;4,81704100
-80,99595453;1,18442300;4,81704100
-80,91595453;1,09469900;4,81704100
-80,83595453;1,00497400;4,90676600
-80,75595453;0,91555530;4,90676600
-80,67595453;0,82583090;4,99618500
-80,59595453;0,64668720;4,99618500
-80,51595453;0,64668720;4,99618500
-80,43595453;0,55696280;4,99618500
-80,35595453;0,37812430;4,99618500
-80,27595453;0,28839990;4,99618500
-80,19595453;0,19898070;4,99618500
-80,11595453;0,10925630;4,99618500
-80,03595453;0,01953185;5,08590900
-79,95595453;-0,06988738;5,08590900
-79,87595453;-0,15961180;5,17563400
-79,79595453;-0,24933620;5,17563400
-79,71595453;-0,33875550;5,17563400
-79,63595453;-0,42847990;5,17563400
-79,55595454;-0,51820430;5,17563400
-79,47595454;-0,69734790;5,17563400
-79,39595454;-0,78676720;5,26505300
-79,31595454;-0,87649160;5,17563400
-79,23595454;-0,96621600;5,26505300
-79,15595454;-1,05563500;5,26505300
-79,07595454;-1,14536000;5,26505300
-78,99595454;-1,14536000;5,26505300
-78,91595454;-1,32450300;5,26505300
-78,83595454;-1,41422800;5,35477800
-78,75595454;-1,50395200;5,35477800
-78,67595454;-1,59337100;5,35477800
-78,59595454;-1,59337100;5,35477800
-78,51595454;-1,68309600;5,35477800
-78,43595454;-1,86223900;5,35477800
-78,35595454;-1,86223900;5,35477800
-78,27595454;-1,95196400;5,35477800
-78,19595454;-2,04138300;5,35477800
-78,11595454;-2,13110800;5,35477800
-78,03595454;-2,22083200;5,26505300
-77,95595454;-2,22083200;5,17563400
-77,87595455;-2,31025100;5,17563400
-77,79595455;-2,39997600;4,99618500
-77,71595455;-2,39997600;4,90676600
-77,63595455;-2,57911900;4,81704100
-77,55595455;-2,57911900;4,72762300
-77,47595455;-2,66884400;4,54847900
