Temps;Canal A;Canal B
(us);(V);(V)

-100,12389248;1,45329100;2,48786900
-100,04389248;1,36356700;2,48786900
-99,96389248;1,36356700;2,48786900
-99,88389248;1,36356700;2,48786900
-99,80389248;1,36356700;2,48786900
-99,72389248;1,27384300;2,48786900
-99,64389248;1,27384300;2,39814400
-99,56389248;1,18442300;2,30872500
-99,48389248;1,18442300;2,21900100
-99,40389248;1,09469900;2,12927700
-99,32389248;1,09469900;1,95013300
-99,24389249;1,00497400;1,95013300
-99,16389249;1,00497400;1,77098900
-99,08389249;1,00497400;1,68157000
-99,00389249;0,91555530;1,59184600
-98,92389249;0,82583090;1,41270200
-98,84389249;0,82583090;1,32297700
-98,76389249;0,82583090;1,23355800
-98,68389249;0,73610650;1,14383400
-98,60389249;0,64668720;0,96469010
-98,52389249;0,64668720;0,87527080
-98,44389249;0,64668720;0,87527080
-98,36389249;0,46754360;0,78554640
-98,28389249;0,46754360;0,69582200
-98,20389249;0,37812430;0,60640280
-98,12389249;0,37812430;0,51667840
-98,04389249;0,28839990;0,42725910
-97,96389249;0,28839990;0,33753470
-97,88389249;0,19898070;0,24811550
-97,80389249;0,19898070;0,15839110
-97,72389249;0,10925630;0,15839110
-97,64389250;0,01953185;0,06866664
-97,56389250;-0,06988738;0,06866664
-97,48389250;-0,06988738;-0,02075259
-97,40389250;-0,06988738;-0,11047700
-97,32389250;-0,15961180;-0,19989620
-97,24389250;-0,24933620;-0,19989620
-97,16389250;-0,24933620;-0,28962070
-97,08389250;-0,42847990;-0,37903990
-97,00389250;-0,42847990;-0,46876430
-96,92389250;-0,42847990;-0,46876430
-96,84389250;-0,51820430;-0,55818360
-96,76389250;-0,51820430;-0,55818360
-96,68389250;-0,60762350;-0,64760280
-96,60389250;-0,69734790;-0,73732720
-96,52389250;-0,69734790;-0,73732720
-96,44389250;-0,78676720;-0,82674640
-96,36389250;-0,78676720;-0,82674640
-96,28389250;-0,87649160;-0,82674640
-96,20389250;-0,87649160;-0,91647080
-96,12389250;-0,96621600;-1,00589000
-96,04389250;-0,96621600;-1,00589000
-95,96389251;-1,05563500;-1,00589000
-95,88389251;-1,14536000;-1,09561400
-95,80389251;-1,14536000;-1,18503400
-95,72389251;-1,14536000;-1,18503400
-95,64389251;-1,14536000;-1,27475800
-95,56389251;-1,23508400;-1,27475800
-95,48389251;-1,23508400;-1,36448300
-95,40389251;-1,32450300;-1,36448300
-95,32389251;-1,41422800;-1,45390200
-95,24389251;-1,41422800;-1,45390200
-95,16389251;-1,50395200;-1,45390200
-95,08389251;-1,50395200;-1,54362600
-95,00389251;-1,50395200;-1,54362600
-94,92389251;-1,50395200;-1,54362600
-94,84389251;-1,50395200;-1,63304500
-94,76389251;-1,59337100;-1,63304500
-94,68389251;-1,59337100;-1,63304500
-94,60389251;-1,59337100;-1,63304500
-94,52389251;-1,68309600;-1,72277000
-94,44389251;-1,68309600;-1,72277000
-94,36389252;-1,77282000;-1,81218900
-94,28389252;-1,77282000;-1,72277000
-94,20389252;-1,77282000;-1,81218900
-94,12389252;-1,77282000;-1,81218900
-94,04389252;-1,77282000;-1,90191400
-93,96389252;-1,77282000;-1,90191400
-93,88389252;-1,86223900;-1,90191400
-93,80389252;-1,86223900;-1,90191400
-93,72389252;-1,86223900;-1,90191400
-93,64389252;-1,86223900;-1,90191400
-93,56389252;-1,86223900;-1,99163800
-93,48389252;-1,86223900;-1,99163800
-93,40389252;-1,86223900;-1,99163800
-93,32389252;-1,86223900;-2,08105700
-93,24389252;-1,86223900;-2,08105700
-93,16389252;-1,86223900;-2,08105700
-93,08389252;-1,86223900;-2,08105700
-93,00389252;-1,86223900;-2,08105700
-92,92389252;-1,86223900;-2,17078200
-92,84389252;-1,86223900;-2,17078200
-92,76389252;-1,86223900;-2,17078200
-92,68389253;-1,86223900;-2,17078200
-92,60389253;-1,77282000;-2,17078200
-92,52389253;-1,86223900;-2,26020100
-92,44389253;-1,86223900;-2,26020100
-92,36389253;-1,77282000;-2,26020100
-92,28389253;-1,77282000;-2,26020100
-92,20389253;-1,77282000;-2,26020100
-92,12389253;-1,77282000;-2,34992500
-92,04389253;-1,68309600;-2,26020100
-91,96389253;-1,68309600;-2,34992500
-91,88389253;-1,68309600;-2,34992500
-91,80389253;-1,59337100;-2,34992500
-91,72389253;-1,59337100;-2,34992500
-91,64389253;-1,59337100;-2,34992500
-91,56389253;-1,59337100;-2,34992500
-91,48389253;-1,50395200;-2,43934400
-91,40389253;-1,50395200;-2,43934400
-91,32389253;-1,50395200;-2,43934400
-91,24389253;-1,50395200;-2,43934400
-91,16389253;-1,50395200;-2,43934400
-91,08389253;-1,41422800;-2,43934400
-91,00389254;-1,41422800;-2,43934400
-90,92389254;-1,32450300;-2,34992500
-90,84389254;-1,23508400;-2,34992500
-90,76389254;-1,23508400;-2,26020100
-90,68389254;-1,23508400;-2,17078200
-90,60389254;-1,14536000;-2,08105700
-90,52389254;-1,14536000;-1,99163800
-90,44389254;-1,05563500;-1,90191400
-90,36389254;-1,05563500;-1,81218900
-90,28389254;-1,05563500;-1,63304500
-90,20389254;-0,96621600;-1,54362600
-90,12389254;-0,87649160;-1,45390200
-90,04389254;-0,87649160;-1,36448300
-89,96389254;-0,78676720;-1,27475800
-89,88389254;-0,78676720;-1,09561400
-89,80389254;-0,78676720;-1,00589000
-89,72389254;-0,69734790;-0,91647080
-89,64389254;-0,60762350;-0,82674640
-89,56389254;-0,60762350;-0,73732720
-89,48389254;-0,51820430;-0,73732720
-89,40389255;-0,51820430;-0,55818360
-89,32389255;-0,42847990;-0,55818360
-89,24389255;-0,33875550;-0,46876430
-89,16389255;-0,33875550;-0,37903990
-89,08389255;-0,24933620;-0,28962070
-89,00389255;-0,15961180;-0,19989620
-88,92389255;-0,15961180;-0,11047700
-88,84389255;-0,06988738;-0,11047700
-88,76389255;-0,06988738;-0,02075259
-88,68389255;0,01953185;-0,02075259
-88,60389255;0,10925630;0,06866664
-88,52389255;0,10925630;0,15839110
-88,44389255;0,19898070;0,24811550
-88,36389255;0,28839990;0,33753470
-88,28389255;0,28839990;0,42725910
-88,20389255;0,28839990;0,42725910
-88,12389255;0,37812430;0,51667840
-88,04389255;0,46754360;0,51667840
-87,96389255;0,55696280;0,60640280
-87,88389255;0,55696280;0,60640280
-87,80389255;0,64668720;0,69582200
-87,72389256;0,64668720;0,78554640
-87,64389256;0,73610650;0,78554640
-87,56389256;0,73610650;0,87527080
-87,48389256;0,82583090;0,96469010
-87,40389256;0,91555530;0,96469010
-87,32389256;0,91555530;0,96469010
-87,24389256;1,00497400;1,05441500
-87,16389256;1,00497400;1,05441500
-87,08389256;1,00497400;1,14383400
-87,00389256;1,09469900;1,14383400
-86,92389256;1,09469900;1,23355800
-86,84389256;1,18442300;1,23355800
-86,76389256;1,27384300;1,32297700
-86,68389256;1,27384300;1,32297700
-86,60389256;1,27384300;1,32297700
-86,52389256;1,36356700;1,41270200
-86,44389256;1,36356700;1,41270200
-86,36389256;1,45329100;1,41270200
-86,28389256;1,45329100;1,50212100
-86,20389256;1,45329100;1,50212100
-86,12389257;1,45329100;1,59184600
-86,04389257;1,54271100;1,59184600
-85,96389257;1,63243500;1,59184600
-85,88389257;1,63243500;1,68157000
-85,80389257;1,63243500;1,68157000
-85,72389257;1,63243500;1,68157000
-85,64389257;1,63243500;1,68157000
-85,56389257;1,72185400;1,77098900
-85,48389257;1,72185400;1,77098900
-85,40389257;1,72185400;1,86071300
-85,32389257;1,72185400;1,86071300
-85,24389257;1,72185400;1,86071300
-85,16389257;1,81157900;1,95013300
-85,08389257;1,81157900;1,95013300
-85,00389257;1,81157900;1,95013300
-84,92389257;1,81157900;1,95013300
-84,84389257;1,90130300;1,95013300
-84,76389257;1,81157900;1,95013300
-84,68389257;1,90130300;2,03985700
-84,60389257;1,90130300;2,03985700
-84,52389257;1,81157900;2,12927700
-84,44389258;1,90130300;2,12927700
-84,36389258;1,81157900;2,12927700
-84,28389258;1,90130300;2,12927700
-84,20389258;1,81157900;2,12927700
-84,12389258;1,81157900;2,12927700
-84,04389258;1,81157900;2,21900100
-83,96389258;1,81157900;2,12927700
-83,88389258;1,81157900;2,21900100
-83,80389258;1,81157900;2,21900100
-83,72389258;1,81157900;2,21900100
-83,64389258;1,72185400;2,30872500
-83,56389258;1,72185400;2,30872500
-83,48389258;1,72185400;2,30872500
-83,40389258;1,72185400;2,30872500
-83,32389258;1,72185400;2,30872500
-83,24389258;1,72185400;2,30872500
-83,16389258;1,72185400;2,39814400
-83,08389258;1,72185400;2,39814400
-83,00389258;1,72185400;2,39814400
-82,92389258;1,63243500;2,39814400
-82,84389259;1,63243500;2,39814400
-82,76389259;1,63243500;2,39814400
-82,68389259;1,63243500;2,39814400
-82,60389259;1,54271100;2,39814400
-82,52389259;1,45329100;2,39814400
-82,44389259;1,45329100;2,48786900
-82,36389259;1,45329100;2,39814400
-82,28389259;1,36356700;2,39814400
-82,20389259;1,36356700;2,48786900
-82,12389259;1,36356700;2,48786900
-82,04389259;1,27384300;2,48786900
-81,96389259;1,27384300;2,39814400
-81,88389259;1,27384300;2,39814400
-81,80389259;1,27384300;2,30872500
-81,72389259;1,18442300;2,21900100
-81,64389259;1,09469900;2,12927700
-81,56389259;1,09469900;2,03985700
-81,48389259;1,09469900;1,95013300
-81,40389259;1,00497400;1,86071300
-81,32389259;1,00497400;1,68157000
-81,24389259;0,91555530;1,59184600
-81,16389260;0,91555530;1,41270200
-81,08389260;0,82583090;1,32297700
-81,00389260;0,82583090;1,23355800
-80,92389260;0,73610650;1,14383400
-80,84389260;0,64668720;1,05441500
-80,76389260;0,64668720;0,96469010
-80,68389260;0,55696280;0,87527080
-80,60389260;0,55696280;0,78554640
-80,52389260;0,46754360;0,69582200
-80,44389260;0,46754360;0,60640280
-80,36389260;0,37812430;0,51667840
-80,28389260;0,28839990;0,42725910
-80,20389260;0,28839990;0,42725910
-80,12389260;0,28839990;0,33753470
-80,04389260;0,19898070;0,24811550
-79,96389260;0,10925630;0,15839110
-79,88389260;0,01953185;0,15839110
-79,80389260;-0,06988738;0,06866664
-79,72389260;-0,06988738;0,06866664
-79,64389260;-0,15961180;-0,11047700
-79,56389260;-0,15961180;-0,19989620
-79,48389261;-0,24933620;-0,19989620
-79,40389261;-0,24933620;-0,28962070
-79,32389261;-0,33875550;-0,37903990
-79,24389261;-0,42847990;-0,37903990
-79,16389261;-0,42847990;-0,46876430
-79,08389261;-0,51820430;-0,55818360
-79,00389261;-0,51820430;-0,55818360
-78,92389261;-0,60762350;-0,64760280
-78,84389261;-0,69734790;-0,64760280
-78,76389261;-0,69734790;-0,73732720
-78,68389261;-0,78676720;-0,82674640
-78,60389261;-0,78676720;-0,82674640
-78,52389261;-0,78676720;-0,91647080
-78,44389261;-0,87649160;-0,91647080
-78,36389261;-0,96621600;-0,91647080
-78,28389261;-0,96621600;-1,00589000
-78,20389261;-0,96621600;-1,00589000
-78,12389261;-1,05563500;-1,18503400
-78,04389261;-1,14536000;-1,09561400
-77,96389261;-1,14536000;-1,18503400
