Temps;Canal A;Canal B
(us);(V);(V)

-100,11644918;-0,24933620;4,10046700
-100,03644918;-0,33875550;4,18988600
-99,95644918;-0,42847990;4,27961100
-99,87644918;-0,42847990;4,27961100
-99,79644918;-0,42847990;4,27961100
-99,71644918;-0,51820430;4,36903000
-99,63644918;-0,60762350;4,45875400
-99,55644918;-0,60762350;4,45875400
-99,47644918;-0,60762350;4,45875400
-99,39644918;-0,69734790;4,63789800
-99,31644918;-0,69734790;4,54847900
-99,23644918;-0,78676720;4,63789800
-99,15644918;-0,78676720;4,63789800
-99,07644918;-0,78676720;4,72762300
-98,99644918;-0,78676720;4,72762300
-98,91644918;-0,87649160;4,81704100
-98,83644918;-0,87649160;4,81704100
-98,75644918;-0,87649160;4,81704100
-98,67644918;-0,87649160;4,81704100
-98,59644918;-0,96621600;4,81704100
-98,51644919;-0,96621600;4,90676600
-98,43644919;-1,05563500;4,90676600
-98,35644919;-1,05563500;4,99618500
-98,27644919;-1,05563500;4,99618500
-98,19644919;-1,05563500;4,99618500
-98,11644919;-1,14536000;4,99618500
-98,03644919;-1,14536000;5,08590900
-97,95644919;-1,14536000;5,08590900
-97,87644919;-1,14536000;5,17563400
-97,79644919;-1,14536000;5,17563400
-97,71644919;-1,14536000;5,17563400
-97,63644919;-1,14536000;5,17563400
-97,55644919;-1,14536000;5,17563400
-97,47644919;-1,23508400;5,17563400
-97,39644919;-1,14536000;5,26505300
-97,31644919;-1,14536000;5,26505300
-97,23644919;-1,14536000;5,26505300
-97,15644919;-1,14536000;5,26505300
-97,07644919;-1,14536000;5,35477800
-96,99644919;-1,14536000;5,35477800
-96,91644919;-1,14536000;5,35477800
-96,83644920;-1,14536000;5,35477800
-96,75644920;-1,14536000;5,35477800
-96,67644920;-1,14536000;5,35477800
-96,59644920;-1,14536000;5,35477800
-96,51644920;-1,14536000;5,35477800
-96,43644920;-1,14536000;5,26505300
-96,35644920;-1,05563500;5,26505300
-96,27644920;-1,05563500;5,17563400
-96,19644920;-1,05563500;4,99618500
-96,11644920;-1,05563500;4,90676600
-96,03644920;-1,05563500;4,81704100
-95,95644920;-1,05563500;4,72762300
-95,87644920;-0,96621600;4,54847900
-95,79644920;-0,96621600;4,36903000
-95,71644920;-0,87649160;4,27961100
-95,63644920;-0,87649160;4,10046700
-95,55644920;-0,87649160;4,01074300
-95,47644920;-0,87649160;3,83159900
-95,39644920;-0,78676720;3,74218000
-95,31644920;-0,78676720;3,56273100
-95,23644921;-0,78676720;3,47331200
-95,15644921;-0,69734790;3,38358700
-95,07644921;-0,69734790;3,20444300
-94,99644921;-0,60762350;3,11502400
-94,91644921;-0,60762350;3,02530000
-94,83644921;-0,51820430;2,93557500
-94,75644921;-0,42847990;2,84615600
-94,67644921;-0,42847990;2,75643200
-94,59644921;-0,42847990;2,66701200
-94,51644921;-0,33875550;2,57728800
-94,43644921;-0,24933620;2,48786900
-94,35644921;-0,24933620;2,39814400
-94,27644921;-0,15961180;2,39814400
-94,19644921;-0,15961180;2,30872500
-94,11644921;-0,06988738;2,21900100
-94,03644921;-0,06988738;2,12927700
-93,95644921;-0,06988738;2,12927700
-93,87644921;0,01953185;2,03985700
-93,79644921;0,01953185;2,03985700
-93,71644921;0,10925630;1,95013300
-93,63644921;0,19898070;1,95013300
-93,55644922;0,19898070;1,86071300
-93,47644922;0,28839990;1,77098900
-93,39644922;0,28839990;1,68157000
-93,31644922;0,37812430;1,59184600
-93,23644922;0,37812430;1,59184600
-93,15644922;0,46754360;1,59184600
-93,07644922;0,46754360;1,50212100
-92,99644922;0,46754360;1,50212100
-92,91644922;0,55696280;1,41270200
-92,83644922;0,55696280;1,41270200
-92,75644922;0,64668720;1,32297700
-92,67644922;0,64668720;1,23355800
-92,59644922;0,64668720;1,23355800
-92,51644922;0,73610650;1,23355800
-92,43644922;0,73610650;1,23355800
-92,35644922;0,82583090;1,14383400
-92,27644922;0,82583090;1,14383400
-92,19644922;0,82583090;1,05441500
-92,11644922;0,91555530;1,05441500
-92,03644922;0,91555530;1,05441500
-91,95644922;1,00497400;1,05441500
-91,87644923;1,00497400;0,96469010
-91,79644923;1,00497400;0,96469010
-91,71644923;1,00497400;0,87527080
-91,63644923;1,00497400;0,87527080
-91,55644923;1,00497400;0,87527080
-91,47644923;1,09469900;0,87527080
-91,39644923;1,09469900;0,78554640
-91,31644923;1,09469900;0,78554640
-91,23644923;1,09469900;0,78554640
-91,15644923;1,09469900;0,69582200
-91,07644923;1,18442300;0,69582200
-90,99644923;1,18442300;0,69582200
-90,91644923;1,18442300;0,69582200
-90,83644923;1,18442300;0,60640280
-90,75644923;1,18442300;0,60640280
-90,67644923;1,27384300;0,60640280
-90,59644923;1,27384300;0,60640280
-90,51644923;1,18442300;0,51667840
-90,43644923;1,27384300;0,60640280
-90,35644923;1,18442300;0,51667840
-90,27644924;1,18442300;0,51667840
-90,19644924;1,18442300;0,51667840
-90,11644924;1,18442300;0,51667840
-90,03644924;1,09469900;0,51667840
-89,95644924;1,18442300;0,51667840
-89,87644924;1,18442300;0,51667840
-89,79644924;1,18442300;0,51667840
-89,71644924;1,18442300;0,60640280
-89,63644924;1,09469900;0,69582200
-89,55644924;1,09469900;0,78554640
-89,47644924;1,09469900;0,87527080
-89,39644924;1,09469900;0,96469010
-89,31644924;1,00497400;1,14383400
-89,23644924;1,00497400;1,23355800
-89,15644924;1,00497400;1,41270200
-89,07644924;1,00497400;1,50212100
-88,99644924;0,91555530;1,68157000
-88,91644924;0,91555530;1,77098900
-88,83644924;0,91555530;1,95013300
-88,75644924;0,82583090;2,03985700
-88,67644924;0,82583090;2,21900100
-88,59644925;0,82583090;2,30872500
-88,51644925;0,73610650;2,39814400
-88,43644925;0,64668720;2,57728800
-88,35644925;0,64668720;2,66701200
-88,27644925;0,64668720;2,75643200
-88,19644925;0,55696280;2,84615600
-88,11644925;0,55696280;2,93557500
-88,03644925;0,46754360;3,02530000
-87,95644925;0,46754360;3,11502400
-87,87644925;0,37812430;3,20444300
-87,79644925;0,28839990;3,29416800
-87,71644925;0,28839990;3,29416800
-87,63644925;0,28839990;3,38358700
-87,55644925;0,28839990;3,47331200
-87,47644925;0,19898070;3,56273100
-87,39644925;0,10925630;3,56273100
-87,31644925;0,01953185;3,65245500
-87,23644925;0,01953185;3,74218000
-87,15644925;-0,06988738;3,83159900
-87,07644925;-0,06988738;3,83159900
-86,99644926;-0,06988738;3,92132300
-86,91644926;-0,15961180;4,01074300
-86,83644926;-0,24933620;4,01074300
-86,75644926;-0,24933620;4,10046700
-86,67644926;-0,24933620;4,10046700
-86,59644926;-0,33875550;4,18988600
-86,51644926;-0,42847990;4,27961100
-86,43644926;-0,42847990;4,27961100
-86,35644926;-0,51820430;4,27961100
-86,27644926;-0,51820430;4,36903000
-86,19644926;-0,51820430;4,45875400
-86,11644926;-0,60762350;4,45875400
-86,03644926;-0,60762350;4,54847900
-85,95644926;-0,60762350;4,54847900
-85,87644926;-0,69734790;4,54847900
-85,79644926;-0,69734790;4,63789800
-85,71644926;-0,78676720;4,63789800
-85,63644926;-0,78676720;4,72762300
-85,55644926;-0,87649160;4,72762300
-85,47644926;-0,87649160;4,81704100
-85,39644926;-0,87649160;4,81704100
-85,31644927;-0,87649160;4,81704100
-85,23644927;-0,96621600;4,81704100
-85,15644927;-0,96621600;4,81704100
-85,07644927;-0,96621600;4,90676600
-84,99644927;-1,05563500;4,99618500
-84,91644927;-1,05563500;4,99618500
-84,83644927;-1,05563500;4,99618500
-84,75644927;-1,05563500;4,99618500
-84,67644927;-1,14536000;5,08590900
-84,59644927;-1,14536000;4,99618500
-84,51644927;-1,14536000;5,08590900
-84,43644927;-1,14536000;5,17563400
-84,35644927;-1,14536000;5,17563400
-84,27644927;-1,14536000;5,17563400
-84,19644927;-1,14536000;5,17563400
-84,11644927;-1,14536000;5,17563400
-84,03644927;-1,14536000;5,26505300
-83,95644927;-1,14536000;5,26505300
-83,87644927;-1,14536000;5,26505300
-83,79644927;-1,14536000;5,26505300
-83,71644928;-1,23508400;5,26505300
-83,63644928;-1,14536000;5,35477800
-83,55644928;-1,14536000;5,35477800
-83,47644928;-1,14536000;5,35477800
-83,39644928;-1,14536000;5,35477800
-83,31644928;-1,14536000;5,35477800
-83,23644928;-1,14536000;5,35477800
-83,15644928;-1,14536000;5,35477800
-83,07644928;-1,14536000;5,35477800
-82,99644928;-1,14536000;5,26505300
-82,91644928;-1,14536000;5,17563400
-82,83644928;-1,05563500;5,17563400
-82,75644928;-1,05563500;4,99618500
-82,67644928;-1,05563500;4,90676600
-82,59644928;-1,05563500;4,81704100
-82,51644928;-1,05563500;4,72762300
-82,43644928;-0,96621600;4,54847900
-82,35644928;-0,96621600;4,36903000
-82,27644928;-0,96621600;4,27961100
-82,19644928;-0,87649160;4,10046700
-82,11644928;-0,87649160;4,01074300
-82,03644929;-0,78676720;3,83159900
-81,95644929;-0,78676720;3,74218000
-81,87644929;-0,78676720;3,65245500
-81,79644929;-0,78676720;3,47331200
-81,71644929;-0,69734790;3,38358700
-81,63644929;-0,69734790;3,29416800
-81,55644929;-0,60762350;3,11502400
-81,47644929;-0,51820430;3,02530000
-81,39644929;-0,51820430;2,93557500
-81,31644929;-0,51820430;2,84615600
-81,23644929;-0,42847990;2,75643200
-81,15644929;-0,42847990;2,66701200
-81,07644929;-0,33875550;2,66701200
-80,99644929;-0,24933620;2,48786900
-80,91644929;-0,24933620;2,39814400
-80,83644929;-0,15961180;2,39814400
-80,75644929;-0,15961180;2,30872500
-80,67644929;-0,15961180;2,21900100
-80,59644929;-0,06988738;2,12927700
-80,51644929;-0,06988738;2,12927700
-80,43644930;0,01953185;2,03985700
-80,35644930;0,01953185;1,95013300
-80,27644930;0,10925630;1,95013300
-80,19644930;0,19898070;1,86071300
-80,11644930;0,19898070;1,77098900
-80,03644930;0,28839990;1,77098900
-79,95644930;0,28839990;1,68157000
-79,87644930;0,28839990;1,59184600
-79,79644930;0,37812430;1,59184600
-79,71644930;0,37812430;1,59184600
-79,63644930;0,46754360;1,50212100
-79,55644930;0,55696280;1,41270200
-79,47644930;0,55696280;1,41270200
-79,39644930;0,55696280;1,41270200
-79,31644930;0,64668720;1,32297700
-79,23644930;0,64668720;1,23355800
-79,15644930;0,64668720;1,23355800
-79,07644930;0,73610650;1,23355800
-78,99644930;0,82583090;1,14383400
-78,91644930;0,82583090;1,14383400
-78,83644930;0,82583090;1,14383400
-78,75644931;0,91555530;1,14383400
-78,67644931;0,91555530;1,05441500
-78,59644931;0,91555530;1,05441500
-78,51644931;0,91555530;1,05441500
-78,43644931;1,00497400;0,96469010
-78,35644931;1,00497400;0,96469010
-78,27644931;1,00497400;0,87527080
-78,19644931;1,00497400;0,87527080
-78,11644931;1,09469900;0,87527080
-78,03644931;1,09469900;0,87527080
-77,95644931;1,09469900;0,78554640
-77,87644931;1,09469900;0,78554640
-77,79644931;1,09469900;0,78554640
-77,71644931;1,09469900;0,69582200
-77,63644931;1,18442300;0,69582200
-77,55644931;1,18442300;0,69582200
