Temps;Canal A;Canal B
(ms);(V);(V)

-50,08524284;-1,14536000;4,81704100
-50,04428284;-1,23508400;4,72762300
-50,00332284;-1,23508400;4,81704100
-49,96236284;-1,23508400;4,81704100
-49,92140284;-1,32450300;4,81704100
-49,88044284;-1,32450300;4,72762300
-49,83948284;-1,23508400;4,72762300
-49,79852284;-1,32450300;4,72762300
-49,75756284;-1,32450300;4,72762300
-49,71660284;-1,32450300;4,72762300
-49,67564284;-1,32450300;4,72762300
-49,63468284;-1,32450300;4,72762300
-49,59372284;-1,41422800;4,72762300
-49,55276284;-1,41422800;4,72762300
-49,51180284;-1,41422800;4,72762300
-49,47084284;-1,41422800;4,72762300
-49,42988284;-1,50395200;4,72762300
-49,38892284;-1,50395200;4,72762300
-49,34796284;-1,50395200;4,72762300
-49,30700284;-1,50395200;4,63789800
-49,26604284;-1,50395200;4,63789800
-49,22508284;-1,50395200;4,63789800
-49,18412284;-1,50395200;4,63789800
-49,14316284;-1,50395200;4,63789800
-49,10220284;-1,50395200;4,63789800
-49,06124284;-1,50395200;4,63789800
-49,02028284;-1,50395200;4,63789800
-48,97932284;-1,50395200;4,63789800
-48,93836284;-1,50395200;4,63789800
-48,89740284;-1,50395200;4,54847900
-48,85644285;-1,50395200;4,63789800
-48,81548285;-1,50395200;4,63789800
-48,77452285;-1,59337100;4,54847900
-48,73356285;-1,50395200;4,54847900
-48,69260285;-1,50395200;4,54847900
-48,65164285;-1,59337100;4,54847900
-48,61068285;-1,50395200;4,54847900
-48,56972285;-1,59337100;4,54847900
-48,52876285;-1,59337100;4,54847900
-48,48780285;-1,59337100;4,54847900
-48,44684285;-1,59337100;4,54847900
-48,40588285;-1,59337100;4,54847900
-48,36492285;-1,59337100;4,45875400
-48,32396285;-1,59337100;4,54847900
-48,28300285;-1,59337100;4,54847900
-48,24204285;-1,59337100;4,45875400
-48,20108285;-1,59337100;4,54847900
-48,16012285;-1,59337100;4,45875400
-48,11916285;-1,59337100;4,54847900
-48,07820285;-1,59337100;4,54847900
-48,03724285;-1,59337100;4,45875400
-47,99628285;-1,59337100;4,45875400
-47,95532285;-1,59337100;4,54847900
-47,91436285;-1,59337100;4,45875400
-47,87340285;-1,59337100;4,54847900
-47,83244285;-1,59337100;4,45875400
-47,79148285;-1,59337100;4,45875400
-47,75052285;-1,59337100;4,45875400
-47,70956285;-1,59337100;4,45875400
-47,66860285;-1,59337100;4,54847900
-47,62764285;-1,59337100;4,54847900
-47,58668285;-1,59337100;4,54847900
-47,54572285;-1,59337100;4,54847900
-47,50476285;-1,59337100;4,45875400
-47,46380285;-1,59337100;4,54847900
-47,42284285;-1,50395200;4,54847900
-47,38188285;-1,50395200;4,54847900
-47,34092285;-1,50395200;4,45875400
-47,29996285;-1,50395200;4,54847900
-47,25900285;-1,50395200;4,45875400
-47,21804286;-1,50395200;4,54847900
-47,17708286;-1,50395200;4,54847900
-47,13612286;-1,50395200;4,54847900
-47,09516286;-1,50395200;4,54847900
-47,05420286;-1,50395200;4,54847900
-47,01324286;-1,50395200;4,54847900
-46,97228286;-1,41422800;4,54847900
-46,93132286;-1,41422800;4,54847900
-46,89036286;-1,41422800;4,54847900
-46,84940286;-1,41422800;4,54847900
-46,80844286;-1,41422800;4,54847900
-46,76748286;-1,32450300;4,54847900
-46,72652286;-1,41422800;4,54847900
-46,68556286;-1,32450300;4,54847900
-46,64460286;-1,32450300;4,63789800
-46,60364286;-1,32450300;4,63789800
-46,56268286;-1,23508400;4,63789800
-46,52172286;-1,23508400;4,63789800
-46,48076286;-1,23508400;4,63789800
-46,43980286;-1,23508400;4,63789800
-46,39884286;-1,23508400;4,63789800
-46,35788286;-1,14536000;4,63789800
-46,31692286;-1,14536000;4,63789800
-46,27596286;-1,14536000;4,63789800
-46,23500286;-1,14536000;4,63789800
-46,19404286;-1,05563500;4,63789800
-46,15308286;-1,05563500;4,63789800
-46,11212286;-1,05563500;4,63789800
-46,07116286;-1,05563500;4,63789800
-46,03020286;-0,96621600;4,63789800
-45,98924286;-0,96621600;4,63789800
-45,94828286;-0,96621600;4,72762300
-45,90732286;-0,96621600;4,63789800
-45,86636286;-0,96621600;4,72762300
-45,82540286;-0,87649160;4,63789800
-45,78444286;-0,87649160;4,72762300
-45,74348286;-0,87649160;4,72762300
-45,70252286;-0,78676720;4,72762300
-45,66156286;-0,78676720;4,72762300
-45,62060286;-0,78676720;4,72762300
-45,57964287;-0,78676720;4,72762300
-45,53868287;-0,69734790;4,72762300
-45,49772287;-0,69734790;4,72762300
-45,45676287;-0,69734790;4,72762300
