Temps;Canal A;Canal B
(ms);(V);(V)

-50,09363219;-1,32450300;1,41270200
-50,05267219;-1,32450300;1,41270200
-50,01171219;-1,32450300;1,32297700
-49,97075219;-1,32450300;1,32297700
-49,92979219;-1,41422800;1,32297700
-49,88883219;-1,32450300;1,32297700
-49,84787219;-1,41422800;1,32297700
-49,80691219;-1,32450300;1,32297700
-49,76595219;-1,41422800;1,32297700
-49,72499219;-1,41422800;1,23355800
-49,68403219;-1,41422800;1,32297700
-49,64307219;-1,41422800;1,23355800
-49,60211219;-1,41422800;1,23355800
-49,56115219;-1,41422800;1,23355800
-49,52019219;-1,41422800;1,23355800
-49,47923220;-1,41422800;1,23355800
-49,43827220;-1,50395200;1,14383400
-49,39731220;-1,50395200;1,14383400
-49,35635220;-1,50395200;1,23355800
-49,31539220;-1,50395200;1,14383400
-49,27443220;-1,50395200;1,14383400
-49,23347220;-1,50395200;1,14383400
-49,19251220;-1,50395200;1,05441500
-49,15155220;-1,50395200;1,05441500
-49,11059220;-1,50395200;1,05441500
-49,06963220;-1,50395200;1,05441500
-49,02867220;-1,50395200;1,05441500
-48,98771220;-1,50395200;1,05441500
-48,94675220;-1,50395200;1,05441500
-48,90579220;-1,50395200;1,05441500
-48,86483220;-1,50395200;1,05441500
-48,82387220;-1,50395200;1,05441500
-48,78291220;-1,50395200;1,05441500
-48,74195220;-1,59337100;0,96469010
-48,70099220;-1,50395200;0,96469010
-48,66003220;-1,50395200;0,96469010
-48,61907220;-1,59337100;0,96469010
-48,57811220;-1,50395200;0,96469010
-48,53715220;-1,59337100;0,96469010
-48,49619220;-1,50395200;0,96469010
-48,45523220;-1,59337100;0,96469010
-48,41427220;-1,50395200;0,87527080
-48,37331220;-1,59337100;0,87527080
-48,33235220;-1,50395200;0,87527080
-48,29139220;-1,50395200;0,87527080
-48,25043220;-1,59337100;0,87527080
-48,20947220;-1,50395200;0,87527080
-48,16851220;-1,50395200;0,87527080
-48,12755220;-1,50395200;0,87527080
-48,08659220;-1,50395200;0,87527080
-48,04563220;-1,50395200;0,87527080
-48,00467220;-1,50395200;0,87527080
-47,96371220;-1,50395200;0,87527080
-47,92275220;-1,50395200;0,87527080
-47,88179220;-1,50395200;0,87527080
-47,84083221;-1,50395200;0,87527080
-47,79987221;-1,50395200;0,87527080
-47,75891221;-1,50395200;0,78554640
-47,71795221;-1,50395200;0,78554640
-47,67699221;-1,50395200;0,78554640
-47,63603221;-1,50395200;0,78554640
-47,59507221;-1,50395200;0,78554640
-47,55411221;-1,41422800;0,78554640
-47,51315221;-1,50395200;0,78554640
-47,47219221;-1,50395200;0,78554640
-47,43123221;-1,41422800;0,78554640
-47,39027221;-1,50395200;0,78554640
-47,34931221;-1,41422800;0,78554640
-47,30835221;-1,41422800;0,78554640
-47,26739221;-1,41422800;0,78554640
-47,22643221;-1,32450300;0,78554640
-47,18547221;-1,32450300;0,78554640
-47,14451221;-1,32450300;0,78554640
-47,10355221;-1,32450300;0,78554640
-47,06259221;-1,23508400;0,78554640
-47,02163221;-1,23508400;0,78554640
-46,98067221;-1,23508400;0,78554640
-46,93971221;-1,14536000;0,78554640
-46,89875221;-1,14536000;0,78554640
-46,85779221;-1,14536000;0,69582200
-46,81683221;-1,14536000;0,78554640
-46,77587221;-1,14536000;0,78554640
-46,73491221;-1,14536000;0,78554640
-46,69395221;-1,14536000;0,78554640
-46,65299221;-1,05563500;0,78554640
-46,61203221;-1,05563500;0,69582200
-46,57107221;-1,05563500;0,78554640
-46,53011221;-0,96621600;0,78554640
-46,48915221;-0,96621600;0,69582200
-46,44819221;-0,96621600;0,78554640
-46,40723221;-0,96621600;0,78554640
-46,36627221;-0,96621600;0,69582200
-46,32531221;-0,87649160;0,69582200
-46,28435221;-0,87649160;0,78554640
-46,24339221;-0,78676720;0,78554640
-46,20243222;-0,87649160;0,78554640
-46,16147222;-0,78676720;0,78554640
-46,12051222;-0,78676720;0,78554640
-46,07955222;-0,78676720;0,78554640
-46,03859222;-0,78676720;0,78554640
-45,99763222;-0,69734790;0,78554640
-45,95667222;-0,69734790;0,78554640
-45,91571222;-0,60762350;0,78554640
-45,87475222;-0,60762350;0,69582200
-45,83379222;-0,51820430;0,69582200
-45,79283222;-0,15961180;0,78554640
-45,75187222;-0,06988738;0,69582200
-45,71091222;0,01953185;0,69582200
-45,66995222;0,01953185;0,78554640
-45,62899222;0,10925630;0,78554640
-45,58803222;0,10925630;0,69582200
-45,54707222;0,10925630;0,69582200
-45,50611222;0,10925630;0,69582200
-45,46515222;0,19898070;0,69582200
