Temps;Canal A;Canal B
(ms);(V);(V)

-50,06059259;-0,71901610;10,16938000
-50,01963259;-0,89846490;10,16938000
-49,97867259;-0,89846490;10,16938000
-49,93771259;-0,89846490;10,16938000
-49,89675259;-0,89846490;10,16938000
-49,85579259;-0,89846490;10,16938000
-49,81483259;-0,89846490;10,16938000
-49,77387259;-1,07791400;9,99054000
-49,73291259;-1,07791400;10,16938000
-49,69195259;-1,07791400;9,99054000
-49,65099259;-1,07791400;10,16938000
-49,61003259;-1,07791400;10,16938000
-49,56907259;-1,07791400;9,99054000
-49,52811259;-1,25736300;10,16938000
-49,48715260;-1,07791400;10,16938000
-49,44619260;-1,43681100;9,99054000
-49,40523260;-1,25736300;9,99054000
-49,36427260;-1,43681100;9,99054000
-49,32331260;-1,43681100;9,99054000
-49,28235260;-1,43681100;9,99054000
-49,24139260;-1,43681100;9,99054000
-49,20043260;-1,43681100;9,99054000
-49,15947260;-1,61626000;9,99054000
-49,11851260;-1,61626000;9,99054000
-49,07755260;-1,61626000;9,99054000
-49,03659260;-1,61626000;9,99054000
-48,99563260;-1,61626000;9,99054000
-48,95467260;-1,61626000;9,99054000
-48,91371260;-1,61626000;9,99054000
-48,87275260;-1,79570900;9,99054000
-48,83179260;-1,61626000;9,81109000
-48,79083260;-1,79570900;9,81109000
-48,74987260;-1,79570900;9,81109000
-48,70891260;-1,79570900;9,81109000
-48,66795260;-1,79570900;9,81109000
-48,62699260;-1,97515800;9,81109000
-48,58603260;-1,97515800;9,81109000
-48,54507260;-1,97515800;9,81109000
-48,50411260;-1,97515800;9,63225200
-48,46315260;-1,97515800;9,81109000
-48,42219260;-1,97515800;9,63225200
-48,38123260;-1,97515800;9,81109000
-48,34027260;-1,97515800;9,63225200
-48,29931260;-1,97515800;9,63225200
-48,25835260;-1,97515800;9,63225200
-48,21739260;-2,15460700;9,63225200
-48,17643260;-2,15460700;9,81109000
-48,13547260;-1,97515800;9,63225200
-48,09451260;-1,97515800;9,63225200
-48,05355260;-2,15460700;9,63225200
-48,01259260;-2,15460700;9,81109000
-47,97163260;-1,97515800;9,81109000
-47,93067260;-1,97515800;9,63225200
-47,88971260;-1,97515800;9,81109000
-47,84875261;-1,97515800;9,63225200
-47,80779261;-1,97515800;9,63225200
-47,76683261;-1,97515800;9,81109000
-47,72587261;-1,97515800;9,63225200
-47,68491261;-1,97515800;9,63225200
-47,64395261;-1,79570900;9,81109000
-47,60299261;-1,97515800;9,81109000
-47,56203261;-1,79570900;9,81109000
-47,52107261;-1,79570900;9,81109000
-47,48011261;-1,79570900;9,81109000
-47,43915261;-1,79570900;9,81109000
-47,39819261;-1,61626000;9,81109000
-47,35723261;-1,61626000;9,99054000
-47,31627261;-1,61626000;9,81109000
-47,27531261;-1,61626000;9,81109000
-47,23435261;-1,61626000;9,81109000
-47,19339261;-1,61626000;9,99054000
-47,15243261;-1,61626000;9,99054000
-47,11147261;-1,61626000;9,99054000
-47,07051261;-1,43681100;9,99054000
-47,02955261;-1,43681100;9,99054000
-46,98859261;-1,25736300;9,99054000
-46,94763261;-1,25736300;9,99054000
-46,90667261;-1,07791400;9,99054000
-46,86571261;-1,07791400;9,99054000
-46,82475261;-1,07791400;10,16938000
-46,78379261;-1,07791400;9,99054000
-46,74283261;-0,89846490;10,16938000
-46,70187261;-0,89846490;10,16938000
-46,66091261;-0,89846490;9,99054000
-46,61995261;-0,89846490;10,16938000
-46,57899261;-0,71901610;10,16938000
-46,53803261;-0,71901610;10,16938000
-46,49707261;-0,71901610;10,16938000
-46,45611261;-0,36011840;10,16938000
-46,41515261;2,50984200;10,16938000
-46,37419261;4,12488200;10,16938000
-46,33323261;5,55986200;10,16938000
-46,29227261;6,99545300;10,16938000
-46,25131261;8,25159500;10,16938000
-46,21035262;9,50712600;10,16938000
-46,16939262;10,40437000;10,16938000
-46,12843262;10,76327000;10,16938000
-46,08747262;10,76327000;10,16938000
-46,04651262;10,94272000;10,34883000
-46,00555262;10,94272000;10,16938000
-45,96459262;10,94272000;10,16938000
-45,92363262;11,12217000;10,16938000
-45,88267262;10,94272000;10,34883000
-45,84171262;10,94272000;10,34883000
-45,80075262;10,94272000;10,16938000
-45,75979262;10,94272000;10,16938000
-45,71883262;11,12217000;10,34883000
-45,67787262;11,12217000;10,34883000
-45,63691262;11,12217000;10,16938000
-45,59595262;11,12217000;10,34883000
-45,55499262;11,12217000;10,34883000
-45,51403262;11,12217000;10,34883000
-45,47307262;11,12217000;10,34883000
-45,43211262;11,12217000;10,34883000
-45,39115262;10,94272000;10,16938000
