Temps;Canal A;Canal B
(ms);(V);(V)

-50,06206408;-2,04138300;5,62334100
-50,02110408;-2,04138300;5,62334100
-49,98014408;-2,04138300;5,53392100
-49,93918408;-2,04138300;5,62334100
-49,89822408;-2,04138300;5,53392100
-49,85726408;-2,04138300;5,62334100
-49,81630408;-2,04138300;5,53392100
-49,77534408;-2,04138300;5,62334100
-49,73438408;-2,04138300;5,62334100
-49,69342408;-2,04138300;5,53392100
-49,65246408;-2,04138300;5,53392100
-49,61150408;-1,95196400;5,53392100
-49,57054408;-1,95196400;5,53392100
-49,52958408;-1,95196400;5,53392100
-49,48862408;-1,95196400;5,53392100
-49,44766409;-1,95196400;5,62334100
-49,40670409;-1,95196400;5,53392100
-49,36574409;-1,86223900;5,53392100
-49,32478409;-1,86223900;5,62334100
-49,28382409;-1,86223900;5,62334100
-49,24286409;-1,86223900;5,62334100
-49,20190409;-1,86223900;5,62334100
-49,16094409;-1,77282000;5,62334100
-49,11998409;-1,77282000;5,62334100
-49,07902409;-1,77282000;5,62334100
-49,03806409;-1,68309600;5,62334100
-48,99710409;-1,68309600;5,62334100
-48,95614409;-1,59337100;5,62334100
-48,91518409;-1,59337100;5,62334100
-48,87422409;-1,50395200;5,71306500
-48,83326409;-1,50395200;5,71306500
-48,79230409;-1,50395200;5,71306500
-48,75134409;-1,50395200;5,71306500
-48,71038409;-1,50395200;5,71306500
-48,66942409;-1,41422800;5,71306500
-48,62846409;-1,32450300;5,71306500
-48,58750409;-1,32450300;5,71306500
-48,54654409;-1,32450300;5,71306500
-48,50558409;-1,23508400;5,71306500
-48,46462409;-1,23508400;5,71306500
-48,42366409;-1,14536000;5,80248400
-48,38270409;-1,14536000;5,80248400
-48,34174409;-1,14536000;5,71306500
-48,30078409;-1,05563500;5,80248400
-48,25982409;-1,05563500;5,80248400
-48,21886409;-0,96621600;5,80248400
-48,17790409;-0,96621600;5,89220900
-48,13694409;-0,87649160;5,80248400
-48,09598409;-0,78676720;5,89220900
-48,05502409;-0,78676720;5,89220900
-48,01406409;-0,69734790;5,89220900
-47,97310409;-0,69734790;5,89220900
-47,93214409;-0,51820430;5,89220900
-47,89118409;0,64668720;5,89220900
-47,85022409;1,99072200;5,89220900
-47,80926410;2,88705100;5,89220900
-47,76830410;3,60393100;5,89220900
-47,72734410;4,32081100;5,89220900
-47,68638410;5,03769000;5,89220900
-47,64542410;5,93401900;5,89220900
-47,60446410;6,38203000;5,89220900
-47,56350410;6,56117400;5,89220900
-47,52254410;6,56117400;5,89220900
-47,48158410;6,65089900;5,89220900
-47,44062410;6,65089900;5,89220900
-47,39966410;6,74031800;5,89220900
-47,35870410;6,74031800;5,98193300
-47,31774410;6,74031800;5,98193300
-47,27678410;6,83004200;5,98193300
-47,23582410;6,83004200;5,98193300
-47,19486410;6,91976700;5,98193300
-47,15390410;7,00918600;6,07135200
-47,11294410;7,00918600;6,07135200
-47,07198410;7,00918600;6,07135200
-47,03102410;7,09891000;6,16107700
-46,99006410;7,09891000;6,16107700
-46,94910410;7,09891000;6,16107700
-46,90814410;7,18863500;6,25049600
-46,86718410;7,18863500;6,25049600
-46,82622410;7,27805400;6,25049600
-46,78526410;7,27805400;6,34022000
-46,74430410;7,36777900;6,34022000
-46,70334410;7,36777900;6,34022000
-46,66238410;7,45719800;6,34022000
-46,62142410;7,45719800;6,42963900
-46,58046410;7,45719800;6,42963900
-46,53950410;7,45719800;6,42963900
-46,49854410;7,54692200;6,51936400
-46,45758410;7,54692200;6,51936400
-46,41662410;7,54692200;6,51936400
-46,37566410;7,63664700;6,60908800
-46,33470410;7,63664700;6,60908800
-46,29374410;7,63664700;6,60908800
-46,25278410;7,72606600;6,60908800
-46,21182410;7,72606600;6,69850800
-46,17086411;7,72606600;6,69850800
-46,12990411;7,72606600;6,69850800
-46,08894411;7,72606600;6,69850800
-46,04798411;7,72606600;6,69850800
-46,00702411;7,72606600;6,78823200
-45,96606411;7,72606600;6,69850800
-45,92510411;7,72606600;6,78823200
-45,88414411;7,63664700;6,78823200
-45,84318411;7,54692200;6,69850800
-45,80222411;7,45719800;6,69850800
-45,76126411;7,45719800;6,60908800
-45,72030411;7,18863500;6,60908800
-45,67934411;4,58967900;6,60908800
-45,63838411;3,51420600;6,60908800
-45,59742411;2,70790700;6,60908800
-45,55646411;2,08044700;6,60908800
-45,51550411;1,63243500;6,60908800
-45,47454411;1,27384300;6,60908800
-45,43358411;1,00497400;6,60908800
-45,39262411;0,82583090;6,60908800
-45,35166411;0,64668720;6,60908800
-45,31070411;0,55696280;6,51936400
