Time;Channel A;Channel B
(us);(V);(V)

-250,24000206;2,89346000;2,90841400
-250,08000206;2,89346000;2,90841400
-249,92000206;2,89346000;2,82052100
-249,76000206;2,80587200;2,73232200
-249,60000206;2,80587200;2,73232200
-249,44000207;2,71828400;2,64442900
-249,28000207;2,71828400;2,64442900
-249,12000207;2,63069600;2,64442900
-248,96000207;2,63069600;2,55623000
-248,80000207;2,54310800;2,55623000
-248,64000207;2,54310800;2,55623000
-248,48000207;2,54310800;2,46833700
-248,32000207;2,45551900;2,46833700
-248,16000207;2,36793100;2,46833700
-248,00000207;2,36793100;2,38013900
-247,84000207;2,36793100;2,38013900
-247,68000208;2,36793100;2,29224500
-247,52000208;2,28034300;2,29224500
-247,36000208;2,28034300;2,29224500
-247,20000208;2,19275500;2,20404700
-247,04000208;2,19275500;2,20404700
-246,88000208;2,19275500;2,20404700
-246,72000208;2,19275500;2,20404700
-246,56000208;2,10486100;2,11615300
-246,40000208;2,10486100;2,11615300
-246,24000208;2,01727300;2,02795500
-246,08000209;2,01727300;2,02795500
-245,92000209;2,01727300;2,02795500
-245,76000209;2,01727300;1,93975700
-245,60000209;1,92968500;1,93975700
-245,44000209;1,92968500;1,93975700
-245,28000209;1,92968500;1,85186300
-245,12000209;1,84209700;1,85186300
-244,96000209;1,92968500;1,85186300
-244,80000209;1,84209700;1,85186300
-244,64000209;1,84209700;1,76366500
-244,48000210;1,75450900;1,76366500
-244,32000210;1,75450900;1,76366500
-244,16000210;1,66692100;1,76366500
-244,00000210;1,66692100;1,67577100
-243,84000210;1,66692100;1,67577100
-243,68000210;1,66692100;1,67577100
-243,52000210;1,66692100;1,58757300
-243,36000210;1,66692100;1,58757300
-243,20000210;1,57933300;1,58757300
-243,04000210;1,57933300;1,58757300
-242,88000211;1,49174500;1,49968000
-242,72000211;1,49174500;1,49968000
-242,56000211;1,49174500;1,49968000
-242,40000211;1,49174500;1,49968000
-242,24000211;1,49174500;1,41148100
-242,08000211;1,49174500;1,49968000
-241,92000211;1,49174500;1,41148100
-241,76000211;1,49174500;1,41148100
-241,60000211;1,40415700;1,41148100
-241,44000211;1,40415700;1,41148100
-241,28000211;1,31656800;1,32358800
-241,12000212;1,31656800;1,32358800
-240,96000212;1,31656800;1,32358800
-240,80000212;1,31656800;1,32358800
-240,64000212;1,31656800;1,23538900
-240,48000212;1,31656800;1,23538900
-240,32000212;1,22898000;1,23538900
-240,16000212;1,22898000;1,23538900
-240,00000212;1,22898000;1,14749600
-239,84000212;1,22898000;1,23538900
-239,68000212;1,22898000;1,23538900
-239,52000213;1,14108700;1,14749600
-239,36000213;1,14108700;1,14749600
-239,20000213;1,14108700;1,14749600
-239,04000213;1,14108700;1,05929700
-238,88000213;1,14108700;1,05929700
-238,72000213;1,14108700;1,05929700
-238,56000213;1,05349900;1,05929700
-238,40000213;1,05349900;1,05929700
-238,24000213;1,05349900;0,97109900
-238,08000213;1,05349900;0,97109900
-237,92000214;0,96591090;0,97109900
-237,76000214;0,96591090;0,97109900
-237,60000214;0,96591090;0,97109900
-237,44000214;0,96591090;0,97109900
-237,28000214;0,96591090;0,97109900
-237,12000214;0,96591090;0,88320570
-236,96000214;0,96591090;0,97109900
-236,80000214;0,96591090;0,88320570
-236,64000214;0,96591090;0,88320570
-236,48000214;0,96591090;0,88320570
-236,32000214;0,87832270;0,88320570
-236,16000215;0,87832270;0,88320570
-236,00000215;0,87832270;0,88320570
-235,84000215;0,87832270;0,79500720
-235,68000215;0,87832270;0,79500720
-235,52000215;0,87832270;0,79500720
-235,36000215;0,79073460;0,79500720
-235,20000215;0,87832270;0,79500720
-235,04000215;0,79073460;0,79500720
-234,88000215;0,79073460;0,79500720
-234,72000215;0,79073460;0,79500720
-234,56000216;0,79073460;0,70711390
-234,40000216;0,79073460;0,79500720
-234,24000216;0,70314650;0,70711390
-234,08000216;0,79073460;0,79500720
-233,92000216;0,79073460;0,70711390
-233,76000216;0,70314650;0,70711390
-233,60000216;0,79073460;0,70711390
-233,44000216;0,70314650;0,70711390
-233,28000216;0,70314650;0,70711390
-233,12000216;0,61555830;0,61891540
-232,96000217;0,61555830;0,70711390
-232,80000217;0,61555830;0,61891540
-232,64000217;0,61555830;0,61891540
-232,48000217;0,61555830;0,61891540
-232,32000217;0,61555830;0,61891540
-232,16000217;0,61555830;0,61891540
-232,00000217;0,61555830;0,61891540
-231,84000217;0,61555830;0,61891540
-231,68000217;0,61555830;0,53102210
-231,52000217;0,61555830;0,53102210
-231,36000218;0,61555830;0,53102210
-231,20000218;0,61555830;0,53102210
-231,04000218;0,52797020;0,53102210
-230,88000218;0,61555830;0,53102210
-230,72000218;0,61555830;0,53102210
-230,56000218;0,61555830;0,53102210
-230,40000218;0,52797020;0,53102210
-230,24000218;0,52797020;0,53102210
-230,08000218;0,52797020;0,53102210
-229,92000218;0,52797020;0,44282360
-229,76000218;0,52797020;0,53102210
-229,60000219;0,52797020;0,53102210
-229,44000219;0,52797020;0,44282360
-229,28000219;0,52797020;0,53102210
-229,12000219;0,52797020;0,53102210
-228,96000219;0,52797020;0,53102210
-228,80000219;0,61555830;0,53102210
-228,64000219;0,61555830;0,61891540
-228,48000219;0,79073460;0,70711390
-228,32000219;0,87832270;0,79500720
-228,16000219;0,96591090;0,88320570
-228,00000220;0,96591090;0,88320570
-227,84000220;1,05349900;0,97109900
-227,68000220;1,14108700;1,05929700
-227,52000220;1,22898000;1,14749600
-227,36000220;1,31656800;1,23538900
-227,20000220;1,31656800;1,23538900
-227,04000220;1,40415700;1,32358800
-226,88000220;1,49174500;1,41148100
-226,72000220;1,57933300;1,49968000
-226,56000220;1,57933300;1,58757300
-226,40000221;1,66692100;1,58757300
-226,24000221;1,66692100;1,67577100
-226,08000221;1,75450900;1,67577100
-225,92000221;1,84209700;1,85186300
-225,76000221;1,92968500;1,85186300
-225,60000221;1,92968500;1,85186300
-225,44000221;2,01727300;1,93975700
-225,28000221;2,01727300;2,02795500
-225,12000221;2,10486100;2,11615300
-224,96000221;2,19275500;2,11615300
-224,80000221;2,19275500;2,20404700
-224,64000222;2,19275500;2,20404700
-224,48000222;2,36793100;2,29224500
-224,32000222;2,36793100;2,38013900
-224,16000222;2,36793100;2,38013900
-224,00000222;2,45551900;2,38013900
-223,84000222;2,54310800;2,46833700
-223,68000222;2,63069600;2,55623000
-223,52000222;2,63069600;2,55623000
-223,36000222;2,63069600;2,55623000
-223,20000222;2,71828400;2,64442900
-223,04000223;2,71828400;2,64442900
-222,88000223;2,80587200;2,82052100
-222,72000223;2,89346000;2,82052100
-222,56000223;2,89346000;2,82052100
-222,40000223;2,89346000;2,90841400
-222,24000223;2,98104800;2,90841400
-222,08000223;2,98104800;2,99661300
-221,92000223;3,06894100;2,99661300
-221,76000223;3,06894100;2,99661300
-221,60000223;3,06894100;3,08481100
-221,44000224;3,15652900;3,08481100
-221,28000224;3,24411700;3,17270400
-221,12000224;3,24411700;3,26090300
-220,96000224;3,24411700;3,26090300
-220,80000224;3,33170600;3,26090300
-220,64000224;3,33170600;3,34879600
-220,48000224;3,41929400;3,34879600
-220,32000224;3,41929400;3,34879600
-220,16000224;3,41929400;3,43699500
-220,00000224;3,50688200;3,43699500
-219,84000225;3,50688200;3,52488800
-219,68000225;3,59447000;3,52488800
-219,52000225;3,59447000;3,61308600
-219,36000225;3,68205800;3,61308600
-219,20000225;3,68205800;3,61308600
-219,04000225;3,68205800;3,61308600
-218,88000225;3,68205800;3,70098000
-218,72000225;3,76964600;3,70098000
-218,56000225;3,76964600;3,70098000
-218,40000225;3,76964600;3,78917800
-218,24000225;3,76964600;3,78917800
-218,08000226;3,85723400;3,78917800
-217,92000226;3,94482300;3,87707100
-217,76000226;3,94482300;3,87707100
-217,60000226;3,94482300;3,87707100
-217,44000226;4,03271600;3,96527000
-217,28000226;4,03271600;3,96527000
-217,12000226;4,03271600;4,05346800
-216,96000226;4,03271600;4,05346800
-216,80000226;4,12030400;4,05346800
-216,64000226;4,12030400;4,05346800
-216,48000227;4,12030400;4,14136200
-216,32000227;4,12030400;4,14136200
-216,16000227;4,20789200;4,14136200
-216,00000227;4,20789200;4,22956000
-215,84000227;4,20789200;4,22956000
-215,68000227;4,29548000;4,22956000
-215,52000227;4,29548000;4,31745300
-215,36000227;4,29548000;4,31745300
-215,20000227;4,29548000;4,31745300
-215,04000227;4,38306900;4,31745300
-214,88000228;4,38306900;4,31745300
-214,72000228;4,38306900;4,40565200
-214,56000228;4,38306900;4,40565200
-214,40000228;4,47065600;4,40565200
-214,24000228;4,47065600;4,40565200
-214,08000228;4,47065600;4,40565200
-213,92000228;4,55824500;4,49354600
-213,76000228;4,55824500;4,49354600
-213,60000228;4,55824500;4,49354600
-213,44000228;4,55824500;4,49354600
-213,28000228;4,55824500;4,58174400
-213,12000229;4,64583300;4,58174400
-212,96000229;4,64583300;4,58174400
-212,80000229;4,64583300;4,58174400
-212,64000229;4,64583300;4,66963700
-212,48000229;4,73342100;4,66963700
-212,32000229;4,73342100;4,66963700
-212,16000229;4,73342100;4,75783500
-212,00000229;4,73342100;4,66963700
-211,84000229;4,73342100;4,75783500
-211,68000229;4,73342100;4,75783500
-211,52000230;4,73342100;4,75783500
-211,36000230;4,82100900;4,75783500
-211,20000230;4,82100900;4,75783500
-211,04000230;4,82100900;4,75783500
-210,88000230;4,82100900;4,84572900
-210,72000230;4,82100900;4,84572900
-210,56000230;4,82100900;4,84572900
-210,40000230;4,90859700;4,84572900
-210,24000230;4,90859700;4,84572900
-210,08000230;4,90859700;4,93392800
-209,92000231;4,99649000;4,93392800
-209,76000231;4,99649000;4,93392800
-209,60000231;4,99649000;4,93392800
-209,44000231;4,99649000;4,93392800
-209,28000231;4,99649000;4,93392800
-209,12000231;4,99649000;5,02212600
-208,96000231;4,99649000;5,02212600
-208,80000231;4,99649000;5,02212600
-208,64000231;4,99649000;5,02212600
-208,48000231;5,08407800;5,02212600
-208,32000232;5,08407800;5,11001900
-208,16000232;5,17166700;5,11001900
-208,00000232;5,08407800;5,11001900
-207,84000232;5,08407800;5,11001900
-207,68000232;5,08407800;5,11001900
-207,52000232;5,17166700;5,11001900
-207,36000232;5,17166700;5,11001900
-207,20000232;5,17166700;5,11001900
-207,04000232;5,17166700;5,19821800
-206,88000232;5,17166700;5,11001900
-206,72000232;5,17166700;5,11001900
-206,56000233;5,17166700;5,19821800
-206,40000233;5,17166700;5,19821800
-206,24000233;5,17166700;5,19821800
-206,08000233;5,17166700;5,19821800
-205,92000233;5,17166700;5,19821800
-205,76000233;5,17166700;5,19821800
-205,60000233;5,17166700;5,28611100
-205,44000233;5,25925500;5,28611100
-205,28000233;5,25925500;5,19821800
-205,12000233;5,25925500;5,28611100
-204,96000234;5,25925500;5,28611100
-204,80000234;5,34684300;5,28611100
-204,64000234;5,34684300;5,28611100
-204,48000234;5,34684300;5,28611100
-204,32000234;5,34684300;5,37431000
-204,16000234;5,34684300;5,28611100
-204,00000234;5,34684300;5,37431000
-203,84000234;5,34684300;5,37431000
-203,68000234;5,34684300;5,37431000
