Time;Channel A;Channel B
(us);(V);(V)

-503,03997705;4,43357700;4,30829800
-501,75997706;4,43357700;4,30829800
-500,47997706;4,43357700;4,40000600
-499,19997707;4,47874400;4,40000600
-497,91997708;4,43357700;4,40000600
-496,63997709;4,43357700;4,40000600
-495,35997709;4,43357700;4,44578400
-494,07997710;4,16241900;4,40000600
-492,79997711;2,39967000;3,94177100
-491,51997712;1,54087900;3,62102100
-490,23997713;1,08890000;3,30042400
-488,95997713;0,86291090;3,02545200
-487,67997714;0,72725610;2,75063300
-486,39997715;0,63692130;2,52143900
-485,11997716;0,59175390;2,29239800
-483,83997716;0,50126650;2,10913400
-482,55997717;0,50126650;1,92587100
-481,27997718;0,50126650;1,74260700
-479,99997719;0,50126650;1,60512100
-478,71997720;0,45609910;1,46778800
-477,43997720;0,45609910;1,33030200
-476,15997721;0,45609910;1,19281600
-474,87997722;0,45609910;1,10126000
-473,59997723;0,45609910;1,00955200
-472,31997723;0,45609910;0,91799680
-471,03997724;0,45609910;0,82628860
-469,75997725;0,45609910;0,73473310
-468,47997726;0,45609910;0,73473310
-467,19997727;0,45609910;0,64302500
-465,91997727;0,45609910;0,59724720
-464,63997728;0,45609910;0,55146940
-463,35997729;0,45609910;0,50553910
-462,07997730;0,45609910;0,45976140
-460,79997730;0,45609910;0,36820580
-459,51997731;1,45039200;0,64302500
-458,23997732;2,85165000;1,00955200
-456,95997733;3,57478600;1,28452400
-455,67997734;3,89111000;1,60512100
-454,39997734;4,11709900;1,83431500
-453,11997735;4,20758700;2,06335600
-451,83997736;4,25275400;2,29239800
-450,55997737;4,29792200;2,47566200
-449,27997737;4,34308900;2,70470300
-447,99997738;4,34308900;2,84218900
-446,71997739;4,38840900;3,02545200
-445,43997740;4,34308900;3,11716100
-444,15997741;4,38840900;3,30042400
-442,87997741;4,38840900;3,39198000
-441,59997742;4,43357700;3,48368800
-440,31997743;4,43357700;3,62102100
-439,03997744;4,43357700;3,66695100
-437,75997744;4,43357700;3,75850700
-436,47997745;4,43357700;3,85021500
-435,19997746;4,43357700;3,94177100
-433,91997747;4,43357700;3,98754800
-432,63997748;4,43357700;4,03347900
-431,35997748;4,43357700;4,03347900
-430,07997749;4,43357700;4,12503400
-428,79997750;4,43357700;4,12503400
-427,51997751;4,43357700;4,21674300
-426,23997751;4,43357700;4,21674300
-424,95997752;4,43357700;4,30829800
-423,67997753;4,43357700;4,30829800
-422,39997754;4,43357700;4,30829800
-421,11997755;4,43357700;4,40000600
-419,83997755;4,43357700;4,40000600
-418,55997756;4,43357700;4,40000600
-417,27997757;4,43357700;4,40000600
-415,99997758;4,43357700;4,40000600
-414,71997758;4,25275400;4,40000600
-413,43997759;2,49000500;3,98754800
-412,15997760;1,58604700;3,66695100
-410,87997761;1,08890000;3,30042400
-409,59997762;0,86291090;3,02545200
-408,31997762;0,72725610;2,75063300
-407,03997763;0,63692130;2,52143900
-405,75997764;0,54643390;2,29239800
-404,47997765;0,54643390;2,10913400
-403,19997765;0,50126650;1,92587100
-401,91997766;0,50126650;1,74260700
-400,63997767;0,50126650;1,60512100
-399,35997768;0,50126650;1,46778800
-398,07997769;0,45609910;1,33030200
-396,79997769;0,45609910;1,19281600
-395,51997770;0,45609910;1,10126000
-394,23997771;0,45609910;1,00955200
-392,95997772;0,45609910;0,91799680
-391,67997772;0,45609910;0,82628860
-390,39997773;0,45609910;0,73473310
-389,11997774;0,45609910;0,73473310
-387,83997775;0,45609910;0,64302500
-386,55997776;0,45609910;0,55146940
-385,27997776;0,41093170;0,55146940
-383,99997777;0,45609910;0,45976140
-382,71997778;0,45609910;0,45976140
-381,43997779;0,45609910;0,36820580
-380,15997779;1,17923500;0,55146940
-378,87997780;2,76116200;0,91799680
-377,59997781;3,48445100;1,28452400
-376,31997782;3,89111000;1,55934300
-375,03997783;4,11709900;1,83431500
-373,75997783;4,16241900;2,01757900
-372,47997784;4,25275400;2,24662000
-371,19997785;4,29792200;2,47566200
-369,91997786;4,34308900;2,65892500
-368,63997786;4,34308900;2,84218900
-367,35997787;4,34308900;2,97967500
-366,07997788;4,38840900;3,11716100
-364,79997789;4,38840900;3,25449400
-363,51997790;4,38840900;3,39198000
-362,23997790;4,43357700;3,48368800
-360,95997791;4,43357700;3,57524300
-359,67997792;4,43357700;3,66695100
-358,39997793;4,43357700;3,75850700
-357,11997793;4,43357700;3,85021500
-355,83997794;4,43357700;3,89599300
-354,55997795;4,43357700;3,94177100
-353,27997796;4,43357700;4,03347900
-351,99997797;4,43357700;4,03347900
-350,71997797;4,43357700;4,12503400
-349,43997798;4,43357700;4,17081200
-348,15997799;4,43357700;4,21674300
-346,87997800;4,43357700;4,21674300
-345,59997800;4,43357700;4,26252000
-344,31997801;4,43357700;4,30829800
-343,03997802;4,43357700;4,30829800
-341,75997803;4,43357700;4,35407600
-340,47997804;4,43357700;4,40000600
-339,19997804;4,43357700;4,40000600
-337,91997805;4,43357700;4,40000600
-336,63997806;4,43357700;4,40000600
-335,35997807;4,38840900;4,40000600
-334,07997807;2,71599500;4,03347900
-332,79997808;1,67638200;3,66695100
-331,51997809;1,17923500;3,34620200
-330,23997810;0,86291090;3,07123000
-328,95997811;0,72725610;2,84218900
-327,67997811;0,63692130;2,56737000
-326,39997812;0,54643390;2,33817600
-325,11997813;0,54643390;2,10913400
-323,83997814;0,50126650;1,92587100
-322,55997814;0,50126650;1,78838500
-321,27997815;0,50126650;1,65105100
-319,99997816;0,50126650;1,46778800
-318,71997817;0,45609910;1,37608000
-317,43997818;0,45609910;1,28452400
-316,15997818;0,45609910;1,10126000
-314,87997819;0,45609910;1,05533000
-313,59997820;0,45609910;0,91799680
-312,31997821;0,45609910;0,87206640
-311,03997821;0,45609910;0,78051090
-309,75997822;0,45609910;0,73473310
-308,47997823;0,45609910;0,64302500
-307,19997824;0,45609910;0,59724720
-305,91997825;0,45609910;0,55146940
-304,63997825;0,45609910;0,45976140
-303,35997826;0,45609910;0,45976140
-302,07997827;0,41093170;0,41398360
-300,79997828;0,86291090;0,55146940
-299,51997828;2,58034000;0,91799680
-298,23997829;3,39396300;1,19281600
-296,95997830;3,84594200;1,46778800
-295,67997831;4,07193200;1,78838500
-294,39997832;4,16241900;2,01757900
-293,11997832;4,25275400;2,24662000
-291,83997833;4,29792200;2,47566200
-290,55997834;4,34308900;2,65892500
-289,27997835;4,34308900;2,84218900
-287,99997835;4,38840900;2,97967500
-286,71997836;4,43357700;3,11716100
-285,43997837;4,38840900;3,20871600
-284,15997838;4,38840900;3,39198000
-282,87997839;4,38840900;3,48368800
-281,59997839;4,43357700;3,57524300
-280,31997840;4,43357700;3,66695100
-279,03997841;4,43357700;3,75850700
-277,75997842;4,43357700;3,85021500
-276,47997842;4,43357700;3,89599300
-275,19997843;4,43357700;3,94177100
-273,91997844;4,43357700;4,03347900
-272,63997845;4,43357700;4,03347900
-271,35997846;4,43357700;4,12503400
-270,07997846;4,43357700;4,17081200
-268,79997847;4,43357700;4,21674300
-267,51997848;4,43357700;4,21674300
-266,23997849;4,43357700;4,21674300
-264,95997849;4,43357700;4,30829800
-263,67997850;4,43357700;4,30829800
-262,39997851;4,43357700;4,40000600
-261,11997852;4,43357700;4,40000600
-259,83997853;4,43357700;4,40000600
-258,55997853;4,43357700;4,40000600
-257,27997854;4,43357700;4,40000600
-255,99997855;4,43357700;4,44578400
-254,71997856;2,98715200;4,12503400
-253,43997856;1,81203700;3,75850700
-252,15997857;1,22440300;3,39198000
-250,87997858;0,90807830;3,11716100
-249,59997859;0,72725610;2,84218900
-248,31997860;0,63692130;2,56737000
-247,03997860;0,59175390;2,38410600
-245,75997861;0,54643390;2,15491200
-244,47997862;0,50126650;2,01757900
-243,19997863;0,50126650;1,83431500
-241,91997863;0,50126650;1,65105100
-240,63997864;0,50126650;1,46778800
-239,35997865;0,45609910;1,37608000
-238,07997866;0,45609910;1,28452400
-236,79997867;0,45609910;1,14703800
-235,51997867;0,45609910;1,00955200
-234,23997868;0,45609910;0,96377450
-232,95997869;0,45609910;0,87206640
-231,67997870;0,45609910;0,82628860
-230,39997870;0,45609910;0,73473310
-229,11997871;0,45609910;0,68880280
-227,83997872;0,45609910;0,59724720
-226,55997873;0,45609910;0,55146940
-225,27997874;0,45609910;0,55146940
-223,99997874;0,45609910;0,45976140
-222,71997875;0,45609910;0,36820580
-221,43997876;0,63692130;0,45976140
-220,15997877;2,39967000;0,82628860
-218,87997877;3,34879600;1,19281600
-217,59997878;3,75560800;1,46778800
-216,31997879;4,02676500;1,74260700
-215,03997880;4,16241900;2,01757900
-213,75997881;4,25275400;2,20084200
-212,47997881;4,29792200;2,38410600
-211,19997882;4,34308900;2,61314700
-209,91997883;4,34308900;2,79641100
-208,63997884;4,34308900;2,93389700
-207,35997884;4,34308900;3,11716100
-206,07997885;4,38840900;3,20871600
-204,79997886;4,38840900;3,34620200
-203,51997887;4,38840900;3,48368800
-202,23997888;4,43357700;3,57524300
-200,95997888;4,43357700;3,66695100
-199,67997889;4,43357700;3,75850700
-198,39997890;4,43357700;3,85021500
-197,11997891;4,43357700;3,85021500
-195,83997891;4,43357700;3,94177100
-194,55997892;4,43357700;4,03347900
-193,27997893;4,43357700;4,03347900
-191,99997894;4,43357700;4,12503400
-190,71997895;4,43357700;4,17081200
-189,43997895;4,43357700;4,21674300
-188,15997896;4,43357700;4,21674300
-186,87997897;4,43357700;4,21674300
-185,59997898;4,43357700;4,30829800
-184,31997898;4,43357700;4,30829800
-183,03997899;4,43357700;4,35407600
-181,75997900;4,47874400;4,40000600
-180,47997901;4,43357700;4,40000600
-179,19997902;4,43357700;4,40000600
-177,91997902;4,43357700;4,40000600
-176,63997903;4,43357700;4,44578400
-175,35997904;3,16797400;4,12503400
-174,07997905;1,85720400;3,75850700
-172,79997905;1,26972300;3,48368800
-171,51997906;0,90807830;3,11716100
-170,23997907;0,72725610;2,84218900
-168,95997908;0,63692130;2,61314700
-167,67997909;0,59175390;2,38410600
-166,39997909;0,54643390;2,20084200
-165,11997910;0,50126650;2,01757900
-163,83997911;0,50126650;1,83431500
-162,55997912;0,50126650;1,65105100
-161,27997912;0,50126650;1,51356500
-159,99997913;0,45609910;1,37608000
-158,71997914;0,50126650;1,28452400
-157,43997915;0,45609910;1,14703800
-156,15997916;0,45609910;1,05533000
-154,87997916;0,45609910;0,96377450
-153,59997917;0,45609910;0,91799680
-152,31997918;0,45609910;0,82628860
-151,03997919;0,45609910;0,73473310
-149,75997919;0,45609910;0,64302500
-148,47997920;0,45609910;0,59724720
-147,19997921;0,45609910;0,55146940
-145,91997922;0,45609910;0,50553910
-144,63997923;0,45609910;0,45976140
-143,35997923;0,45609910;0,36820580
-142,07997924;0,54643390;0,41398360
-140,79997925;2,30918300;0,82628860
-139,51997926;3,25846100;1,10126000
-138,23997926;3,75560800;1,46778800
-136,95997927;3,98159700;1,74260700
-135,67997928;4,16241900;1,97164800
-134,39997929;4,25275400;2,20084200
-133,11997930;4,29792200;2,38410600
-131,83997930;4,34308900;2,56737000
-130,55997931;4,34308900;2,75063300
