Time;Channel A;Channel B
(us);(V);(V)

-25,03541145;-0,09216590;-2,82250400
-25,01541145;-0,13596000;-2,82250400
-24,99541145;-0,13596000;-2,86660400
-24,97541145;-0,17975400;-2,91085600
-24,95541145;-0,22354810;-2,91085600
-24,93541145;-0,22354810;-2,91085600
-24,91541145;-0,22354810;-2,95495500
-24,89541146;-0,26734220;-2,95495500
-24,87541146;-0,31113620;-2,99905400
-24,85541146;-0,31113620;-3,04315300
-24,83541146;-0,35493030;-3,04315300
-24,81541146;-0,39872430;-3,08740500
-24,79541146;-0,39872430;-3,08740500
-24,77541146;-0,44267100;-3,13150400
-24,75541146;-0,44267100;-3,13150400
-24,73541146;-0,48646500;-3,17560300
-24,71541146;-0,53025910;-3,17560300
-24,69541146;-0,57405320;-3,21970300
-24,67541146;-0,57405320;-3,21970300
-24,65541146;-0,57405320;-3,21970300
-24,63541146;-0,61784720;-3,26395500
-24,61541146;-0,61784720;-3,26395500
-24,59541146;-0,66164130;-3,30805400
-24,57541146;-0,70543530;-3,30805400
-24,55541146;-0,70543530;-3,30805400
-24,53541146;-0,74922940;-3,30805400
-24,51541146;-0,79302350;-3,35215300
-24,49541146;-0,79302350;-3,35215300
-24,47541146;-0,83681750;-3,39625200
-24,45541146;-0,83681750;-3,39625200
-24,43541146;-0,83681750;-3,39625200
-24,41541146;-0,88061160;-3,39625200
-24,39541146;-0,92440560;-3,44050400
-24,37541146;-0,92440560;-3,44050400
-24,35541146;-0,96819970;-3,44050400
-24,33541146;-0,96819970;-3,44050400
-24,31541146;-1,01214600;-3,44050400
-24,29541146;-1,05594000;-3,44050400
-24,27541146;-1,09973500;-3,44050400
-24,25541146;-1,09973500;-3,48460300
-24,23541146;-1,14352900;-3,48460300
-24,21541146;-1,14352900;-3,48460300
-24,19541146;-1,18732300;-3,48460300
-24,17541146;-1,18732300;-3,48460300
-24,15541146;-1,18732300;-3,48460300
-24,13541146;-1,23111700;-3,48460300
-24,11541146;-1,27491100;-3,48460300
-24,09541146;-1,27491100;-3,48460300
-24,07541146;-1,31870500;-3,48460300
-24,05541146;-1,31870500;-3,48460300
-24,03541146;-1,31870500;-3,48460300
-24,01541146;-1,36249900;-3,48460300
-23,99541146;-1,36249900;-3,48460300
-23,97541146;-1,36249900;-3,48460300
-23,95541146;-1,40629300;-3,48460300
-23,93541146;-1,45008700;-3,48460300
-23,91541146;-1,49388100;-3,48460300
-23,89541146;-1,49388100;-3,48460300
-23,87541146;-1,49388100;-3,48460300
-23,85541146;-1,53767500;-3,48460300
-23,83541146;-1,53767500;-3,48460300
-23,81541146;-1,53767500;-3,44050400
-23,79541146;-1,58162200;-3,44050400
-23,77541146;-1,62541600;-3,44050400
-23,75541146;-1,62541600;-3,44050400
-23,73541146;-1,62541600;-3,44050400
-23,71541146;-1,66921000;-3,39625200
-23,69541146;-1,66921000;-3,39625200
-23,67541146;-1,66921000;-3,39625200
-23,65541146;-1,71300400;-3,39625200
-23,63541146;-1,71300400;-3,39625200
-23,61541146;-1,75679800;-3,39625200
-23,59541146;-1,75679800;-3,39625200
-23,57541146;-1,80059200;-3,35215300
-23,55541146;-1,80059200;-3,35215300
-23,53541146;-1,80059200;-3,35215300
-23,51541146;-1,80059200;-3,30805400
-23,49541146;-1,84438600;-3,30805400
-23,47541146;-1,84438600;-3,30805400
-23,45541146;-1,84438600;-3,30805400
-23,43541146;-1,84438600;-3,30805400
-23,41541146;-1,88818000;-3,26395500
-23,39541146;-1,88818000;-3,26395500
-23,37541146;-1,88818000;-3,26395500
-23,35541146;-1,88818000;-3,21970300
-23,33541146;-1,93197400;-3,21970300
-23,31541146;-1,93197400;-3,17560300
-23,29541146;-1,97576800;-3,17560300
-23,27541146;-1,97576800;-3,17560300
-23,25541146;-1,97576800;-3,13150400
-23,23541147;-1,97576800;-3,08740500
-23,21541147;-1,97576800;-3,08740500
-23,19541147;-2,01956200;-3,08740500
-23,17541147;-2,01956200;-3,08740500
-23,15541147;-2,01956200;-3,04315300
-23,13541147;-2,01956200;-3,04315300
-23,11541147;-2,01956200;-2,99905400
-23,09541147;-2,06335600;-2,95495500
-23,07541147;-2,01956200;-2,95495500
-23,05541147;-2,06335600;-2,91085600
-23,03541147;-2,06335600;-2,91085600
-23,01541147;-2,06335600;-2,91085600
-22,99541147;-2,06335600;-2,86660400
-22,97541147;-2,10715100;-2,82250400
-22,95541147;-2,06335600;-2,82250400
-22,93541147;-2,10715100;-2,77840500
-22,91541147;-2,10715100;-2,73430600
-22,89541147;-2,10715100;-2,73430600
-22,87541147;-2,15109700;-2,69005400
-22,85541147;-2,15109700;-2,69005400
-22,83541147;-2,15109700;-2,64595500
-22,81541147;-2,15109700;-2,60185600
-22,79541147;-2,15109700;-2,60185600
-22,77541147;-2,15109700;-2,55760400
-22,75541147;-2,15109700;-2,51350500
-22,73541147;-2,15109700;-2,46940500
-22,71541147;-2,15109700;-2,46940500
-22,69541147;-2,15109700;-2,42530600
-22,67541147;-2,15109700;-2,42530600
-22,65541147;-2,15109700;-2,38105400
-22,63541147;-2,15109700;-2,33695500
-22,61541147;-2,15109700;-2,29285600
-22,59541147;-2,15109700;-2,24875600
-22,57541147;-2,15109700;-2,20450400
-22,55541147;-2,15109700;-2,20450400
-22,53541147;-2,15109700;-2,16040500
-22,51541147;-2,15109700;-2,11630600
-22,49541147;-2,15109700;-2,11630600
-22,47541147;-2,15109700;-2,07220700
-22,45541147;-2,15109700;-2,02795500
-22,43541147;-2,15109700;-1,98385600
-22,41541147;-2,15109700;-1,98385600
-22,39541147;-2,15109700;-1,89550500
-22,37541147;-2,15109700;-1,89550500
-22,35541147;-2,15109700;-1,85140500
-22,33541147;-2,15109700;-1,80730600
-22,31541147;-2,15109700;-1,76320700
-22,29541147;-2,15109700;-1,71895500
-22,27541147;-2,10715100;-1,67485600
-22,25541147;-2,10715100;-1,63075600
-22,23541147;-2,10715100;-1,63075600
-22,21541147;-2,10715100;-1,58665700
-22,19541147;-2,10715100;-1,54240500
-22,17541147;-2,06335600;-1,49830600
-22,15541147;-2,10715100;-1,45420700
-22,13541147;-2,06335600;-1,41010800
-22,11541147;-2,06335600;-1,36585600
-22,09541147;-2,06335600;-1,36585600
-22,07541147;-2,06335600;-1,32175700
-22,05541147;-2,06335600;-1,27765700
-22,03541147;-2,01956200;-1,18930600
-22,01541147;-2,01956200;-1,18930600
-21,99541147;-2,01956200;-1,14520700
-21,97541147;-2,01956200;-1,10110800
-21,95541147;-2,01956200;-1,05685600
-21,93541147;-2,01956200;-1,01275700
-21,91541147;-1,97576800;-0,96865750
-21,89541147;-1,97576800;-0,92455820
-21,87541147;-1,97576800;-0,88030640
-21,85541147;-1,97576800;-0,83620720
-21,83541147;-1,97576800;-0,79210790
-21,81541147;-1,93197400;-0,74800870
-21,79541147;-1,93197400;-0,70375680
-21,77541147;-1,93197400;-0,65965760
-21,75541147;-1,88818000;-0,61555830
-21,73541147;-1,88818000;-0,61555830
-21,71541147;-1,84438600;-0,57130650
-21,69541147;-1,84438600;-0,48310800
-21,67541147;-1,84438600;-0,43900880
-21,65541147;-1,80059200;-0,43900880
-21,63541147;-1,80059200;-0,35065770
-21,61541147;-1,80059200;-0,30655840
-21,59541148;-1,75679800;-0,26245920
-21,57541148;-1,75679800;-0,21820730
-21,55541148;-1,75679800;-0,17410810
-21,53541148;-1,71300400;-0,13000880
-21,51541148;-1,71300400;-0,08590961
-21,49541148;-1,66921000;-0,04165776
-21,47541148;-1,66921000;0,00244148
-21,45541148;-1,62541600;0,04654073
-21,43541148;-1,62541600;0,04654073
-21,41541148;-1,62541600;0,09063997
-21,39541148;-1,62541600;0,13473920
-21,37541148;-1,58162200;0,22293770
-21,35541148;-1,58162200;0,26718960
-21,33541148;-1,53767500;0,26718960
-21,31541148;-1,53767500;0,31128880
-21,29541148;-1,53767500;0,35538800
-21,27541148;-1,49388100;0,39948730
-21,25541148;-1,49388100;0,44373910
-21,23541148;-1,45008700;0,48783840
-21,21541148;-1,45008700;0,53193760
-21,19541148;-1,40629300;0,62028870
-21,17541148;-1,36249900;0,62028870
-21,15541148;-1,36249900;0,66438790
-21,13541148;-1,36249900;0,70848720
-21,11541148;-1,31870500;0,75258640
-21,09541148;-1,31870500;0,79683830
-21,07541148;-1,27491100;0,84093760
-21,05541148;-1,27491100;0,88503680
-21,03541148;-1,27491100;0,92928860
-21,01541148;-1,23111700;0,97338780
-20,99541148;-1,18732300;0,97338780
-20,97541148;-1,14352900;1,06158600
-20,95541148;-1,14352900;1,10583800
-20,93541148;-1,14352900;1,14993700
-20,91541148;-1,09973500;1,14993700
-20,89541148;-1,09973500;1,19403700
-20,87541148;-1,01214600;1,23813600
-20,85541148;-1,01214600;1,28238800
-20,83541148;-0,96819970;1,32648700
-20,81541148;-0,96819970;1,37058600
-20,79541148;-0,96819970;1,41468500
-20,77541148;-0,92440560;1,45893700
-20,75541148;-0,92440560;1,45893700
-20,73541148;-0,88061160;1,54713600
-20,71541148;-0,88061160;1,54713600
-20,69541148;-0,83681750;1,59138800
-20,67541148;-0,79302350;1,63548700
-20,65541148;-0,79302350;1,67958600
-20,63541148;-0,74922940;1,67958600
-20,61541148;-0,74922940;1,76793700
-20,59541148;-0,70543530;1,76793700
-20,57541148;-0,66164130;1,81203700
-20,55541148;-0,66164130;1,85613600
-20,53541148;-0,61784720;1,90023500
-20,51541148;-0,61784720;1,90023500
-20,49541148;-0,57405320;1,98858600
-20,47541148;-0,57405320;1,98858600
-20,45541148;-0,53025910;2,03268500
-20,43541148;-0,48646500;2,07678500
-20,41541148;-0,44267100;2,12103600
-20,39541148;-0,44267100;2,16513600
-20,37541148;-0,39872430;2,16513600
-20,35541148;-0,39872430;2,20923500
-20,33541148;-0,35493030;2,20923500
-20,31541148;-0,35493030;2,25348700
-20,29541148;-0,31113620;2,34168500
-20,27541148;-0,26734220;2,34168500
-20,25541148;-0,26734220;2,38578400
-20,23541148;-0,22354810;2,38578400
-20,21541148;-0,22354810;2,43003600
-20,19541148;-0,17975400;2,47413600
-20,17541148;-0,13596000;2,47413600
-20,15541148;-0,13596000;2,51823500
-20,13541148;-0,09216590;2,51823500
-20,11541148;-0,09216590;2,56233400
-20,09541148;-0,04837184;2,60658600
-20,07541148;-0,00457778;2,65068500
-20,05541148;0,03921628;2,65068500
-20,03541148;0,03921628;2,69478400
-20,01541148;0,08301035;2,73888400
-19,99541148;0,08301035;2,73888400
-19,97541148;0,12680440;2,73888400
-19,95541149;0,12680440;2,78313500
-19,93541149;0,17059850;2,82723500
-19,91541149;0,17059850;2,82723500
-19,89541149;0,21439250;2,87133400
-19,87541149;0,21439250;2,87133400
-19,85541149;0,25818660;2,91558600
-19,83541149;0,30198060;2,91558600
-19,81541149;0,30198060;2,95968500
-19,79541149;0,34577470;2,95968500
-19,77541149;0,38956880;2,95968500
-19,75541149;0,43336280;3,00378400
-19,73541149;0,43336280;3,04788400
-19,71541149;0,47715690;3,04788400
-19,69541149;0,47715690;3,04788400
-19,67541149;0,47715690;3,09213500
-19,65541149;0,52095100;3,09213500
