Time;Channel A;Channel B;A - B
(s);(V);(V);(V)

-2,52000999;-3,34040400;-3,84685800;0,41474650
-2,51967599;-3,34040400;-3,84685800;0,41474650
-2,51934199;-3,34040400;-3,75515000;0,41474650
-2,51900799;-3,34040400;-3,75515000;0,45991400
-2,51867399;-3,34040400;-3,75515000;0,41474650
-2,51833999;-3,29523600;-3,75515000;0,41474650
-2,51800599;-3,34040400;-3,75515000;0,36896870
-2,51767199;-3,34040400;-3,75515000;0,36896870
-2,51733799;-3,34040400;-3,70937200;0,36896870
-2,51700399;-3,34040400;-3,70937200;0,32319090
-2,51666999;-3,34040400;-3,70937200;0,36835840
-2,51633599;-3,34040400;-3,66359400;0,32319090
-2,51600199;-3,29523600;-3,66359400;0,32319090
-2,51566799;-3,34040400;-3,66359400;0,32319090
-2,51533399;-3,34040400;-3,66359400;0,32319090
-2,51499999;-3,34040400;-3,66359400;0,27726050
-2,51466599;-3,34040400;-3,66359400;0,27726050
-2,51433199;-3,34040400;-3,61766400;0,23148270
-2,51399799;-3,34040400;-3,61766400;0,23148270
-2,51366399;-3,34040400;-3,57188600;0,23148270
-2,51332999;-3,34040400;-3,57188600;0,23148270
-2,51299599;-3,34040400;-3,57188600;0,23148270
-2,51266199;-3,34040400;-3,57188600;0,18570490
-2,51232799;-3,34040400;-3,57188600;0,18570490
-2,51199399;-3,34040400;-3,52610900;0,13992710
-2,51165999;-3,34040400;-3,52610900;0,13992710
-2,51132599;-3,34040400;-3,48033100;0,13992710
-2,51099199;-3,34040400;-3,48033100;0,13992710
-2,51065799;-3,34040400;-3,48033100;0,13992710
-2,51032399;-3,34040400;-3,48033100;0,13992710
-2,50998999;-3,34040400;-3,48033100;0,09399700
-2,50965599;-3,34040400;-3,48033100;0,09399700
-2,50932199;-3,34040400;-3,43440100;0,09399700
-2,50898799;-3,34040400;-3,43440100;0,04821920
-2,50865399;-3,34040400;-3,43440100;0,04821920
-2,50831999;-3,34040400;-3,38862300;0,04821920
-2,50798599;-3,34040400;-3,38862300;0,04821920
-2,50765199;-3,34040400;-3,38862300;0,09338665
-2,50731799;-3,34040400;-3,38862300;0,00244141
-2,50698399;-3,29523600;-3,38862300;-0,04333639
-2,50664999;-3,34040400;-3,34284500;-0,04333639
-2,50631599;-3,34040400;-3,29706700;-0,04333639
-2,50598199;-3,34040400;-3,29706700;-0,04333639
-2,50564799;-3,34040400;-3,29706700;-0,04333639
-2,50531399;-3,34040400;-3,29706700;-0,04333639
-2,50497999;-3,34040400;-3,29706700;-0,04333639
-2,50464599;-3,34040400;-3,29706700;-0,04333639
-2,50431199;-3,34040400;-3,29706700;-0,08926678
-2,50397799;-3,34040400;-3,29706700;-0,13504460
-2,50364399;-3,34040400;-3,25113700;-0,13504460
-2,50330999;-3,34040400;-3,20535900;-0,08987713
-2,50297599;-3,34040400;-3,20535900;-0,13504460
-2,50264199;-3,29523600;-3,20535900;-0,08987713
-2,50230799;-3,34040400;-3,20535900;-0,13504460
-2,50197399;-3,29523600;-3,20535900;-0,13504460
-2,50163999;-3,34040400;-3,20535900;-0,13504460
-2,50130599;-3,34040400;-3,20535900;-0,18082240
-2,50097199;-3,34040400;-3,20535900;-0,18082240
-2,50063799;-3,34040400;-3,15958100;-0,22659990
-2,50030399;-3,34040400;-3,15958100;-0,22659990
-2,49996999;-3,34040400;-3,11380400;-0,22659990
-2,49963599;-3,34040400;-3,11380400;-0,22659990
-2,49930199;-3,34040400;-3,11380400;-0,22659990
-2,49896799;-3,34040400;-3,11380400;-0,18143250
-2,49863399;-3,34040400;-3,11380400;-0,22659990
-2,49829999;-3,29523600;-3,11380400;-0,27253030
-2,49796599;-3,34040400;-3,11380400;-0,27253030
-2,49763199;-3,34040400;-3,06787300;-0,31830810
-2,49729799;-3,34040400;-3,06787300;-0,31830810
-2,49696399;-3,34040400;-3,02209500;-0,31830810
-2,49662999;-3,34040400;-3,02209500;-0,31830810
-2,49629599;-3,34040400;-3,02209500;-0,31830810
-2,49596199;-3,34040400;-3,02209500;-0,31830810
-2,49562799;-3,34040400;-3,02209500;-0,36408590
-2,49529399;-3,34040400;-3,02209500;-0,40986370
-2,49495999;-3,34040400;-2,97631800;-0,36469630
-2,49462599;-3,34040400;-2,93054000;-0,40986370
-2,49429199;-3,29523600;-2,93054000;-0,36469630
-2,49395799;-3,34040400;-2,93054000;-0,36469630
-2,49362399;-3,29523600;-2,93054000;-0,40986370
-2,49328999;-3,29523600;-2,93054000;-0,40986370
-2,49295599;-3,34040400;-2,93054000;-0,40986370
-2,49262199;-3,34040400;-2,93054000;-0,40986370
-2,49228799;-3,34040400;-2,93054000;-0,40986370
-2,49195399;-3,34040400;-2,93054000;-0,45579410
-2,49161999;-3,34040400;-2,93054000;-0,45579410
-2,49128599;-3,34040400;-2,88460900;-0,45579410
-2,49095199;-3,34040400;-2,88460900;-0,50157190
-2,49061799;-3,34040400;-2,88460900;-0,50157190
-2,49028399;-3,34040400;-2,83883200;-0,50157190
-2,48994999;-3,34040400;-2,83883200;-0,50157190
-2,48961599;-3,34040400;-2,83883200;-0,50157190
-2,48928199;-3,34040400;-2,83883200;-0,50157190
-2,48894799;-3,34040400;-2,83883200;-0,45640440
-2,48861399;-3,34040400;-2,83883200;-0,54734950
-2,48827999;-3,29523600;-2,83883200;-0,54734950
-2,48794599;-3,34040400;-2,79305400;-0,59312730
-2,48761199;-3,34040400;-2,79305400;-0,59312730
-2,48727799;-3,34040400;-2,74727600;-0,54795980
-2,48694399;-3,34040400;-2,74727600;-0,59312730
-2,48660999;-3,29523600;-2,74727600;-0,59312730
-2,48627599;-3,34040400;-2,74727600;-0,59312730
-2,48594199;-3,34040400;-2,74727600;-0,59312730
-2,48560799;-3,34040400;-2,74727600;-0,63905760
-2,48527399;-3,34040400;-2,74727600;-0,63905760
-2,48493999;-3,34040400;-2,70134600;-0,59312730
-2,48460599;-3,34040400;-2,70134600;-0,63905760
-2,48427199;-3,34040400;-2,74727600;-0,68483540
-2,48393799;-3,34040400;-2,70134600;-0,68483540
-2,48360399;-3,34040400;-2,65556800;-0,68483540
-2,48326999;-3,34040400;-2,65556800;-0,68483540
-2,48293599;-3,34040400;-2,65556800;-0,68483540
-2,48260199;-3,34040400;-2,65556800;-0,68483540
-2,48226799;-3,34040400;-2,65556800;-0,68483540
-2,48193399;-3,34040400;-2,65556800;-0,73061320
-2,48159999;-3,34040400;-2,65556800;-0,77639100
-2,48126599;-3,34040400;-2,60979000;-0,73061320
-2,48093199;-3,34040400;-2,56401300;-0,77639100
-2,48059799;-3,34040400;-2,60979000;-0,77639100
-2,48026399;-3,34040400;-2,56401300;-0,77639100
-2,47992999;-3,34040400;-2,56401300;-0,73122360
-2,47959599;-3,34040400;-2,56401300;-0,77639100
-2,47926199;-3,29523600;-2,56401300;-0,77639100
-2,47892799;-3,34040400;-2,56401300;-0,77639100
-2,47859399;-3,34040400;-2,56401300;-0,77639100
-2,47825999;-3,34040400;-2,56401300;-0,82155820
-2,47792599;-3,34040400;-2,56401300;-0,73122360
-2,47759199;-3,38557100;-2,56401300;-0,82232140
-2,47725799;-3,29523600;-2,56401300;-0,82232140
-2,47692399;-3,34040400;-2,51808200;-0,86809920
-2,47658999;-3,34040400;-2,51808200;-0,82232140
-2,47625599;-3,34040400;-2,47230400;-0,86809920
-2,47592199;-3,34040400;-2,51808200;-0,82293180
-2,47558799;-3,34040400;-2,47230400;-0,86809920
-2,47525399;-3,29523600;-2,47230400;-0,86809920
-2,47491999;-3,34040400;-2,47230400;-0,82293180
-2,47458599;-3,34040400;-2,47230400;-0,91387680
-2,47425199;-3,29523600;-2,47230400;-0,91387680
-2,47391799;-3,34040400;-2,42652700;-0,91387680
-2,47358399;-3,34040400;-2,42652700;-0,91387680
-2,47324999;-3,34040400;-2,42652700;-0,91387680
-2,47291599;-3,34040400;-2,42652700;-0,95965460
-2,47258199;-3,34040400;-2,42652700;-0,95965460
-2,47224799;-3,34040400;-2,38074900;-0,95965460
-2,47191399;-3,34040400;-2,38074900;-0,95965460
-2,47157999;-3,34040400;-2,38074900;-0,95965460
-2,47124599;-3,34040400;-2,38074900;-0,95965460
-2,47091199;-3,34040400;-2,38074900;-0,95965460
-2,47057799;-3,34040400;-2,38074900;-0,95965460
-2,47024399;-3,34040400;-2,38074900;-1,00558500
-2,46990999;-3,34040400;-2,38074900;-1,00558500
-2,46957599;-3,34040400;-2,33481900;-1,00558500
-2,46924199;-3,34040400;-2,33481900;-1,00558500
-2,46890799;-3,34040400;-2,33481900;-1,05136300
-2,46857399;-3,34040400;-2,33481900;-1,05136300
-2,46823999;-3,34040400;-2,28904100;-1,05136300
-2,46790599;-3,34040400;-2,28904100;-1,05136300
-2,46757199;-3,34040400;-2,28904100;-1,05136300
-2,46723799;-3,34040400;-2,28904100;-1,00619500
-2,46690399;-3,34040400;-2,28904100;-1,05136300
-2,46656999;-3,29523600;-2,28904100;-1,05136300
-2,46623599;-3,34040400;-2,28904100;-1,09714100
-2,46590199;-3,34040400;-2,28904100;-1,09714100
-2,46556799;-3,34040400;-2,24326300;-1,09714100
-2,46523399;-3,34040400;-2,24326300;-1,14291800
-2,46489999;-3,34040400;-2,24326300;-1,14291800
-2,46456599;-3,34040400;-2,19748500;-1,14291800
-2,46423199;-3,34040400;-2,19748500;-1,14291800
-2,46389799;-3,34040400;-2,19748500;-1,14291800
-2,46356399;-3,34040400;-2,19748500;-1,14291800
-2,46322999;-3,34040400;-2,19748500;-1,14291800
-2,46289599;-3,34040400;-2,19748500;-1,14291800
-2,46256199;-3,34040400;-2,19748500;-1,09775100
-2,46222799;-3,34040400;-2,19748500;-1,14291800
-2,46189399;-3,29523600;-2,19748500;-1,14291800
-2,46155999;-3,34040400;-2,19748500;-1,18884900
-2,46122599;-3,34040400;-2,19748500;-1,14291800
-2,46089199;-3,34040400;-2,15155500;-1,18884900
-2,46055799;-3,34040400;-2,19748500;-1,23462600
-2,46022399;-3,34040400;-2,15155500;-1,23462600
-2,45988999;-3,34040400;-2,10577700;-1,23462600
-2,45955599;-3,34040400;-2,10577700;-1,23462600
-2,45922199;-3,34040400;-2,10577700;-1,23462600
-2,45888799;-3,34040400;-2,10577700;-1,23462600
-2,45855399;-3,34040400;-2,10577700;-1,28040400
-2,45821999;-3,34040400;-2,10577700;-1,23462600
-2,45788599;-3,34040400;-2,05999900;-1,23462600
-2,45755199;-3,34040400;-2,10577700;-1,28040400
-2,45721799;-3,34040400;-2,10577700;-1,23462600
-2,45688399;-3,34040400;-2,05999900;-1,28040400
-2,45654999;-3,34040400;-2,10577700;-1,28040400
-2,45621599;-3,34040400;-2,05999900;-1,32618200
-2,45588199;-3,34040400;-2,05999900;-1,32618200
-2,45554799;-3,34040400;-2,01422200;-1,32618200
-2,45521399;-3,34040400;-2,01422200;-1,32618200
-2,45487999;-3,34040400;-2,01422200;-1,32618200
-2,45454599;-3,34040400;-2,01422200;-1,32618200
-2,45421199;-3,34040400;-2,01422200;-1,32618200
-2,45387799;-3,34040400;-2,01422200;-1,32618200
-2,45354399;-3,34040400;-2,01422200;-1,32618200
-2,45320999;-3,34040400;-2,01422200;-1,32618200
-2,45287599;-3,34040400;-2,01422200;-1,32618200
-2,45254199;-3,34040400;-2,01422200;-1,37211200
-2,45220799;-3,34040400;-2,01422200;-1,32618200
-2,45187399;-3,34040400;-1,96829100;-1,41789000
-2,45153999;-3,34040400;-2,01422200;-1,37211200
-2,45120599;-3,34040400;-1,92251300;-1,41789000
-2,45087199;-3,34040400;-1,96829100;-1,37211200
-2,45053799;-3,34040400;-1,92251300;-1,41789000
-2,45020399;-3,34040400;-1,96829100;-1,41789000
-2,44986999;-3,34040400;-1,92251300;-1,41789000
-2,44953599;-3,34040400;-1,92251300;-1,41789000
-2,44920199;-3,34040400;-1,92251300;-1,41789000
-2,44886799;-3,34040400;-1,92251300;-1,41789000
-2,44853399;-3,34040400;-1,92251300;-1,41789000
-2,44819999;-3,34040400;-1,92251300;-1,41789000
-2,44786599;-3,34040400;-1,92251300;-1,46366800
-2,44753199;-3,34040400;-1,92251300;-1,46366800
-2,44719799;-3,34040400;-1,87673600;-1,46366800
-2,44686399;-3,34040400;-1,87673600;-1,46366800
-2,44652999;-3,34040400;-1,87673600;-1,46366800
-2,44619599;-3,34040400;-1,87673600;-1,50944600
-2,44586199;-3,34040400;-1,87673600;-1,46427800
-2,44552799;-3,34040400;-1,83095800;-1,50944600
-2,44519399;-3,29523600;-1,83095800;-1,46427800
-2,44485999;-3,34040400;-1,83095800;-1,50944600
-2,44452599;-3,29523600;-1,83095800;-1,50944600
-2,44419199;-3,34040400;-1,83095800;-1,50944600
-2,44385799;-3,34040400;-1,83095800;-1,50944600
-2,44352399;-3,34040400;-1,83095800;-1,46427800
-2,44318999;-3,34040400;-1,83095800;-1,50944600
-2,44285599;-3,29523600;-1,83095800;-1,50944600
-2,44252199;-3,34040400;-1,83095800;-1,50944600
-2,44218799;-3,34040400;-1,83095800;-1,55537600
-2,44185399;-3,34040400;-1,83095800;-1,55537600
-2,44151999;-3,34040400;-1,78502800;-1,50944600
-2,44118599;-3,34040400;-1,78502800;-1,55537600
-2,44085199;-3,34040400;-1,83095800;-1,55537600
-2,44051799;-3,34040400;-1,78502800;-1,55537600
-2,44018399;-3,34040400;-1,78502800;-1,55537600
-2,43984999;-3,34040400;-1,78502800;-1,60115400
-2,43951599;-3,34040400;-1,78502800;-1,60115400
-2,43918199;-3,34040400;-1,73925000;-1,60115400
-2,43884799;-3,34040400;-1,73925000;-1,60115400
-2,43851399;-3,34040400;-1,73925000;-1,60115400
-2,43817999;-3,34040400;-1,73925000;-1,55598600
-2,43784599;-3,34040400;-1,73925000;-1,60115400
-2,43751199;-3,29523600;-1,73925000;-1,60115400
-2,43717799;-3,34040400;-1,73925000;-1,60115400
-2,43684399;-3,34040400;-1,73925000;-1,60115400
-2,43650999;-3,34040400;-1,73925000;-1,64693100
-2,43617599;-3,34040400;-1,73925000;-1,64693100
-2,43584199;-3,34040400;-1,69347200;-1,64693100
-2,43550799;-3,34040400;-1,69347200;-1,64693100
-2,43517399;-3,34040400;-1,69347200;-1,69270900
-2,43483999;-3,34040400;-1,69347200;-1,69270900
-2,43450599;-3,34040400;-1,64769400;-1,64693100
-2,43417199;-3,34040400;-1,64769400;-1,69270900
-2,43383799;-3,34040400;-1,69347200;-1,64754200
-2,43350399;-3,34040400;-1,64769400;-1,69270900
-2,43316999;-3,29523600;-1,64769400;-1,69270900
-2,43283599;-3,34040400;-1,64769400;-1,69270900
-2,43250199;-3,34040400;-1,64769400;-1,69270900
-2,43216799;-3,34040400;-1,64769400;-1,69270900
-2,43183399;-3,34040400;-1,64769400;-1,69270900
-2,43149999;-3,34040400;-1,64769400;-1,69270900
-2,43116599;-3,34040400;-1,64769400;-1,73864000
-2,43083199;-3,34040400;-1,64769400;-1,69270900
-2,43049799;-3,34040400;-1,60176400;-1,73864000
-2,43016399;-3,34040400;-1,64769400;-1,73864000
-2,42982999;-3,34040400;-1,60176400;-1,69347200
-2,42949599;-3,34040400;-1,60176400;-1,78441700
-2,42916199;-3,29523600;-1,60176400;-1,78441700
-2,42882799;-3,34040400;-1,55598600;-1,73864000
-2,42849399;-3,34040400;-1,55598600;-1,78441700
-2,42815999;-3,34040400;-1,60176400;-1,78441700
-2,42782599;-3,34040400;-1,55598600;-1,78441700
-2,42749199;-3,34040400;-1,55598600;-1,78441700
-2,42715799;-3,34040400;-1,55598600;-1,78441700
-2,42682399;-3,34040400;-1,55598600;-1,78441700
-2,42648999;-3,34040400;-1,55598600;-1,78441700
-2,42615599;-3,34040400;-1,55598600;-1,78441700
-2,42582199;-3,34040400;-1,55598600;-1,78441700
-2,42548799;-3,34040400;-1,55598600;-1,78441700
-2,42515399;-3,34040400;-1,55598600;-1,78441700
-2,42481999;-3,34040400;-1,55598600;-1,78441700
-2,42448599;-3,34040400;-1,55598600;-1,87597300
-2,42415199;-3,34040400;-1,55598600;-1,78441700
-2,42381799;-3,34040400;-1,46443100;-1,87597300
-2,42348399;-3,34040400;-1,55598600;-1,83019500
-2,42314999;-3,34040400;-1,46443100;-1,87597300
-2,42281599;-3,34040400;-1,51020800;-1,87597300
-2,42248199;-3,34040400;-1,46443100;-1,87597300
-2,42214799;-3,34040400;-1,46443100;-1,87597300
-2,42181399;-3,34040400;-1,46443100;-1,87597300
-2,42147999;-3,34040400;-1,46443100;-1,87597300
-2,42114599;-3,34040400;-1,46443100;-1,83080500
-2,42081199;-3,34040400;-1,46443100;-1,87597300
-2,42047799;-3,29523600;-1,46443100;-1,87597300
-2,42014399;-3,34040400;-1,46443100;-1,87597300
-2,41980999;-3,34040400;-1,46443100;-1,87597300
-2,41947599;-3,34040400;-1,46443100;-1,87597300
-2,41914199;-3,34040400;-1,46443100;-1,87597300
-2,41880799;-3,34040400;-1,46443100;-1,87597300
-2,41847399;-3,34040400;-1,46443100;-1,87597300
-2,41813999;-3,34040400;-1,46443100;-1,87597300
-2,41780599;-3,34040400;-1,46443100;-1,92190300
-2,41747199;-3,34040400;-1,46443100;-1,87597300
-2,41713799;-3,34040400;-1,41850000;-1,92190300
-2,41680399;-3,34040400;-1,46443100;-1,87597300
-2,41646999;-3,34040400;-1,41850000;-1,92190300
-2,41613599;-3,34040400;-1,46443100;-1,92190300
-2,41580199;-3,34040400;-1,41850000;-1,96768100
-2,41546799;-3,34040400;-1,41850000;-1,96768100
-2,41513399;-3,34040400;-1,37272300;-1,92190300
-2,41479999;-3,34040400;-1,37272300;-1,96768100
-2,41446599;-3,34040400;-1,41850000;-1,96768100
-2,41413199;-3,34040400;-1,37272300;-1,96768100
-2,41379799;-3,34040400;-1,37272300;-1,96768100
-2,41346399;-3,34040400;-1,37272300;-1,96768100
-2,41312999;-3,34040400;-1,37272300;-1,96768100
-2,41279599;-3,34040400;-1,37272300;-1,96768100
-2,41246199;-3,34040400;-1,37272300;-1,96768100
-2,41212799;-3,34040400;-1,37272300;-1,96768100
-2,41179399;-3,34040400;-1,37272300;-2,01345900
-2,41145999;-3,34040400;-1,37272300;-2,01345900
-2,41112599;-3,34040400;-1,32694500;-1,96768100
-2,41079199;-3,34040400;-1,32694500;-2,01345900
-2,41045799;-3,34040400;-1,37272300;-1,96768100
-2,41012399;-3,34040400;-1,32694500;-2,01345900
-2,40978999;-3,34040400;-1,37272300;-2,01345900
-2,40945599;-3,34040400;-1,32694500;-1,96768100
-2,40912199;-3,34040400;-1,32694500;-2,01345900
-2,40878799;-3,34040400;-1,37272300;-2,05923700
-2,40845399;-3,34040400;-1,32694500;-2,05923700
-2,40811999;-3,34040400;-1,28116700;-2,05923700
-2,40778599;-3,34040400;-1,28116700;-2,05923700
-2,40745199;-3,34040400;-1,28116700;-2,05923700
-2,40711799;-3,34040400;-1,28116700;-2,05923700
-2,40678399;-3,34040400;-1,28116700;-2,05923700
-2,40644999;-3,34040400;-1,28116700;-2,05923700
-2,40611599;-3,34040400;-1,28116700;-2,05923700
-2,40578199;-3,34040400;-1,28116700;-2,05923700
-2,40544799;-3,34040400;-1,28116700;-2,05923700
-2,40511399;-3,34040400;-1,28116700;-2,01406900
-2,40477999;-3,34040400;-1,28116700;-2,05923700
-2,40444599;-3,29523600;-1,28116700;-2,05923700
-2,40411199;-3,34040400;-1,28116700;-2,05923700
-2,40377799;-3,34040400;-1,28116700;-2,05923700
-2,40344399;-3,34040400;-1,28116700;-2,05923700
-2,40310999;-3,34040400;-1,28116700;-2,05923700
-2,40277599;-3,34040400;-1,28116700;-2,05923700
-2,40244199;-3,34040400;-1,28116700;-2,10516700
-2,40210799;-3,34040400;-1,28116700;-2,10516700
-2,40177399;-3,34040400;-1,23523700;-2,05999900
-2,40143999;-3,34040400;-1,23523700;-2,10516700
-2,40110599;-3,29523600;-1,23523700;-2,15094500
-2,40077199;-3,34040400;-1,23523700;-2,10516700
-2,40043799;-3,34040400;-1,18945900;-2,15094500
-2,40010399;-3,34040400;-1,23523700;-2,10516700
-2,39976999;-3,34040400;-1,18945900;-2,10516700
-2,39943599;-3,34040400;-1,23523700;-2,10577700
-2,39910199;-3,34040400;-1,23523700;-2,15094500
-2,39876799;-3,29523600;-1,18945900;-2,15094500
-2,39843399;-3,34040400;-1,18945900;-2,15094500
-2,39809999;-3,34040400;-1,18945900;-2,15094500
-2,39776599;-3,34040400;-1,18945900;-2,15094500
-2,39743199;-3,34040400;-1,18945900;-2,15094500
-2,39709799;-3,34040400;-1,18945900;-2,15094500
-2,39676399;-3,34040400;-1,18945900;-2,15094500
-2,39642999;-3,34040400;-1,18945900;-2,10577700
-2,39609599;-3,34040400;-1,18945900;-2,15094500
-2,39576199;-3,29523600;-1,18945900;-2,15094500
-2,39542799;-3,34040400;-1,18945900;-2,15094500
-2,39509399;-3,34040400;-1,18945900;-2,15094500
-2,39475999;-3,34040400;-1,18945900;-2,15094500
-2,39442599;-3,34040400;-1,18945900;-2,15094500
-2,39409199;-3,34040400;-1,18945900;-2,19672300
-2,39375799;-3,34040400;-1,18945900;-2,19672300
-2,39342399;-3,34040400;-1,14368100;-2,19672300
-2,39308999;-3,34040400;-1,14368100;-2,24250000
-2,39275599;-3,34040400;-1,14368100;-2,19672300
-2,39242199;-3,34040400;-1,09790300;-2,19672300
-2,39208799;-3,34040400;-1,14368100;-2,24250000
-2,39175399;-3,34040400;-1,14368100;-2,19672300
-2,39141999;-3,34040400;-1,09790300;-2,24250000
-2,39108599;-3,34040400;-1,14368100;-2,24250000
-2,39075199;-3,34040400;-1,09790300;-2,24250000
-2,39041799;-3,34040400;-1,09790300;-2,24250000
-2,39008399;-3,34040400;-1,09790300;-2,24250000
-2,38974999;-3,34040400;-1,09790300;-2,24250000
-2,38941599;-3,34040400;-1,09790300;-2,24250000
-2,38908199;-3,34040400;-1,09790300;-2,24250000
-2,38874799;-3,34040400;-1,09790300;-2,24250000
-2,38841399;-3,34040400;-1,09790300;-2,19733300
-2,38807999;-3,34040400;-1,09790300;-2,24250000
-2,38774599;-3,29523600;-1,09790300;-2,24250000
-2,38741199;-3,34040400;-1,09790300;-2,24250000
