Time;Channel A;Channel B
(us);(V);(V)

-503,03997705;4,88555600;3,89599300
-501,75997706;4,88555600;4,03347900
-500,47997706;4,88555600;4,12503400
-499,19997707;4,88555600;4,21674300
-497,91997708;4,88555600;4,30829800
-496,63997709;4,88555600;4,35407600
-495,35997709;4,88555600;4,40000600
-494,07997710;4,88555600;4,49156100
-492,79997711;1,58604700;4,30829800
-491,51997712;0,09445479;3,66695100
-490,23997713;0,04928739;3,11716100
-488,95997713;0,00412000;2,65892500
-487,67997714;0,00412000;2,20084200
-486,39997715;0,00412000;1,88009300
-485,11997716;0,00412000;1,65105100
-483,83997716;0,00412000;1,37608000
-482,55997717;0,00412000;1,14703800
-481,27997718;0,00412000;0,96377450
-479,99997719;0,00412000;0,82628860
-478,71997720;0,00412000;0,73473310
-477,43997720;0,00412000;0,55146940
-476,15997721;0,00412000;0,55146940
-474,87997722;0,00412000;0,41398360
-473,59997723;1,63121400;0,45976140
-472,31997723;4,84038800;1,10126000
-471,03997724;4,84038800;1,65105100
-469,75997725;4,84038800;2,10913400
-468,47997726;4,88555600;2,47566200
-467,19997727;4,88555600;2,84218900
-465,91997727;4,88555600;3,11716100
-464,63997728;4,88555600;3,39198000
-463,35997729;4,88555600;3,57524300
-462,07997730;4,88555600;3,75850700
-460,79997730;4,88555600;3,89599300
-459,51997731;4,88555600;4,03347900
-458,23997732;4,88555600;4,12503400
-456,95997733;4,88555600;4,21674300
-455,67997734;4,88555600;4,30829800
-454,39997734;4,88555600;4,40000600
-453,11997735;4,88555600;4,40000600
-451,83997736;4,88555600;4,49156100
-450,55997737;1,49571200;4,30829800
-449,27997737;0,04928739;3,66695100
-447,99997738;0,04928739;3,11716100
-446,71997739;0,00412000;2,61314700
-445,43997740;0,00412000;2,20084200
-444,15997741;0,00412000;1,88009300
-442,87997741;0,00412000;1,60512100
-441,59997742;0,00412000;1,37608000
-440,31997743;0,00412000;1,14703800
-439,03997744;0,00412000;0,96377450
-437,75997744;0,00412000;0,82628860
-436,47997745;0,00412000;0,73473310
-435,19997746;0,00412000;0,59724720
-433,91997747;0,00412000;0,45976140
-432,63997748;0,00412000;0,41398360
-431,35997748;1,76686900;0,41398360
-430,07997749;4,84038800;1,10126000
-428,79997750;4,84038800;1,65105100
-427,51997751;4,84038800;2,10913400
-426,23997751;4,88555600;2,47566200
-424,95997752;4,88555600;2,84218900
-423,67997753;4,88555600;3,11716100
-422,39997754;4,88555600;3,39198000
-421,11997755;4,88555600;3,57524300
-419,83997755;4,88555600;3,75850700
-418,55997756;4,88555600;3,89599300
-417,27997757;4,88555600;4,03347900
-415,99997758;4,88555600;4,12503400
-414,71997758;4,88555600;4,21674300
-413,43997759;4,88555600;4,30829800
-412,15997760;4,88555600;4,40000600
-410,87997761;4,88555600;4,40000600
-409,59997762;4,88555600;4,49156100
-408,31997762;1,40522500;4,30829800
-407,03997763;0,04928739;3,66695100
-405,75997764;0,04928739;3,11716100
-404,47997765;0,00412000;2,61314700
-403,19997765;0,00412000;2,20084200
-401,91997766;0,00412000;1,88009300
-400,63997767;0,00412000;1,60512100
-399,35997768;0,00412000;1,37608000
-398,07997769;-0,04104739;1,14703800
-396,79997769;0,00412000;1,00955200
-395,51997770;0,00412000;0,82628860
-394,23997771;0,00412000;0,73473310
-392,95997772;0,00412000;0,59724720
-391,67997772;0,00412000;0,50553910
-390,39997773;0,00412000;0,36820580
-389,11997774;1,85720400;0,41398360
-387,83997775;4,84038800;1,10126000
-386,55997776;4,84038800;1,65105100
-385,27997776;4,88555600;2,10913400
-383,99997777;4,88555600;2,47566200
-382,71997778;4,88555600;2,84218900
-381,43997779;4,88555600;3,11716100
-380,15997779;4,88555600;3,34620200
-378,87997780;4,88555600;3,57524300
-377,59997781;4,88555600;3,75850700
-376,31997782;4,88555600;3,89599300
-375,03997783;4,88555600;4,03347900
-373,75997783;4,88555600;4,12503400
-372,47997784;4,88555600;4,21674300
-371,19997785;4,88555600;4,30829800
-369,91997786;4,88555600;4,40000600
-368,63997786;4,88555600;4,44578400
-367,35997787;4,88555600;4,49156100
-366,07997788;1,31489000;4,30829800
-364,79997789;0,09445479;3,66695100
-363,51997790;0,04928739;3,11716100
-362,23997790;0,00412000;2,61314700
-360,95997791;0,00412000;2,20084200
-359,67997792;0,00412000;1,83431500
-358,39997793;0,00412000;1,60512100
-357,11997793;0,00412000;1,37608000
-355,83997794;0,00412000;1,10126000
-354,55997795;0,00412000;0,96377450
-353,27997796;0,00412000;0,82628860
-351,99997797;0,00412000;0,73473310
-350,71997797;0,00412000;0,55146940
-349,43997798;0,00412000;0,45976140
-348,15997799;0,00412000;0,36820580
-346,87997800;1,94769100;0,45976140
-345,59997800;4,84038800;1,10126000
-344,31997801;4,84038800;1,65105100
-343,03997802;4,84038800;2,10913400
-341,75997803;4,88555600;2,47566200
-340,47997804;4,88555600;2,84218900
-339,19997804;4,88555600;3,11716100
-337,91997805;4,88555600;3,39198000
-336,63997806;4,88555600;3,57524300
-335,35997807;4,88555600;3,75850700
-334,07997807;4,88555600;3,94177100
-332,79997808;4,88555600;4,03347900
-331,51997809;4,88555600;4,12503400
-330,23997810;4,88555600;4,21674300
-328,95997811;4,88555600;4,30829800
-327,67997811;4,88555600;4,40000600
-326,39997812;4,88555600;4,40000600
-325,11997813;4,88555600;4,49156100
-323,83997814;1,17923500;4,30829800
-322,55997814;0,09445479;3,66695100
-321,27997815;0,04928739;3,11716100
-319,99997816;0,00412000;2,61314700
-318,71997817;0,00412000;2,20084200
-317,43997818;0,00412000;1,83431500
-316,15997818;0,00412000;1,60512100
-314,87997819;0,00412000;1,37608000
-313,59997820;0,00412000;1,10126000
-312,31997821;0,00412000;0,91799680
-311,03997821;0,00412000;0,82628860
-309,75997822;0,00412000;0,68880280
-308,47997823;0,00412000;0,55146940
-307,19997824;0,00412000;0,50553910
-305,91997825;0,00412000;0,41398360
-304,63997825;1,99285900;0,41398360
-303,35997826;4,79506800;1,10126000
-302,07997827;4,84038800;1,65105100
-300,79997828;4,88555600;2,10913400
-299,51997828;4,88555600;2,52143900
-298,23997829;4,88555600;2,84218900
-296,95997830;4,88555600;3,11716100
-295,67997831;4,88555600;3,39198000
-294,39997832;4,88555600;3,57524300
-293,11997832;4,88555600;3,75850700
-291,83997833;4,88555600;3,94177100
-290,55997834;4,88555600;4,03347900
-289,27997835;4,88555600;4,12503400
-287,99997835;4,88555600;4,21674300
-286,71997836;4,88555600;4,30829800
-285,43997837;4,88555600;4,40000600
-284,15997838;4,88555600;4,40000600
-282,87997839;4,88555600;4,49156100
-281,59997839;1,13406800;4,30829800
-280,31997840;0,04928739;3,66695100
-279,03997841;0,04928739;3,11716100
-277,75997842;0,00412000;2,61314700
-276,47997842;0,00412000;2,20084200
-275,19997843;0,00412000;1,83431500
-273,91997844;0,00412000;1,60512100
-272,63997845;0,00412000;1,37608000
-271,35997846;0,00412000;1,14703800
-270,07997846;0,00412000;0,96377450
-268,79997847;0,00412000;0,82628860
-267,51997848;0,00412000;0,73473310
-266,23997849;0,00412000;0,55146940
-264,95997849;0,00412000;0,50553910
-263,67997850;0,00412000;0,41398360
-262,39997851;2,08319400;0,45976140
-261,11997852;4,84038800;1,10126000
-259,83997853;4,84038800;1,65105100
-258,55997853;4,88555600;2,10913400
-257,27997854;4,88555600;2,52143900
-255,99997855;4,88555600;2,84218900
-254,71997856;4,88555600;3,11716100
-253,43997856;4,88555600;3,39198000
-252,15997857;4,88555600;3,57524300
-250,87997858;4,88555600;3,75850700
-249,59997859;4,88555600;3,89599300
-248,31997860;4,88555600;4,03347900
-247,03997860;4,88555600;4,12503400
-245,75997861;4,88555600;4,21674300
-244,47997862;4,88555600;4,30829800
-243,19997863;4,88555600;4,40000600
-241,91997863;4,88555600;4,40000600
-240,63997864;4,88555600;4,49156100
-239,35997865;0,99841300;4,30829800
-238,07997866;0,09445479;3,66695100
-236,79997867;0,04928739;3,02545200
-235,51997867;0,00412000;2,61314700
-234,23997868;0,00412000;2,20084200
-232,95997869;0,00412000;1,83431500
-231,67997870;0,00412000;1,60512100
-230,39997870;0,00412000;1,37608000
-229,11997871;0,00412000;1,10126000
-227,83997872;0,00412000;0,91799680
-226,55997873;0,00412000;0,82628860
-225,27997874;0,00412000;0,73473310
-223,99997874;0,00412000;0,55146940
-222,71997875;0,00412000;0,50553910
-221,43997876;0,00412000;0,41398360
-220,15997877;2,17368100;0,45976140
-218,87997877;4,84038800;1,10126000
-217,59997878;4,84038800;1,65105100
-216,31997879;4,84038800;2,10913400
-215,03997880;4,88555600;2,52143900
-213,75997881;4,88555600;2,84218900
-212,47997881;4,88555600;3,11716100
-211,19997882;4,88555600;3,34620200
-209,91997883;4,88555600;3,57524300
-208,63997884;4,88555600;3,75850700
-207,35997884;4,88555600;3,89599300
-206,07997885;4,88555600;4,03347900
-204,79997886;4,88555600;4,12503400
-203,51997887;4,88555600;4,21674300
-202,23997888;4,88555600;4,30829800
-200,95997888;4,88555600;4,40000600
-199,67997889;4,88555600;4,40000600
-198,39997890;4,88555600;4,49156100
-197,11997891;0,90807830;4,26252000
-195,83997891;0,09445479;3,62102100
-194,55997892;0,00412000;3,07123000
-193,27997893;0,00412000;2,56737000
-191,99997894;0,00412000;2,20084200
-190,71997895;0,00412000;1,83431500
-189,43997895;0,00412000;1,55934300
-188,15997896;0,00412000;1,33030200
-186,87997897;0,00412000;1,10126000
-185,59997898;0,00412000;0,96377450
-184,31997898;0,00412000;0,82628860
-183,03997899;0,00412000;0,64302500
-181,75997900;0,00412000;0,55146940
-180,47997901;0,00412000;0,45976140
-179,19997902;0,00412000;0,41398360
-177,91997902;2,30918300;0,45976140
-176,63997903;4,84038800;1,10126000
-175,35997904;4,84038800;1,65105100
-174,07997905;4,84038800;2,10913400
-172,79997905;4,84038800;2,52143900
-171,51997906;4,88555600;2,84218900
-170,23997907;4,88555600;3,11716100
-168,95997908;4,88555600;3,39198000
-167,67997909;4,88555600;3,57524300
-166,39997909;4,88555600;3,75850700
-165,11997910;4,88555600;3,89599300
-163,83997911;4,88555600;4,03347900
-162,55997912;4,88555600;4,12503400
-161,27997912;4,88555600;4,21674300
-159,99997913;4,88555600;4,30829800
-158,71997914;4,88555600;4,40000600
-157,43997915;4,88555600;4,40000600
-156,15997916;4,88555600;4,49156100
-154,87997916;0,81774350;4,26252000
-153,59997917;0,09445479;3,62102100
-152,31997918;0,04928739;3,02545200
-151,03997919;0,00412000;2,56737000
-149,75997919;0,00412000;2,20084200
-148,47997920;0,00412000;1,83431500
-147,19997921;0,00412000;1,55934300
-145,91997922;0,00412000;1,33030200
-144,63997923;0,00412000;1,14703800
-143,35997923;0,00412000;0,96377450
-142,07997924;0,00412000;0,82628860
-140,79997925;0,00412000;0,73473310
-139,51997926;0,00412000;0,55146940
-138,23997926;0,00412000;0,45976140
-136,95997927;0,00412000;0,41398360
-135,67997928;2,39967000;0,45976140
-134,39997929;4,84038800;1,10126000
-133,11997930;4,84038800;1,65105100
-131,83997930;4,88555600;2,10913400
-130,55997931;4,88555600;2,56737000
